Domestic district heating projections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,units are number of buildings connected to district heat across all UKPN license areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total stock on District heating (number of buildings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
,Cumulative stock on DH,Steady Progression,,115716.43,116600.05,135139.94,156971.34,175658.32,207092.01,247447.7,274295.75,291118.81,318119.41,345383.06,372282.57,389094.78,416133.88,443219.09,460123.33,487153.26,513933.74,541152.92,568047.88,584930.5,611913.09,638705.01,655924.17,682788.54,709789.91,711683.25,722778.42,724764.02,736185.91,737627.11
,Cumulative stock on DH,Consumer Transformation,,115716.43,116600.05,135139.94,156971.34,175658.32,207092.01,247447.7,274295.75,291118.81,318119.41,345383.06,372282.57,389094.78,416133.88,443219.09,460123.33,487153.26,513933.74,541152.92,568047.88,584930.5,611913.09,638705.01,655924.17,682788.54,709789.91,711683.25,722778.42,724764.02,736185.91,737627.11
,Cumulative stock on DH,System Transformation,,115716.43,116600.05,144838.03,178429.35,219370.35,268963.77,332171.8,373970.67,416133.88,458265.24,500107.26,542154.94,583804.05,625715.03,667890.2,709789.91,751606.19,793696.61,835481.99,877182.95,919508.65,961186.1,1003172.26,1045272.16,1087076.57,1129118.55,1130655.74,1142451.99,1143752.01,1155936.46,1157166.52
,Cumulative stock on DH,Leading the Way,,115716.43,116600.05,144838.03,178429.35,219370.35,268963.77,332171.8,373970.67,416133.88,458265.24,500107.26,542154.94,583804.05,625715.03,667890.2,709789.91,751606.19,793696.61,835481.99,877182.95,919508.65,961186.1,1003172.26,1045272.16,1087076.57,1129118.55,1130655.74,1142451.99,1143752.01,1155936.46,1157166.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Additional stock on District heating relative to 2020 (number of buildings),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Additional stock on DH,Steady Progression,,0,883.62,18539.89,21831.4,18686.98,31433.69,40355.69,26848.05,16823.06,27000.6,27263.65,26899.51,16812.21,27039.1,27085.21,16904.24,27029.93,26780.48,27219.18,26894.96,16882.62,26982.59,26791.92,17219.16,26864.37,27001.37,1893.34,11095.17,1985.6,11421.89,1441.2
,Additional stock on DH,Consumer Transformation,,0,883.62,18539.89,21831.4,18686.98,31433.69,40355.69,26848.05,16823.06,27000.6,27263.65,26899.51,16812.21,27039.1,27085.21,16904.24,27029.93,26780.48,27219.18,26894.96,16882.62,26982.59,26791.92,17219.16,26864.37,27001.37,1893.34,11095.17,1985.6,11421.89,1441.2
,Additional stock on DH,System Transformation,,0,883.62,28237.98,33591.32,40941,49593.42,63208.03,41798.87,42163.21,42131.36,41842.02,42047.68,41649.11,41910.98,42175.17,41899.71,41816.28,42090.42,41785.38,41700.96,42325.7,41677.45,41986.16,42099.9,41804.41,42041.98,1537.19,11796.25,1300.02,12184.45,1230.06
,Additional stock on DH,Leading the Way,,0,883.62,28237.98,33591.32,40941,49593.42,63208.03,41798.87,42163.21,42131.36,41842.02,42047.68,41649.11,41910.98,42175.17,41899.71,41816.28,42090.42,41785.38,41700.96,42325.7,41677.45,41986.16,42099.9,41804.41,42041.98,1537.19,11796.25,1300.02,12184.45,1230.06
