Non-domestic projections for district heating ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,% Of space heating demand,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
,Hydrogen,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumer Transformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fuel Use (GWh) 2020,Fuel Use (GWh) 2021,Fuel Use (GWh) 2022,Fuel Use (GWh) 2023,Fuel Use (GWh) 2024,Fuel Use (GWh) 2025,Fuel Use (GWh) 2026,Fuel Use (GWh) 2027,Fuel Use (GWh) 2028,Fuel Use (GWh) 2029,Fuel Use (GWh) 2030,Fuel Use (GWh) 2031,Fuel Use (GWh) 2032,Fuel Use (GWh) 2033,Fuel Use (GWh) 2034,Fuel Use (GWh) 2035,Fuel Use (GWh) 2036,Fuel Use (GWh) 2037,Fuel Use (GWh) 2038,Fuel Use (GWh) 2039,Fuel Use (GWh) 2040,Fuel Use (GWh) 2041,Fuel Use (GWh) 2042,Fuel Use (GWh) 2043,Fuel Use (GWh) 2044,Fuel Use (GWh) 2045,Fuel Use (GWh) 2046,Fuel Use (GWh) 2047,Fuel Use (GWh) 2048,Fuel Use (GWh) 2049,Fuel Use (GWh) 2050
,,Gas, 485 , 518 , 661 , 794 , 935 , 876 , 802 , 732 , 669 , 602 , 532 , 460 , 402 , 341 , 282 , 228 , 168 , 112 , 56 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Electricity, -   , -   , -   , -   , -   , 74 , 162 , 225 , 272 , 333 , 390 , 441 , 484 , 540 , 596 , 648 , 696 , 757 , 820 , 873 , 909 , 955 ," 1,002 "," 1,044 "," 1,076 "," 1,121 "," 1,127 "," 1,145 "," 1,147 "," 1,169 "," 1,170 "
,,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BioLPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydrogen, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,System Transformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fuel Use (GWh) 2020,Fuel Use (GWh) 2021,Fuel Use (GWh) 2022,Fuel Use (GWh) 2023,Fuel Use (GWh) 2024,Fuel Use (GWh) 2025,Fuel Use (GWh) 2026,Fuel Use (GWh) 2027,Fuel Use (GWh) 2028,Fuel Use (GWh) 2029,Fuel Use (GWh) 2030,Fuel Use (GWh) 2031,Fuel Use (GWh) 2032,Fuel Use (GWh) 2033,Fuel Use (GWh) 2034,Fuel Use (GWh) 2035,Fuel Use (GWh) 2036,Fuel Use (GWh) 2037,Fuel Use (GWh) 2038,Fuel Use (GWh) 2039,Fuel Use (GWh) 2040,Fuel Use (GWh) 2041,Fuel Use (GWh) 2042,Fuel Use (GWh) 2043,Fuel Use (GWh) 2044,Fuel Use (GWh) 2045,Fuel Use (GWh) 2046,Fuel Use (GWh) 2047,Fuel Use (GWh) 2048,Fuel Use (GWh) 2049,Fuel Use (GWh) 2050
,,Gas, 526 , 565 , 815 ," 1,101 "," 1,414 "," 1,420 "," 1,418 "," 1,413 "," 1,403 "," 1,390 "," 1,376 "," 1,361 "," 1,342 "," 1,321 "," 1,299 "," 1,278 "," 1,217 "," 1,158 "," 1,078 ", 922 , 747 , 519 , 354 , 266 , 152 , 90 , 22 , 9 , -   , -   , -   
,,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Electricity, -   , -   , -   , -   , -   , 101 , 218 , 305 , 391 , 475 , 558 , 639 , 717 , 791 , 863 , 934 ," 1,004 "," 1,074 "," 1,147 "," 1,222 "," 1,278 "," 1,337 "," 1,397 "," 1,457 "," 1,518 "," 1,580 "," 1,583 "," 1,600 "," 1,602 "," 1,621 "," 1,622 "
,,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BioLPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydrogen, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leading the Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fuel Use (GWh) 2020,Fuel Use (GWh) 2021,Fuel Use (GWh) 2022,Fuel Use (GWh) 2023,Fuel Use (GWh) 2024,Fuel Use (GWh) 2025,Fuel Use (GWh) 2026,Fuel Use (GWh) 2027,Fuel Use (GWh) 2028,Fuel Use (GWh) 2029,Fuel Use (GWh) 2030,Fuel Use (GWh) 2031,Fuel Use (GWh) 2032,Fuel Use (GWh) 2033,Fuel Use (GWh) 2034,Fuel Use (GWh) 2035,Fuel Use (GWh) 2036,Fuel Use (GWh) 2037,Fuel Use (GWh) 2038,Fuel Use (GWh) 2039,Fuel Use (GWh) 2040,Fuel Use (GWh) 2041,Fuel Use (GWh) 2042,Fuel Use (GWh) 2043,Fuel Use (GWh) 2044,Fuel Use (GWh) 2045,Fuel Use (GWh) 2046,Fuel Use (GWh) 2047,Fuel Use (GWh) 2048,Fuel Use (GWh) 2049,Fuel Use (GWh) 2050
,,Gas, 416 , 445 , 640 , 652 , 630 , 581 , 521 , 474 , 423 , 374 , 326 , 279 , 232 , 186 , 140 , 93 , 47 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Electricity, -   , -   , -   , 52 , 121 , 224 , 342 , 432 , 517 , 603 , 689 , 774 , 861 , 949 ," 1,039 "," 1,130 "," 1,222 "," 1,314 "," 1,407 "," 1,500 "," 1,570 "," 1,641 "," 1,711 "," 1,782 "," 1,852 "," 1,923 "," 1,927 "," 1,947 "," 1,949 "," 1,971 "," 1,972 "
,,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BioLPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydrogen, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Steady Progression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fuel Use (GWh) 2020,Fuel Use (GWh) 2021,Fuel Use (GWh) 2022,Fuel Use (GWh) 2023,Fuel Use (GWh) 2024,Fuel Use (GWh) 2025,Fuel Use (GWh) 2026,Fuel Use (GWh) 2027,Fuel Use (GWh) 2028,Fuel Use (GWh) 2029,Fuel Use (GWh) 2030,Fuel Use (GWh) 2031,Fuel Use (GWh) 2032,Fuel Use (GWh) 2033,Fuel Use (GWh) 2034,Fuel Use (GWh) 2035,Fuel Use (GWh) 2036,Fuel Use (GWh) 2037,Fuel Use (GWh) 2038,Fuel Use (GWh) 2039,Fuel Use (GWh) 2040,Fuel Use (GWh) 2041,Fuel Use (GWh) 2042,Fuel Use (GWh) 2043,Fuel Use (GWh) 2044,Fuel Use (GWh) 2045,Fuel Use (GWh) 2046,Fuel Use (GWh) 2047,Fuel Use (GWh) 2048,Fuel Use (GWh) 2049,Fuel Use (GWh) 2050
,,Gas, 421 , 454 , 657 , 893 ," 1,156 "," 1,215 "," 1,245 "," 1,282 "," 1,357 "," 1,377 "," 1,392 "," 1,407 "," 1,458 "," 1,473 "," 1,487 "," 1,537 "," 1,555 "," 1,572 "," 1,587 "," 1,600 "," 1,638 "," 1,646 "," 1,652 "," 1,682 "," 1,685 "," 1,688 "," 1,687 "," 1,680 "," 1,678 "," 1,671 "," 1,669 "
,,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Electricity, -   , -   , -   , -   , -   , 70 , 164 , 232 , 287 , 360 , 433 , 507 , 570 , 649 , 729 , 801 , 888 , 975 ," 1,063 "," 1,151 "," 1,229 "," 1,316 "," 1,402 "," 1,481 "," 1,567 "," 1,653 "," 1,658 "," 1,685 "," 1,689 "," 1,717 "," 1,720 "
,,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BioLPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Hydrogen, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
