Domestic existing building stock and tenure split,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,variable,All stock,Owned or share owned share,Social rented share,Private rented share,Fraction on gas,Fraction fuel poor,,,,,,
,scenario,All,All,All,All,All,All,,,,,,
,year,2020,2020,2020,2020,2020,2020,,,,,,
,sector,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,,,,,,
,,,,,,,,,,,,,
,LSOA Code,All stock,Owner occupied share,Social rented share,Private rented share,Fraction on gas,Fraction fuel poor,LAD20NM,CTYUA19CD,CTYUA19NM,LEP20CD,LEP20NM,Licence area
,E01000045,616,0.4086,0.3887,0.2027,0.8594,0.1260,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000046,697,0.5061,0.3517,0.1422,0.9244,0.1200,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000048,556,0.0714,0.8152,0.1134,0.6049,0.0990,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000049,919,0.2286,0.6672,0.1042,0.6695,0.1070,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000050,604,0.3984,0.3886,0.2130,0.8201,0.1640,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000051,384,0.1338,0.7614,0.1048,0.5738,0.1080,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000052,786,0.5007,0.2731,0.2263,0.9109,0.1510,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000053,670,0.3690,0.3705,0.2605,0.6396,0.0800,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000054,651,0.4859,0.3699,0.1442,0.9850,0.1120,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000055,565,0.5196,0.3393,0.1411,0.9861,0.1150,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000056,581,0.4066,0.4223,0.1710,0.9149,0.0990,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000057,506,0.4618,0.4004,0.1378,0.9453,0.1140,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000058,693,0.4913,0.3333,0.1754,0.9886,0.1220,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000059,600,0.4827,0.3875,0.1298,0.9718,0.1160,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000060,765,0.4377,0.4610,0.1013,0.6438,0.1000,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000061,667,0.1093,0.8488,0.0419,0.4835,0.0900,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000062,760,0.5375,0.3351,0.1275,0.8250,0.1100,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000063,615,0.5528,0.3339,0.1134,0.9518,0.1350,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000064,828,0.5233,0.2948,0.1819,0.7311,0.1200,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000065,832,0.3760,0.4612,0.1628,0.7891,0.1090,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,EPN
,E01000066,695,0.5944,0.2796,0.1259,0.8323,0.1210,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
,E01000067,690,0.6686,0.1900,0.1414,0.9827,0.1250,Barking and Dagenham,E09000002,Barking and Dagenham,E37000051,London,LPN
