Domestic existing building stock and tenure split,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,variable,All stock,Owned or share owned share,Social rented share,Private rented share,Fraction on gas,Fraction fuel poor,,,,,,
,scenario,All,All,All,All,All,All,,,,,,
,year,2020,2020,2020,2020,2020,2020,,,,,,
,sector,Domestic,Domestic,Domestic,Domestic,Domestic,Domestic,,,,,,
,,,,,,,,,,,,,
,LSOA Code,All stock,Owner occupied share,Social rented share,Private rented share,Fraction on gas,Fraction fuel poor,LAD20NM,CTYUA19CD,CTYUA19NM,LEP20CD,LEP20NM,Licence area
,E01002329,664,0.8631,0.0358,0.1011,0.9347,0.1090,Havering,E09000016,Havering,E37000051,London,EPN
,E01002330,731,0.7246,0.1398,0.1357,0.8155,0.0940,Havering,E09000016,Havering,E37000051,London,EPN
,E01002331,612,0.8372,0.0654,0.0973,0.9698,0.0890,Havering,E09000016,Havering,E37000051,London,EPN
,E01002332,682,0.8199,0.0922,0.0878,0.9814,0.0800,Havering,E09000016,Havering,E37000051,London,EPN
,E01002333,505,0.9380,0.0078,0.0543,0.9750,0.1000,Havering,E09000016,Havering,E37000051,London,EPN
,E01002334,674,0.9273,0.0223,0.0504,0.9756,0.0780,Havering,E09000016,Havering,E37000051,London,EPN
,E01002335,571,0.6774,0.2382,0.0845,0.8692,0.0880,Havering,E09000016,Havering,E37000051,London,EPN
,E01002336,642,0.8987,0.0278,0.0735,0.8744,0.0980,Havering,E09000016,Havering,E37000051,London,EPN
,E01002337,568,0.7949,0.1191,0.0859,0.7736,0.0710,Havering,E09000016,Havering,E37000051,London,EPN
,E01002338,538,0.8623,0.0249,0.1128,0.9390,0.0900,Havering,E09000016,Havering,E37000051,London,EPN
,E01002339,613,0.9402,0.0150,0.0449,0.9872,0.0950,Havering,E09000016,Havering,E37000051,London,EPN
,E01002340,522,0.8762,0.0196,0.1041,0.9284,0.0790,Havering,E09000016,Havering,E37000051,London,EPN
,E01002341,565,0.9623,0.0126,0.0251,0.9668,0.0930,Havering,E09000016,Havering,E37000051,London,EPN
,E01002342,639,0.6820,0.1329,0.1851,0.7565,0.0960,Havering,E09000016,Havering,E37000051,London,EPN
,E01002343,660,0.9135,0.0110,0.0755,0.9451,0.1110,Havering,E09000016,Havering,E37000051,London,EPN
,E01002344,762,0.8197,0.0376,0.1426,0.8281,0.0940,Havering,E09000016,Havering,E37000051,London,EPN
,E01002345,819,0.5265,0.2103,0.2632,0.6274,0.0910,Havering,E09000016,Havering,E37000051,London,EPN
,E01002346,566,0.6463,0.1885,0.1652,0.9844,0.1050,Havering,E09000016,Havering,E37000051,London,EPN
,E01002347,570,0.8536,0.0228,0.1236,0.9837,0.1000,Havering,E09000016,Havering,E37000051,London,EPN
,E01002348,671,0.9361,0.0109,0.0530,0.9406,0.1010,Havering,E09000016,Havering,E37000051,London,EPN
,E01002349,629,0.8520,0.0773,0.0707,0.9633,0.0920,Havering,E09000016,Havering,E37000051,London,EPN
,E01002350,725,0.5288,0.1491,0.3221,0.6784,0.1000,Havering,E09000016,Havering,E37000051,London,EPN
,E01002351,701,0.7672,0.0398,0.1930,0.9000,0.0980,Havering,E09000016,Havering,E37000051,London,EPN
,E01002352,856,0.6939,0.0679,0.2382,0.7176,0.0760,Havering,E09000016,Havering,E37000051,London,EPN
,E01002353,901,0.6538,0.1563,0.1899,0.7578,0.0910,Havering,E09000016,Havering,E37000051,London,EPN
,E01002354,563,0.8877,0.0089,0.1034,0.9517,0.0760,Havering,E09000016,Havering,E37000051,London,EPN
,E01002355,578,0.9146,0.0174,0.0679,0.9684,0.0730,Havering,E09000016,Havering,E37000051,London,EPN
,E01002356,1225,0.3414,0.3539,0.3047,0.6244,0.0930,Havering,E09000016,Havering,E37000051,London,EPN
,E01002358,907,0.6271,0.0822,0.2908,0.8495,0.0880,Havering,E09000016,Havering,E37000051,London,EPN
,E01002359,534,0.9320,0.0078,0.0602,0.8379,0.0740,Havering,E09000016,Havering,E37000051,London,EPN
,E01002360,775,0.6765,0.1954,0.1280,0.7488,0.0780,Havering,E09000016,Havering,E37000051,London,EPN
,E01002361,925,0.5450,0.1971,0.2579,0.7528,0.0850,Havering,E09000016,Havering,E37000051,London,EPN
,E01002362,645,0.8133,0.0292,0.1575,0.8799,0.0740,Havering,E09000016,Havering,E37000051,London,EPN
,E01002363,695,0.6122,0.3134,0.0743,0.7311,0.0890,Havering,E09000016,Havering,E37000051,London,EPN
,E01002364,546,0.8930,0.0277,0.0793,0.9732,0.0930,Havering,E09000016,Havering,E37000051,London,EPN
,E01002365,541,0.8098,0.0580,0.1322,0.9282,0.1090,Havering,E09000016,Havering,E37000051,London,EPN
,E01002366,576,0.8768,0.0616,0.0616,1.0000,0.0940,Havering,E09000016,Havering,E37000051,London,EPN
,E01002367,680,0.7599,0.0319,0.2082,0.8941,0.0690,Havering,E09000016,Havering,E37000051,London,EPN
,E01002368,876,0.3937,0.5086,0.0977,0.6209,0.1050,Havering,E09000016,Havering,E37000051,London,EPN
,E01002369,759,0.7849,0.0973,0.1178,0.9046,0.0890,Havering,E09000016,Havering,E37000051,London,EPN
,E01002370,911,0.5745,0.3121,0.1135,0.8559,0.1060,Havering,E09000016,Havering,E37000051,London,EPN
,E01002371,665,0.8491,0.0607,0.0902,0.9777,0.0990,Havering,E09000016,Havering,E37000051,London,EPN
,E01002372,574,0.8723,0.0431,0.0846,0.9808,0.0990,Havering,E09000016,Havering,E37000051,London,EPN
,E01002373,648,0.8360,0.0701,0.0939,0.9753,0.0800,Havering,E09000016,Havering,E37000051,London,EPN
,E01002374,627,0.7599,0.1474,0.0927,0.8950,0.0930,Havering,E09000016,Havering,E37000051,London,EPN
,E01002375,717,0.6410,0.2747,0.0843,0.9405,0.1010,Havering,E09000016,Havering,E37000051,London,EPN
,E01002376,524,0.9231,0.0096,0.0673,0.9546,0.0810,Havering,E09000016,Havering,E37000051,London,EPN
,E01002377,798,0.7511,0.1153,0.1336,0.8067,0.0790,Havering,E09000016,Havering,E37000051,London,EPN
,E01002378,618,0.9106,0.0232,0.0662,0.9805,0.0930,Havering,E09000016,Havering,E37000051,London,EPN
,E01002379,690,0.7405,0.0258,0.2337,0.8792,0.0870,Havering,E09000016,Havering,E37000051,London,EPN
,E01002380,1193,0.5396,0.2046,0.2558,0.8671,0.0750,Havering,E09000016,Havering,E37000051,London,EPN
,E01002381,625,0.7473,0.1566,0.0961,0.7046,0.0700,Havering,E09000016,Havering,E37000051,London,EPN
,E01002382,795,0.7464,0.0562,0.1974,0.8561,0.0890,Havering,E09000016,Havering,E37000051,London,EPN
,E01002383,669,0.8923,0.0319,0.0759,0.9444,0.0800,Havering,E09000016,Havering,E37000051,London,EPN
,E01002384,678,0.8773,0.0311,0.0916,0.9519,0.0770,Havering,E09000016,Havering,E37000051,London,EPN
,E01002385,602,0.9002,0.0266,0.0732,0.8366,0.0850,Havering,E09000016,Havering,E37000051,London,EPN
,E01002386,953,0.7164,0.0287,0.2549,0.7288,0.0790,Havering,E09000016,Havering,E37000051,London,EPN
,E01002387,617,0.9671,0.0033,0.0297,0.9772,0.0780,Havering,E09000016,Havering,E37000051,London,EPN
,E01002388,613,0.9539,0.0049,0.0411,0.9807,0.0670,Havering,E09000016,Havering,E37000051,London,EPN
,E01002389,640,0.9551,0.0080,0.0369,0.9345,0.0690,Havering,E09000016,Havering,E37000051,London,EPN
,E01002390,535,0.9661,0.0075,0.0264,0.9817,0.0680,Havering,E09000016,Havering,E37000051,London,EPN
,E01002391,631,0.9112,0.0378,0.0510,0.8684,0.0950,Havering,E09000016,Havering,E37000051,London,EPN
,E01002415,641,0.9176,0.0140,0.0684,0.9608,0.0680,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002416,604,0.8685,0.0556,0.0759,0.9675,0.0820,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002417,751,0.8558,0.0141,0.1301,0.8764,0.0780,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002418,676,0.7979,0.1383,0.0638,0.9911,0.0860,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002419,634,0.8347,0.0196,0.1457,0.8711,0.0750,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002420,644,0.6873,0.1964,0.1163,0.8912,0.0630,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002421,645,0.8286,0.0629,0.1085,0.9580,0.0850,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002430,533,0.9313,0.0286,0.0401,0.9723,0.0650,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002431,482,0.9346,0.0082,0.0573,0.9880,0.0740,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002432,677,0.7622,0.0189,0.2189,0.7985,0.0780,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002433,1062,0.7187,0.1893,0.0921,0.6411,0.0750,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002434,517,0.8869,0.0496,0.0635,0.9721,0.0740,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002435,568,0.9290,0.0187,0.0523,0.9233,0.0710,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002436,696,0.7903,0.1216,0.0881,0.9264,0.0710,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002437,638,0.8602,0.0740,0.0658,0.8565,0.0670,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002438,569,0.7854,0.1083,0.1063,0.7381,0.0500,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002441,767,0.5877,0.2714,0.1409,0.7413,0.0680,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002465,653,0.7156,0.0521,0.2322,0.8700,0.0690,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002466,650,0.9084,0.0174,0.0742,0.9738,0.0620,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002467,661,0.8795,0.0172,0.1033,0.8718,0.0690,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002468,647,0.8705,0.0221,0.1074,0.9474,0.0620,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002469,645,0.8748,0.0222,0.1030,0.9440,0.0640,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002470,711,0.6211,0.1168,0.2621,0.8367,0.0900,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002471,634,0.8770,0.0315,0.0915,0.9642,0.0600,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002472,903,0.5785,0.1038,0.3178,0.7021,0.0590,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002473,701,0.6824,0.2421,0.0755,0.6177,0.0720,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002474,695,0.6858,0.1400,0.1742,0.8068,0.0920,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002475,750,0.5260,0.2645,0.2095,0.7058,0.0630,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002476,677,0.8085,0.0376,0.1538,0.8262,0.0640,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002477,600,0.6333,0.1127,0.2540,0.7284,0.0560,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002478,721,0.6396,0.0856,0.2748,0.7832,0.0800,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002479,663,0.6178,0.3073,0.0748,0.9839,0.0860,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002480,717,0.8359,0.0266,0.1374,0.9714,0.0590,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002481,676,0.5660,0.3065,0.1275,0.8926,0.0840,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002482,644,0.8947,0.0162,0.0891,0.9528,0.0710,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002483,808,0.6569,0.0448,0.2983,0.8810,0.0850,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002484,614,0.6171,0.2444,0.1385,0.8521,0.1020,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002485,827,0.5381,0.1680,0.2940,0.7708,0.0780,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002494,646,0.7504,0.1052,0.1444,0.9725,0.0880,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002495,784,0.6432,0.0978,0.2590,0.8378,0.0820,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002496,787,0.6441,0.1186,0.2373,0.6078,0.0630,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002497,1015,0.5810,0.1199,0.2991,0.7802,0.0900,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002498,545,0.8333,0.0620,0.1047,0.9301,0.0830,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002499,714,0.7153,0.0929,0.1917,0.9192,0.0800,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002533,606,0.6978,0.2224,0.0798,0.9321,0.0710,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002534,623,0.7348,0.1730,0.0923,0.8429,0.0740,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002535,1039,0.5894,0.0688,0.3418,0.6430,0.0730,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002536,635,0.5878,0.0246,0.3875,0.8496,0.0530,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002537,1081,0.6960,0.0190,0.2850,0.6442,0.0530,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002538,790,0.7574,0.1461,0.0965,0.8565,0.0560,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002539,705,0.8094,0.1228,0.0679,0.8884,0.0680,Hillingdon,E09000017,Hillingdon,E37000051,London,EPN
,E01002571,648,0.6596,0.0442,0.2962,0.6745,0.0780,Hounslow,E09000018,Hounslow,E37000051,London,LPN
,E01002573,665,0.6112,0.1060,0.2828,0.5832,0.1580,Hounslow,E09000018,Hounslow,E37000051,London,LPN
,E01002574,689,0.5907,0.0729,0.3364,0.5937,0.1110,Hounslow,E09000018,Hounslow,E37000051,London,LPN
,E01002575,727,0.5974,0.0683,0.3343,0.6212,0.1240,Hounslow,E09000018,Hounslow,E37000051,London,LPN
,E01002579,849,0.6586,0.1409,0.2005,0.5732,0.1130,Hounslow,E09000018,Hounslow,E37000051,London,LPN
,E01002650,803,0.4886,0.2197,0.2917,0.4628,0.1000,Hounslow,E09000018,Hounslow,E37000051,London,SPN
,E01002672,883,0.2840,0.4422,0.2738,0.4307,0.0740,Hounslow,E09000018,Hounslow,E37000051,London,SPN
,E01002693,935,0.4935,0.1617,0.3448,0.4880,0.0980,Hounslow,E09000018,Hounslow,E37000051,London,LPN
,E01002694,687,0.1405,0.6936,0.1659,0.9001,0.1010,Islington,E09000019,Islington,E37000051,London,LPN
,E01002695,869,0.2352,0.3560,0.4088,0.7013,0.0590,Islington,E09000019,Islington,E37000051,London,LPN
,E01002696,1010,0.4045,0.2693,0.3263,0.7110,0.1130,Islington,E09000019,Islington,E37000051,London,LPN
,E01002697,896,0.1312,0.6544,0.2144,0.4573,0.0970,Islington,E09000019,Islington,E37000051,London,LPN
,E01002698,1174,0.3892,0.3011,0.3097,0.6805,0.1010,Islington,E09000019,Islington,E37000051,London,LPN
,E01002699,828,0.3703,0.3613,0.2684,0.7424,0.0970,Islington,E09000019,Islington,E37000051,London,LPN
,E01002700,717,0.6125,0.1281,0.2594,0.7099,0.1240,Islington,E09000019,Islington,E37000051,London,LPN
,E01002701,796,0.1838,0.6379,0.1783,0.3651,0.0900,Islington,E09000019,Islington,E37000051,London,LPN
,E01002702,1070,0.1184,0.6057,0.2759,0.4518,0.1180,Islington,E09000019,Islington,E37000051,London,LPN
,E01002703,1275,0.2016,0.5659,0.2326,0.3444,0.0890,Islington,E09000019,Islington,E37000051,London,LPN
,E01002704,1409,0.2309,0.5227,0.2464,0.3463,0.0910,Islington,E09000019,Islington,E37000051,London,LPN
,E01002706,1037,0.1805,0.5654,0.2541,0.4335,0.1030,Islington,E09000019,Islington,E37000051,London,LPN
,E01002707,1085,0.2064,0.4284,0.3651,0.4014,0.0730,Islington,E09000019,Islington,E37000051,London,LPN
,E01002708,1064,0.2388,0.3991,0.3621,0.7782,0.1120,Islington,E09000019,Islington,E37000051,London,LPN
,E01002709,793,0.1731,0.5260,0.3009,0.9890,0.0750,Islington,E09000019,Islington,E37000051,London,LPN
,E01002710,706,0.2327,0.5862,0.1811,0.8929,0.0850,Islington,E09000019,Islington,E37000051,London,LPN
,E01002711,1175,0.2596,0.2970,0.4434,0.7080,0.1020,Islington,E09000019,Islington,E37000051,London,LPN
,E01002712,648,0.2879,0.3439,0.3682,0.6503,0.1250,Islington,E09000019,Islington,E37000051,London,LPN
,E01002713,922,0.1927,0.6695,0.1378,0.9711,0.0780,Islington,E09000019,Islington,E37000051,London,LPN
,E01002714,772,0.4215,0.1829,0.3956,0.6088,0.1170,Islington,E09000019,Islington,E37000051,London,LPN
,E01002715,636,0.1452,0.6070,0.2478,0.8908,0.0970,Islington,E09000019,Islington,E37000051,London,LPN
,E01002716,1090,0.1974,0.5690,0.2335,0.8303,0.1060,Islington,E09000019,Islington,E37000051,London,LPN
,E01002717,614,0.3746,0.3678,0.2576,0.8892,0.0940,Islington,E09000019,Islington,E37000051,London,LPN
,E01002718,850,0.3917,0.2303,0.3780,0.6559,0.0970,Islington,E09000019,Islington,E37000051,London,LPN
,E01002719,775,0.4817,0.2795,0.2388,0.6869,0.1020,Islington,E09000019,Islington,E37000051,London,LPN
,E01002720,1015,0.1752,0.6767,0.1480,0.9359,0.0890,Islington,E09000019,Islington,E37000051,London,LPN
,E01002721,864,0.3087,0.4791,0.2122,0.8506,0.1170,Islington,E09000019,Islington,E37000051,London,LPN
,E01002722,712,0.2141,0.5973,0.1886,0.8493,0.1330,Islington,E09000019,Islington,E37000051,London,LPN
,E01002723,793,0.2241,0.5429,0.2330,0.4533,0.1260,Islington,E09000019,Islington,E37000051,London,LPN
,E01002724,1222,0.4224,0.2078,0.3698,0.4526,0.1010,Islington,E09000019,Islington,E37000051,London,LPN
,E01002725,595,0.1713,0.6748,0.1538,0.4617,0.1220,Islington,E09000019,Islington,E37000051,London,LPN
,E01002726,885,0.2715,0.4255,0.3030,0.5279,0.1160,Islington,E09000019,Islington,E37000051,London,LPN
,E01002727,938,0.3008,0.3904,0.3088,0.4551,0.0970,Islington,E09000019,Islington,E37000051,London,LPN
,E01002728,491,0.2358,0.4951,0.2692,0.3954,0.1100,Islington,E09000019,Islington,E37000051,London,LPN
,E01002729,781,0.3604,0.3860,0.2536,0.6290,0.1480,Islington,E09000019,Islington,E37000051,London,LPN
,E01002730,902,0.2857,0.2648,0.4495,0.5980,0.1450,Islington,E09000019,Islington,E37000051,London,LPN
,E01002731,1379,0.3411,0.2096,0.4493,0.6952,0.1190,Islington,E09000019,Islington,E37000051,London,LPN
,E01002732,865,0.1523,0.6334,0.2144,0.5581,0.1030,Islington,E09000019,Islington,E37000051,London,LPN
,E01002733,664,0.4766,0.1622,0.3612,0.7521,0.1100,Islington,E09000019,Islington,E37000051,London,LPN
,E01002734,936,0.0661,0.5761,0.3578,0.7555,0.1360,Islington,E09000019,Islington,E37000051,London,LPN
,E01002735,960,0.1969,0.3745,0.4286,0.5245,0.1040,Islington,E09000019,Islington,E37000051,London,LPN
,E01002736,610,0.1193,0.7563,0.1244,0.9441,0.0960,Islington,E09000019,Islington,E37000051,London,LPN
,E01002737,796,0.1827,0.6256,0.1916,0.7938,0.1180,Islington,E09000019,Islington,E37000051,London,LPN
,E01002738,945,0.4064,0.3445,0.2491,0.7573,0.1270,Islington,E09000019,Islington,E37000051,London,LPN
,E01002739,893,0.4706,0.2684,0.2610,0.7304,0.1290,Islington,E09000019,Islington,E37000051,London,LPN
,E01002740,1046,0.5186,0.1563,0.3251,0.6818,0.1130,Islington,E09000019,Islington,E37000051,London,LPN
,E01002741,677,0.2332,0.5732,0.1936,0.9744,0.0920,Islington,E09000019,Islington,E37000051,London,LPN
,E01002742,771,0.5052,0.1689,0.3259,0.7207,0.1250,Islington,E09000019,Islington,E37000051,London,LPN
,E01002743,735,0.3650,0.3444,0.2906,0.6715,0.1310,Islington,E09000019,Islington,E37000051,London,LPN
,E01002744,736,0.3892,0.3532,0.2576,0.7059,0.1010,Islington,E09000019,Islington,E37000051,London,LPN
,E01002745,715,0.4552,0.2937,0.2511,0.6498,0.1060,Islington,E09000019,Islington,E37000051,London,LPN
,E01002747,672,0.4444,0.2044,0.3511,0.7773,0.1490,Islington,E09000019,Islington,E37000051,London,LPN
,E01002748,723,0.2519,0.4723,0.2759,0.7161,0.1260,Islington,E09000019,Islington,E37000051,London,LPN
,E01002749,608,0.3596,0.4457,0.1948,0.8525,0.1210,Islington,E09000019,Islington,E37000051,London,LPN
,E01002751,919,0.1705,0.6330,0.1966,0.6682,0.1020,Islington,E09000019,Islington,E37000051,London,LPN
,E01002752,762,0.3349,0.4777,0.1874,0.7216,0.0920,Islington,E09000019,Islington,E37000051,London,LPN
,E01002753,659,0.2508,0.4649,0.2843,0.6685,0.0970,Islington,E09000019,Islington,E37000051,London,LPN
,E01002754,680,0.4853,0.2117,0.3029,0.7341,0.1060,Islington,E09000019,Islington,E37000051,London,LPN
,E01002755,669,0.2157,0.6787,0.1055,0.7947,0.0750,Islington,E09000019,Islington,E37000051,London,LPN
,E01002756,600,0.4164,0.3197,0.2639,0.6933,0.1530,Islington,E09000019,Islington,E37000051,London,LPN
,E01002757,647,0.4169,0.4119,0.1712,0.8501,0.1410,Islington,E09000019,Islington,E37000051,London,LPN
,E01002758,798,0.1551,0.6615,0.1834,0.8811,0.1000,Islington,E09000019,Islington,E37000051,London,LPN
,E01002759,669,0.5159,0.2549,0.2291,0.7154,0.1420,Islington,E09000019,Islington,E37000051,London,LPN
,E01002760,717,0.2508,0.5863,0.1629,0.8680,0.0990,Islington,E09000019,Islington,E37000051,London,LPN
,E01002762,973,0.3465,0.2767,0.3768,0.5940,0.1360,Islington,E09000019,Islington,E37000051,London,LPN
,E01002763,630,0.2388,0.4245,0.3367,0.8340,0.1280,Islington,E09000019,Islington,E37000051,London,LPN
,E01002764,834,0.2864,0.4560,0.2575,0.7733,0.1180,Islington,E09000019,Islington,E37000051,London,LPN
,E01002765,1184,0.2388,0.5602,0.2010,0.8110,0.1210,Islington,E09000019,Islington,E37000051,London,LPN
,E01002766,981,0.1282,0.6523,0.2195,0.7682,0.1120,Islington,E09000019,Islington,E37000051,London,LPN
,E01002767,1044,0.2963,0.5000,0.2037,0.9405,0.1010,Islington,E09000019,Islington,E37000051,London,LPN
,E01002768,906,0.2738,0.5088,0.2174,0.7453,0.0960,Islington,E09000019,Islington,E37000051,London,LPN
,E01002769,760,0.3802,0.3294,0.2904,0.6541,0.1790,Islington,E09000019,Islington,E37000051,London,LPN
,E01002770,768,0.3607,0.2786,0.3607,0.6991,0.1400,Islington,E09000019,Islington,E37000051,London,LPN
,E01002771,717,0.2822,0.4719,0.2458,0.6734,0.1350,Islington,E09000019,Islington,E37000051,London,LPN
,E01002772,960,0.3479,0.3398,0.3123,0.7219,0.1250,Islington,E09000019,Islington,E37000051,London,LPN
,E01002773,737,0.2011,0.6667,0.1322,0.9917,0.0800,Islington,E09000019,Islington,E37000051,London,LPN
,E01002774,1066,0.2448,0.4577,0.2975,0.6629,0.1110,Islington,E09000019,Islington,E37000051,London,LPN
,E01002775,752,0.3499,0.3119,0.3382,0.6834,0.1120,Islington,E09000019,Islington,E37000051,London,LPN
,E01002776,957,0.2984,0.4612,0.2403,0.7229,0.1100,Islington,E09000019,Islington,E37000051,London,LPN
,E01002777,856,0.3277,0.3974,0.2749,0.6624,0.1350,Islington,E09000019,Islington,E37000051,London,LPN
,E01002778,782,0.1561,0.6501,0.1938,0.8728,0.0930,Islington,E09000019,Islington,E37000051,London,LPN
,E01002779,840,0.3720,0.3085,0.3195,0.6037,0.0840,Islington,E09000019,Islington,E37000051,London,LPN
,E01002780,804,0.3250,0.4613,0.2136,0.6145,0.0960,Islington,E09000019,Islington,E37000051,London,LPN
,E01002781,611,0.2475,0.5669,0.1856,0.7390,0.0980,Islington,E09000019,Islington,E37000051,London,LPN
,E01002782,611,0.1688,0.6672,0.1640,0.9174,0.1040,Islington,E09000019,Islington,E37000051,London,LPN
,E01002783,841,0.2340,0.5376,0.2284,0.7224,0.1100,Islington,E09000019,Islington,E37000051,London,LPN
,E01002784,796,0.2650,0.5150,0.2199,0.8628,0.1020,Islington,E09000019,Islington,E37000051,London,LPN
,E01002785,787,0.4595,0.2524,0.2881,0.6702,0.1700,Islington,E09000019,Islington,E37000051,London,LPN
,E01002786,973,0.1981,0.5048,0.2971,0.7789,0.0890,Islington,E09000019,Islington,E37000051,London,LPN
,E01002787,657,0.1955,0.5381,0.2664,0.8266,0.1160,Islington,E09000019,Islington,E37000051,London,LPN
,E01002788,933,0.4236,0.2424,0.3341,0.5754,0.1110,Islington,E09000019,Islington,E37000051,London,LPN
,E01002789,873,0.5704,0.1691,0.2605,0.6399,0.1270,Islington,E09000019,Islington,E37000051,London,LPN
,E01002790,763,0.0949,0.7465,0.1586,0.8427,0.0750,Islington,E09000019,Islington,E37000051,London,LPN
,E01002791,898,0.3688,0.2887,0.3425,0.6784,0.0950,Islington,E09000019,Islington,E37000051,London,LPN
,E01002792,1010,0.3523,0.2851,0.3626,0.6097,0.1210,Islington,E09000019,Islington,E37000051,London,LPN
,E01002793,1073,0.2090,0.5350,0.2560,0.7457,0.0960,Islington,E09000019,Islington,E37000051,London,LPN
,E01002794,1122,0.3016,0.3074,0.3910,0.7426,0.1120,Islington,E09000019,Islington,E37000051,London,LPN
,E01002795,939,0.2793,0.3720,0.3488,0.7924,0.0950,Islington,E09000019,Islington,E37000051,London,LPN
,E01002796,541,0.3185,0.3931,0.2883,0.6410,0.1260,Islington,E09000019,Islington,E37000051,London,LPN
,E01002797,904,0.2351,0.5206,0.2443,0.8446,0.0860,Islington,E09000019,Islington,E37000051,London,LPN
,E01002798,994,0.4946,0.2560,0.2495,0.6898,0.1010,Islington,E09000019,Islington,E37000051,London,LPN
,E01002799,863,0.2023,0.5920,0.2057,0.8022,0.1030,Islington,E09000019,Islington,E37000051,London,LPN
,E01002800,869,0.1333,0.7747,0.0920,0.6411,0.1150,Islington,E09000019,Islington,E37000051,London,LPN
,E01002801,857,0.4107,0.2754,0.3139,0.7086,0.1180,Islington,E09000019,Islington,E37000051,London,LPN
,E01002802,824,0.4306,0.2365,0.3329,0.6279,0.0990,Islington,E09000019,Islington,E37000051,London,LPN
,E01002803,1794,0.3765,0.3273,0.2963,0.5716,0.1210,Islington,E09000019,Islington,E37000051,London,LPN
,E01002804,786,0.2016,0.5385,0.2599,0.7214,0.1070,Islington,E09000019,Islington,E37000051,London,LPN
,E01002805,810,0.2493,0.2731,0.4776,0.6444,0.1150,Islington,E09000019,Islington,E37000051,London,LPN
,E01002806,757,0.4341,0.3537,0.2122,0.6813,0.1280,Islington,E09000019,Islington,E37000051,London,LPN
,E01002807,819,0.2257,0.4854,0.2888,0.7699,0.1010,Islington,E09000019,Islington,E37000051,London,LPN
,E01002808,964,0.3652,0.3046,0.3302,0.7646,0.1330,Islington,E09000019,Islington,E37000051,London,LPN
,E01002809,756,0.3457,0.3714,0.2829,0.6441,0.1540,Islington,E09000019,Islington,E37000051,London,LPN
