Gas grid connection,Heating system type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
On gas,HP,0%,1%,1%,2%,3%,4%,5%,6%,8%,10%,13%,20%,27%,33%,40%,47%,53%,60%,67%,73%,80%,87%,93%,100%,100%,100%,100%,100%,100%,100%,100%
On gas,Direct Electric,0%,1%,1%,2%,3%,4%,5%,6%,8%,10%,13%,20%,27%,33%,40%,47%,53%,60%,67%,73%,80%,87%,93%,100%,100%,100%,100%,100%,100%,100%,100%
On gas,biomass/bio LPG,0%,1%,1%,2%,3%,4%,5%,6%,8%,10%,13%,20%,27%,33%,40%,47%,53%,60%,67%,73%,80%,87%,93%,100%,100%,100%,100%,100%,100%,100%,100%
On gas,H2,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,13%,20%,27%,33%,40%,47%,53%,60%,67%,73%,80%,87%,93%,100%,100%,100%,100%,100%,100%,100%,100%
Off gas,HP,0%,1%,2%,3%,5%,7%,11%,17%,24%,31%,37%,44%,51%,57%,64%,71%,77%,84%,91%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Off gas,Direct Electric,0%,1%,2%,3%,5%,7%,11%,17%,24%,31%,37%,44%,51%,57%,64%,71%,77%,84%,91%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Off gas,biomass/bio LPG,0%,1%,2%,3%,5%,7%,11%,17%,24%,31%,37%,44%,51%,57%,64%,71%,77%,84%,91%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Off gas,H2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
