Electricity demand for heat (kWh),,,,,,,,,,,,,
"Notes: Data gives all electricity demand for space and hot water heating by LSOA, including new builds and district heating",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,variable,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,Electricity_demand_for_heat_kWh,,,,
,scenario,Baseline,Consumer Transformation,Consumer Transformation Hybrid HPs,System Transformation,Leading the Way,Consumer Transformation,System Transformation,Leading the Way,,,,
,year,2020,2030,2030,2030,2030,2050,2050,2050,,,,
,sector,Combined,Combined,Combined,Combined,Combined,Combined,Combined,Combined,,,,
,,,,,,,,,,,,,
,LSOA code,Electricity_demand_for_heat_kWhBaseline2020Combined,Electricity_demand_for_heat_kWh2030 Consumer Transformation,Electricity_demand_for_heat_kWh2030 Consumer Transformation Hybrid HP,Electricity_demand_for_heat_kWh2030 System Transformation,Electricity_demand_for_heat_kWh2030 Leading The Way,Electricity_demand_for_heat_kWh2050 Consumer Transformation,Electricity_demand_for_heat_kWh2050 System Transformation,Electricity_demand_for_heat_kWh2050 Leading The Way,LAD20NM,CTYUA19NM,LEP20NM,Licence area
,E01000001,7700778.241,7377157.453,7348637.16,8420639.927,8509618.267,9692764.765,11292869.06,13032973.84,City of London,City of London,London,LPN
,E01000002,16104475.85,17339260.04,17308991.73,18350124.42,21835053.8,28151510.17,33036728.13,40862954.98,City of London,City of London,London,LPN
,E01000003,4634892.832,4392940.006,4359852.061,4812429.147,4811332.257,5849532.975,6313135.236,6988520.428,City of London,City of London,London,LPN
,E01000005,14443223.92,13653303.78,13637539.28,13699199.87,14970451.24,16274098.86,19718221.3,23476602.56,City of London,City of London,London,LPN
,E01000006,1394780.462,1117362.438,1074634.023,1092029.39,1149631.876,1691178.963,742176.0475,1524491.608,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000007,4309774.348,3527418.692,3476798.688,3683621.697,3528343.826,3422671.844,2834231.422,3087545.58,Barking and Dagenham,Barking and Dagenham,London,LPN
