Sector,Sub-sector,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Domestic,Existing on gas grid,Mt CO2,12.67,12.62,12.54,12.45,12.35,12.22,12.07,11.89,11.66,11.32,10.79,10.23,9.63,8.97,8.26,7.52,6.76,5.99,5.22,4.39,3.46,2.51,1.55,0.81,0.56,0.52,0.52,0.5,0.5,0.48,0.48
Domestic,Existing off gas grid,Mt CO2,5.22,5.17,5.1,5.01,4.9,4.73,4.41,4.09,3.77,3.44,3.12,2.8,2.48,2.15,1.82,1.5,1.17,0.83,0.5,0.31,0.29,0.26,0.24,0.21,0.19,0.17,0.17,0.17,0.17,0.16,0.16
Domestic,District Heating,Mt CO2,0.28,0.28,0.32,0.36,0.4,0.4,0.39,0.37,0.34,0.32,0.32,0.3,0.28,0.27,0.25,0.22,0.2,0.18,0.15,0.13,0.12,0.11,0.11,0.1,0.09,0.09,0.07,0.06,0.05,0.04,0.03
Domestic,New build,Mt CO2,0.11,0.17,0.22,0.27,0.31,0.39,0.45,0.5,0.55,0.59,0.62,0.65,0.68,0.7,0.72,0.73,0.73,0.73,0.72,0.7,0.68,0.65,0.61,0.57,0.53,0.47,0.42,0.35,0.28,0.21,0.14
Non-domestic,Non-domestic,Mt CO2,8.48,8.22,7.94,7.67,7.39,7.1,6.81,6.55,6.29,6.02,5.69,5.45,5.21,4.99,4.77,4.56,4.32,3.99,3.66,3.33,3.01,2.69,2.37,2.07,1.77,1.46,1.15,0.83,0.51,0.29,0.19
Domestic,Total,Mt CO2,26.77,26.46,26.12,25.75,25.34,24.83,24.13,23.4,22.6,21.69,20.55,19.43,18.28,17.08,15.82,14.53,13.18,11.72,10.26,8.85,7.56,6.23,4.88,3.76,3.14,2.72,2.33,1.92,1.51,1.18,1
