Total heat demand (kWh_th),,,,,,,,,,,,
Notes:,"Figures are for total heat demand in kWh_th of all buildings, including new build ",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,variable,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,,,,
,scenario,Baseline,Consumer Transformation,System Transformation,Leading the Way,Consumer Transformation,System Transformation,Leading the Way,,,,
,year,2020,2030,2030,2030,2050,2050,2050,,,,
,sector,Combined,Combined,Combined,Combined,Combined,Combined,Combined,,,,
,,,,,,,,,,,,
,LSOA code,Total_heat demand_kWhBaseline2020Combined,Total_heat demand_kWhConsumer Transformation2030Combined,Total_heat demand_kWhSystem Transformation2030Combined,Total_heat demand_kWhLeading the Way2030Combined,Total_heat demand_kWhConsumer Transformation2050Combined,Total_heat demand_kWhSystem Transformation2050Combined,Total_heat demand_kWhLeading the Way2050Combined,LAD20NM,CTYUA19NM,LEP20NM,Licence area
,E01003745,10367208.54,13033761.93,13632734.95,12534018.84,9897412.207,10303528.72,9898843.415,Redbridge,Redbridge,London,LPN
,E01003746,17733146.87,20278027.15,21607085.41,19395936.77,14197021.14,15001010.29,14035586.36,Redbridge,Redbridge,London,LPN
,E01003747,10675526.41,13087451.32,13891803.16,12538666.8,9722471.244,10227938.04,9724433.712,Redbridge,Redbridge,London,LPN
,E01003748,20657864.87,28612969.79,29394957.51,26936818.17,18441324.79,18866661.69,18079128.16,Redbridge,Redbridge,London,LPN
,E01003749,12374303.21,14573014.93,15274115.32,13960956.79,11546291.58,11992369.85,11492333.55,Redbridge,Redbridge,London,LPN
,E01003750,16167665.8,18185344.94,19214618.87,17391837.26,13503355.82,14064212.83,13324600.57,Redbridge,Redbridge,London,LPN
,E01003751,8782932.617,8385428.494,8740558.102,8146670.985,8081710.287,8270466.607,7947574.585,Redbridge,Redbridge,London,LPN
,E01003752,19826361.99,24512792.51,26040255.73,23551415.91,18105086.61,19015453.32,17958045.28,Redbridge,Redbridge,London,LPN
,E01003753,10635661.44,10661897.82,11073072.5,10433771.68,10209433.5,10412718.35,10202974.83,Redbridge,Redbridge,London,LPN
,E01003754,7938375.466,7642736.007,7967243.294,7425042.113,7308161.132,7482371.766,7279727.369,Redbridge,Redbridge,London,LPN
,E01003755,19055398.86,24487761.73,26686542.48,23436710.48,15738904.3,17051957.03,15623964.54,Redbridge,Redbridge,London,LPN
,E01003756,11547112.59,12217174.22,13054627.17,11834493.3,10614324.46,11086118.87,10610103.37,Redbridge,Redbridge,London,LPN
,E01003757,11115902.64,12359214.29,13111792.59,11976167.19,10242965.36,10673043.12,10189047.54,Redbridge,Redbridge,London,LPN
,E01003758,11609112.1,12608840.88,13237193.24,12304203.41,11015207.38,11381469.03,11004420.54,Redbridge,Redbridge,London,LPN
,E01003759,7653829.57,7399875.139,7763950.26,7165432.064,7231117.039,7437689.434,7226220.261,Redbridge,Redbridge,London,LPN
,E01003760,8985012.764,8586084.536,8943869.051,8329983.769,8153545.573,8339877.149,8089051.93,Redbridge,Redbridge,London,LPN
,E01003761,13063050.16,12273506.06,12608171.82,12241849.65,12424348.8,12600069.86,12489162.97,Redbridge,Redbridge,London,LPN
,E01003762,10128568.53,9743006.327,10192282.24,9385518.041,8568946.022,8776171.829,8424822.112,Redbridge,Redbridge,London,LPN
,E01003763,8877989.705,8614162.515,9010736.479,8370747.305,8524533.488,8760091.956,8525786.847,Redbridge,Redbridge,London,LPN
,E01003764,11201114.62,10781900.69,11219524.59,10490284.2,10379825.55,10555639.92,10335845.2,Redbridge,Redbridge,London,LPN
,E01003765,9899794.472,9562877.961,9963972.348,9285804.418,9211083.29,9390929.541,9159734.27,Redbridge,Redbridge,London,LPN
,E01003766,8631431.321,8255108.261,8578189.639,8012070.959,7613099.771,7772933.552,7548001.558,Redbridge,Redbridge,London,LPN
,E01003767,11510745.12,12335157.29,12682153.54,11947186.06,9708483.126,9884047.002,9569765.773,Redbridge,Redbridge,London,LPN
,E01003768,11194704.09,11251585.27,11717163.44,10919922.63,9666224.103,9890792.04,9555092.657,Redbridge,Redbridge,London,LPN
,E01003769,6410340.615,7339068.101,7779227.095,7408916.957,7394567.049,9076412.608,8973275.503,Redbridge,Redbridge,London,LPN
,E01003770,11925717.44,11898115.11,12307394.44,11533516.89,9985579.77,10157896.67,9906150.371,Redbridge,Redbridge,London,LPN
,E01003771,9914943.86,10265650.64,10596578.85,9919144.593,8380880.024,8525354.19,8261714.357,Redbridge,Redbridge,London,LPN
,E01003772,7934564.448,7574853.6,7901628.126,7347929.539,7031127.926,7217671.604,6980977.131,Redbridge,Redbridge,London,LPN
,E01003773,9904312.46,10423276.42,10775478.16,10032076.04,8324790.94,8482271.409,8196393.677,Redbridge,Redbridge,London,LPN
,E01003774,13336973.22,12929958.29,13476152.35,12600537.43,12651596.82,12927744.22,12643175.94,Redbridge,Redbridge,London,LPN
,E01003775,9151244.909,8885452.077,9255574.991,8646536.943,8671854.837,8858007.024,8662651.816,Redbridge,Redbridge,London,LPN
,E01003776,13756976.44,13146183.96,13606829.07,12918002.59,13039605.79,13254154.77,13006691.02,Redbridge,Redbridge,London,LPN
,E01003777,11744755.83,11896162.32,12350959.72,11639461.19,11633573.45,11820503.63,11616995.86,Redbridge,Redbridge,London,LPN
,E01003778,16470482.56,15218618.68,15885559.86,14706618.43,13733085.32,14029383.81,13509666.83,Redbridge,Redbridge,London,LPN
,E01003779,9804633.008,10120968.13,10547184.93,9847426.472,9539723.481,9731629.869,9514402.742,Redbridge,Redbridge,London,LPN
,E01003780,7241419.353,7100814.351,7453325.01,6858696.953,6802942.513,7020201.594,6793560.909,Redbridge,Redbridge,London,LPN
,E01003781,7967097.781,8484962.942,9169330.979,8582637.042,8315326.325,10321760.07,10181853.98,Redbridge,Redbridge,London,LPN
,E01003782,7836506.145,7682049.032,7995053.107,7496509.998,7010412.079,7180884.153,6966018.941,Redbridge,Redbridge,London,LPN
,E01003783,18320506.91,16488554.78,17066858.49,15832373.93,12877927.62,13130925.13,12476405.14,Redbridge,Redbridge,London,LPN
,E01003784,8238477.302,7971971.184,8261593.506,7812959.584,7967134.111,8110044.661,7968639.055,Redbridge,Redbridge,London,LPN
,E01003785,9044623.69,8726495.143,8979953.213,8600675.535,8805886.4,8928294.343,8740047.129,Redbridge,Redbridge,London,LPN
,E01003786,6307447.536,6080377.787,6352050.426,5915242.099,5987306.178,6131654.524,5983380.335,Redbridge,Redbridge,London,LPN
,E01003787,6390590.769,6188408.813,6435176.504,6045674.687,6175875.355,6298296.539,6179070.45,Redbridge,Redbridge,London,LPN
,E01003788,8824251.098,8286651.091,8553200.85,8115975.013,8060204.524,8193209.248,7861334.552,Redbridge,Redbridge,London,LPN
,E01003789,9251302.228,9234761.569,9731101.34,8942311.917,8314511.722,8571856.939,8273064.864,Redbridge,Redbridge,London,LPN
,E01003790,7442234.066,7395938.462,7730672.099,7169897.334,6719326.362,6901677.691,6673597.548,Redbridge,Redbridge,London,LPN
,E01003791,9408311.82,8943401.693,9357132.012,8602889.963,7840441.832,8049363.758,7730098.885,Redbridge,Redbridge,London,LPN
,E01003792,8024052.774,7946606.617,8360776.502,7665757.896,6983963.094,7206149.437,6922860.929,Redbridge,Redbridge,London,LPN
,E01003793,11638643.17,11193387.92,11639264.17,10925897.3,10820036.48,11023298.79,10797403.2,Redbridge,Redbridge,London,LPN
,E01003794,10544284.39,11853880.35,12640117.04,11347517.52,9020378.776,9503325.361,8927412.115,Redbridge,Redbridge,London,LPN
,E01003795,7027666.565,7133575.528,7578563.566,6887837.972,6510614.226,6772363.39,6501966.889,Redbridge,Redbridge,London,LPN
,E01003796,10230440.51,10685387.16,11272127.48,10291131.5,8905553.27,9228470.636,8808331.407,Redbridge,Redbridge,London,LPN
,E01003797,8852830.197,8339989.236,8776983.159,8086737.945,7990570.495,8286887.775,7984722.8,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003798,8968654.143,8430209.793,8816775.342,8195903.307,8049069.874,8278163.007,8021971.044,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003799,9879734.742,9566995.85,9993809.117,9279384.505,8902657.205,9150327.293,8831193.398,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003800,9493498.107,8936922.957,9320442.069,8747317.59,8743407.466,8973982.355,8743555.33,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003801,8503765.287,7960669.786,8322127.278,7664175.916,6849548.608,7007882.631,6724581.174,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003802,7071712.579,6729210.909,7033994.487,6661197.977,6507952.406,6666632.97,6619913.191,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003803,8244364.4,7667212.219,7957141.016,7568292.259,7583497.001,7764525.572,7580436.638,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003804,8612041.16,9513836.817,10441251.48,9806765.733,9669699.224,12287824.25,12116268.15,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003805,10125074.37,9638011.401,10128121.26,9278127.582,8593786.328,8888559.657,8526993.731,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003806,8459442.85,8036858.992,8461162.351,7738972.208,7185994.797,7438827.068,7132263.615,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003807,15215176.7,16649677.12,16132612.25,14913361.1,12831749.2,14583464.77,14351153.66,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003808,7684977.084,9163989.558,9959992.05,9459467.815,9885924.219,12338327.26,12200877.77,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003809,11707634.88,12380887.09,12899476.56,11830084.43,10472123.04,10785740.66,10392655.82,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003810,8835383.152,8436321.682,8834740.074,8159425.167,7810395.837,8008648.11,7775419.075,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003811,9890336.773,9417216.664,9854522.38,9136627.58,9029689.976,9231377.829,9023016.833,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003812,10263352.59,9795224.89,10206696.37,9509660.076,9192399.269,9398849.225,9114004.917,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003813,9140834.08,8702646.484,9131340.629,8422486.923,8222029.052,8476405.802,8205425.41,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003814,10835323.75,10388096.82,10816396.94,10127163.92,10064831.32,10288799.26,10066994.49,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003815,15666532.84,14175734.33,14916469.04,13539428.88,10738917.22,11042755.68,10387409.93,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003816,10998360.12,10336862.82,10860058.44,9924856.387,8689409.368,9020631.993,8548349.861,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003817,15187499.03,14350753.5,14972557.15,13822559.08,12278627.12,12551011.78,12088922.47,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003818,11454018.71,12888707.03,13800127.87,12389431.13,10006284.56,10554277.78,9971330.922,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003819,15135219.77,17941461.82,19054998.94,17356992.05,13616500.23,14307394.63,13614813.5,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003820,11365790.19,12139703.58,12573126.1,11660288.72,10461364.4,10694046.44,10394308.3,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003821,12034183.74,11402092.3,11783833.96,11195691.23,10819864.58,10980840.67,10796767.33,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003822,7650150.297,7287675.197,7658483.581,7044793.67,6870353.917,7127908.721,6858023.244,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003823,12872826.58,12121201.24,12660052.31,11732123.63,11085661.78,11342733.45,10992173.97,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003824,8966104.522,8556361.338,8969403.506,8290431.825,8180043.251,8422500.921,8157261.01,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003825,8385226.972,8022812.232,8413969.278,7777674.8,7766375.593,7995824.231,7764584.191,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003826,11396644.29,11318411.39,11885252.86,10982558.3,9443486.005,9743877.846,9336936.134,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003827,13271545.74,12397521.64,12911766.42,11994225.74,10938686.79,11174152.68,10795588.08,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003828,8552094.114,8169554.912,8561357.48,7911021.046,7784783.095,8010344.572,7776551.87,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003829,11109293.69,11028962.63,11423846.72,10560479.38,8918429.017,9120046.225,8766247.118,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003830,10625878.08,10089306.53,10536490.12,9819331.254,9717995.823,9976187.618,9686713.757,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003831,8817372.336,8444791.553,8817912.3,8182502.716,7906115.97,8120798.649,7871289.504,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003832,7658983.031,7247403.458,7524694.833,7111989.146,7077714.935,7249045.777,7054821.364,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003833,8743718.259,8361258.738,8689811.93,8131863.457,7803750.052,7980198.793,7745099.795,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003834,16560500.49,15174189.92,15849648.71,14662320.49,13086568.34,13332479.63,12907571.83,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003835,16393062.34,20063761.69,21735612.59,19154097.06,13469862.48,14434539.49,13374736.93,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003836,8397657.332,7941106.757,8309372.563,7708826.832,7437797.698,7660778.473,7407594.502,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003837,15041151.99,14082692.11,14683716.5,13504098.24,11485292.62,11758099.72,11245406.08,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003838,11271526.29,10697802.67,11175254.56,10455114.36,10368278.91,10645131.83,10396235.8,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003839,17420070.78,16461610.14,17098643.68,16051341.63,15552881.11,15789959.26,15533843.25,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003840,7798650.427,7417306.595,7750475.503,7219801.02,7197308.371,7393984.717,7178844.172,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003841,10557002.67,9959895.17,10317502.52,9788096.607,9585513.697,9793375.58,9563602.202,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003842,8552552.21,8094272.405,8431542.116,7886664.809,7621103.092,7822182.713,7584663.889,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003843,11274116.44,10546986.5,11024053.82,10240244.43,9691293.091,9954032.686,9570662.839,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003844,12270488.93,11268899.88,11794716.85,10604938.24,7343749.393,7607309.884,6941610.516,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003845,8477188.44,8130656.556,8510988.316,7886209.076,7829667.083,8061630.456,7822543.293,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003846,6357345.393,7332595.574,8231616.997,7745021.83,8218207.407,10411176.14,10242378,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003847,12784110.38,12462267.3,13004930.25,12101063.95,11174600.42,11430588.41,11075765.24,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003848,10012846.66,9696083.627,10080270.66,9467837.954,9379471.188,9579384.381,9378921.319,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003849,6060147.792,7113267.378,8099214.169,7636828.679,8256183.08,10607438.75,10463650.72,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003851,10563629.99,10287438.39,10777952.02,9955941.625,9240362.093,9507946.224,9180415.528,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003852,9978574.911,9482542.765,9865890.539,9235732.306,9014955.709,9166459.67,8998177.734,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003853,10206960.95,10736203.17,11261146.72,10384181.75,9172894.392,9476145.147,9164680.07,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003854,10170936.72,9804491.686,10219967.52,9480191.218,8617063.223,8804261.746,8533062.056,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003855,24230376.14,30392676.85,32782713.89,29037514.82,21050818.23,22462204.89,20852162.57,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003856,6209417.872,7172842.165,8365862.175,7941208.255,8537916.643,11286949.54,11180942.79,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003857,6444241.344,7390448.626,8583770.522,8134873.218,8743977.848,11459863.44,11320593.03,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003858,10272619.13,9999221.972,10774802.33,9949325.963,8428434.536,10791576,10572127.76,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003859,8920568.614,8557418.824,9013511.144,8280973.832,8120747.846,8402787.067,8113111.914,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003860,12662695.92,11812354.01,12297151.13,11395132.39,10188784.03,10438251.57,9824495.013,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003861,9569041.957,12332259,12956819.74,12195240.67,12307178.48,14913496.02,14738017.79,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003862,10639124.62,10017932.65,10450341.94,9792439.457,9711244.571,9946112.591,9718994.566,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003863,10174546.66,10680257.54,11024500.96,10330425.29,9336680.791,9532657.147,9273415.609,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003864,8862267.715,8375916.258,8755932.204,8122248.541,7795357.149,7990577.429,7759113.592,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003865,9211898.546,10250303.19,10909311.34,9928496.416,8613944.128,9012841.387,8603679.907,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003866,5039107.963,6014721.586,7138179.783,6758544.774,7622630.777,10017338.97,9899843.023,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003867,8883925.478,8499750.809,9009735.458,8206392.796,7571555.472,7882016.21,7546737.957,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003868,4358504.593,9296421.359,9623429.054,9298029.514,8275024.608,9171666.11,9094934.175,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003869,10819098.49,10717544.26,11365062.66,10455230.57,9092296.091,9555777.538,9140619.91,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003870,15112940.82,14780129.99,15532425.89,14237383.34,12472301.57,12839015.61,12335872.25,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003871,10229542.73,9397773.688,9875304.339,9102040.267,8673222.071,8911849.249,8648060.111,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003872,11455364.55,11802679.1,12591511.67,11430497.24,10204811.19,10631914.61,10209231.14,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003873,9191612.881,10812598.88,11903435.49,11270332.49,11224735.77,14028994.52,13884856.93,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003874,6496655.754,8367208.905,9295494.008,8877472.428,9146566.767,11649835.23,11558895.69,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003875,10356509.91,10288810.66,10697366.77,9979548.565,8787041.139,8998659.24,8749040.12,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003876,8413118.309,10196618.44,11692207.52,11135385.58,11815557,15086932.1,14857856.88,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003877,5660007.795,7002443.198,8275459.58,7951088.06,9143820.284,11921367.47,11832112,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003878,8486309.555,8502802.067,8747177.45,8327547.871,7472219.022,7613807.619,7415782.569,Richmond upon Thames,Richmond upon Thames,London,LPN
,E01003879,5456177.244,6522843.681,7647241.329,7305930.83,8298163.993,10683802,10596578.51,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003880,8449196.137,8511670.323,8887062.298,8224349.986,7594572.929,7808207.3,7568013.523,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003881,7441217.913,7010467.386,7329396.078,6752084.195,6118765.102,6282690.328,6033467.355,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003882,11419555.13,10694429.74,11205392.11,10334507.48,10037008.22,10308757.47,9861738.84,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003883,13188512.65,14023197.04,14845149.54,13564088.18,11910635.61,12328139.75,11861122.28,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003884,11421214.39,11137364.59,11727153.2,10773776.17,9639140.797,9983966.228,9584466.436,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003885,8725744.519,8247698.776,8615149.597,7968605.451,7486066.171,7664279.765,7399961.575,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003886,5831377.672,6561191.419,7654922.739,7216901.966,7818992.48,10220633.58,10087151.21,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003887,7403298.593,8314047.813,9547653.369,9045860.011,9586433.14,12400422.33,12224998.27,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003888,15174803.19,15281252.14,16070003.78,14807696.68,12900639.27,13319768.28,12727133.42,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003889,10040920.45,9486898.429,9923006.808,9190442.264,8885157.952,9086711.357,8839347.634,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003890,9848107.092,9403747.983,9802576.996,9155970.098,9036213.814,9237563.107,9021974.653,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003891,12465424.59,12189322.06,12772437.59,11854198.63,11409328.03,11716589.55,11417815.73,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003892,23298657.67,28280729.94,29424954.29,26971630.88,20954259.32,21502556.91,20780679.56,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003893,18304128.56,22039381.47,23185566.78,21142962.31,16219877.07,16848371.64,16112589.77,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003894,8903046.525,15370072.27,14628627.73,13671427.44,11614765.99,11684404.38,11484189.03,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003895,18102595.49,19925332.48,20867812.57,18900404.31,13167164.15,13646546.89,12785089.08,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003896,17425487.65,15062115.69,15724583.94,14509845.67,12807356.21,13161558.59,12392457.21,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003897,3802816.442,9654259.4,10499876.27,10211117.4,9549314.7,10947870.44,10843176,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003898,9412454.977,8958730.377,9352620.399,8696841.15,8449105.263,8647078.058,8391737.905,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003899,9050659.891,8657701.5,9021795.96,8420513.406,8317148.671,8486463.586,8308856.591,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003900,9869708.012,9485331.829,9904519.801,9177033.488,8064532.291,8298806.892,7952181.39,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003901,7619385.507,7303152.155,7650189.908,7084473.605,7094626.766,7279880.408,7097340.584,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003902,6031639.863,5807326.267,6069914.12,5636244.574,5619045.473,5753437.008,5616619.202,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003903,10554319.06,11906626.24,12571471.06,11475096.21,9450338.489,9862112.542,9446870.271,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003904,8248635.203,7880882.887,8223676.619,7661437.937,7527225.886,7693971.636,7511482.356,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003905,7955020.005,7386979.954,7682663.372,7158716.607,6585954.656,6746264.101,6538275.222,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003906,9577026.467,8995228.273,9432459.427,8690676.382,7955734.452,8169369.339,7878935.993,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003907,7990161.164,7593853.663,7913971.251,7440744.638,7497837.688,7700206.32,7503570.953,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003908,8910773.656,8613867.024,9012025.141,8355006.538,8182988.735,8414544.071,8181434.025,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003909,10268218.82,10761157.97,11154128.26,10364998.42,8924949.083,9163274.951,8845308.658,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003910,9187672.002,9122365.013,9655961.494,8834282.431,8466126.562,8792250.737,8477515.658,Richmond upon Thames,Richmond upon Thames,London,SPN
,E01003911,9204714.977,10357445.8,10562193.42,9987056.986,9453309.528,11428896.45,11289864.67,Southwark,Southwark,London,LPN
,E01003912,5435495.509,6467732.992,7258031.756,6990045.397,7567225.913,9752991.607,9673249.66,Southwark,Southwark,London,LPN
,E01003913,9891575.346,10448393.9,11127942.49,10469587.95,10363302.41,13008121.77,12845570.8,Southwark,Southwark,London,LPN
,E01003914,9857064.278,9863552.332,10923650.75,10324968.83,9883960.411,12486130.3,12284394.23,Southwark,Southwark,London,LPN
,E01003915,5171918.729,6314767.352,7631664.956,7461694.061,8543531.432,11546269.62,11499568.8,Southwark,Southwark,London,LPN
,E01003916,9993785.973,11120834.75,11979809.35,11374529.89,11950296.82,14827310.06,14675066.85,Southwark,Southwark,London,LPN
,E01003917,8729512.961,10156986.17,11031086.22,10410170.27,10840749.09,13606393.84,13421098.3,Southwark,Southwark,London,LPN
,E01003918,5618541.674,6921118.423,7318385.035,7042243.413,7562058.458,9324423.017,9255515.693,Southwark,Southwark,London,LPN
,E01003919,7335110.203,7212852.272,8174614.455,7822734.07,7898433.369,10326314.8,10197693.39,Southwark,Southwark,London,LPN
,E01003920,6200939.848,7264092.03,8674916.764,8460955.874,9641222.425,12888344.99,12814301.59,Southwark,Southwark,London,LPN
,E01003921,8766714.487,9597278.553,10595569.49,10243667.71,10542259.47,13578212.45,13462338.23,Southwark,Southwark,London,LPN
,E01003922,10826302.21,9191539.206,10213284.59,9798070.813,10474439.59,13568420.94,13453943.49,Southwark,Southwark,London,LPN
,E01003923,5928022.167,7099965.161,8217336.755,7963768.681,9121986.894,11683406.02,11618107.76,Southwark,Southwark,London,LPN
,E01003924,7067356.065,7160557.404,8564759.5,8407538.282,9379155.72,12630972.97,12546379.65,Southwark,Southwark,London,LPN
,E01003925,5958848.371,7430160.672,8591454.046,8312123.776,9467467.805,12306561.79,12201059.99,Southwark,Southwark,London,LPN
,E01003926,9427530.19,8289341.791,8552818.231,8245590.469,7750512.17,7903795.619,7761935.431,Southwark,Southwark,London,LPN
,E01003927,22309721.6,16912303.54,18442695.95,17411126.67,16261160.5,20065447.34,19805332.32,Southwark,Southwark,London,LPN
,E01003929,15211557.1,12674705.77,14086536.99,13543136.1,14211245.41,17570590.72,17330037.28,Southwark,Southwark,London,LPN
,E01003930,50144165.16,49934144.14,41148343.69,36403042.94,26454774.85,20870915.26,19852462.26,Southwark,Southwark,London,LPN
,E01003932,28292616.6,33752803.71,28155241.45,25305668.19,19456837.78,16231525.67,15653357.51,Southwark,Southwark,London,LPN
,E01003933,16047717.21,19731218.36,20713025.75,19520649.5,16679816.35,17308256.92,16744921.61,Southwark,Southwark,London,LPN
,E01003934,25771237.48,34625757.52,33252230.09,30943209.47,24565549.7,23458298.51,22948438.42,Southwark,Southwark,London,LPN
,E01003935,3985728.542,7652793.157,7948030.578,7607838.903,6366693.515,6799179.956,6722133.387,Southwark,Southwark,London,LPN
,E01003936,6664552.989,7313433.532,8210827.57,7927305.332,8493262.568,10566668.83,10498273.01,Southwark,Southwark,London,LPN
,E01003937,10770746.71,11910361.71,13481298.07,12904754.21,13852810.63,17008984.19,16869699.05,Southwark,Southwark,London,LPN
,E01003938,6734626.172,8307290.785,9562409.55,9275374.451,10453719.93,13040826.07,12968721.7,Southwark,Southwark,London,LPN
