Total heat demand (kWh_th),,,,,,,,,,,,
Notes:,"Figures are for total heat demand in kWh_th of all buildings, including new build ",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,variable,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,Total_heat demand_kWh,,,,
,scenario,Baseline,Consumer Transformation,System Transformation,Leading the Way,Consumer Transformation,System Transformation,Leading the Way,,,,
,year,2020,2030,2030,2030,2050,2050,2050,,,,
,sector,Combined,Combined,Combined,Combined,Combined,Combined,Combined,,,,
,,,,,,,,,,,,
,LSOA code,Total_heat demand_kWhBaseline2020Combined,Total_heat demand_kWhConsumer Transformation2030Combined,Total_heat demand_kWhSystem Transformation2030Combined,Total_heat demand_kWhLeading the Way2030Combined,Total_heat demand_kWhConsumer Transformation2050Combined,Total_heat demand_kWhSystem Transformation2050Combined,Total_heat demand_kWhLeading the Way2050Combined,LAD20NM,CTYUA19NM,LEP20NM,Licence area
,E01000022,6548826.845,6057688.965,6300866.652,5936992.627,5857892.573,5989721.744,5864744.38,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000023,36097359.55,32831220.94,34213549.05,32077559.15,30088963.92,30650214.75,30075080.92,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000024,8255372.73,8943835.738,9226593.189,8499398.15,6518143.488,6654051.119,6367689.807,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000025,11406404.25,10425289.74,11570984.34,11310211.07,9719298.566,11037953.75,10977999.55,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000027,200675123.9,327280520.5,358773735.3,309493139.3,167361738.3,186167831.9,166047607.9,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000028,7724541.467,7020029.346,7290872.188,6910283.273,6644922.555,6798730.348,6624427.235,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000029,14188618.61,16717016.68,17847391.93,16061865.43,12380331.22,13081390.55,12388256.58,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000030,25471979.43,33382432.15,35794453.7,32099038.39,21857890.49,23478121.16,21791357.23,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000031,8657279.431,8040945.005,8398809.734,7811013.502,7536517.945,7724975.906,7519085.111,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000032,10976047.56,10114080.71,10541488.2,9818023.762,9271272.094,9483105.311,9207485.56,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000033,7280494.898,6770921.681,6991779.063,6675052.331,6617305.179,6750351.868,6619123.998,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000034,12016092.54,14237336.86,15055393.72,13651171.73,9574106.946,10092003.15,9465245.788,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000035,9966330.134,9000805.656,9354635.551,8674352.737,7383521.422,7558317.121,7148457.751,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000036,6273357.871,5839139.842,6106342.5,5678178.785,5582672.583,5730807.368,5576652.536,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000037,14023922.91,18384889.4,19845041.39,17505954.61,12039896.13,12937755.57,11993571.32,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000038,12163570.29,14548947.14,15413273,13967136.71,10447648.34,10994420.31,10432560.14,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000039,14484454.48,18675293.85,20348925.54,17864191.49,12282144.75,13314850.65,12280381.89,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000040,9285877.17,11633473.79,11944513.66,11496545.74,14271164.04,14439448.02,14255269.93,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000041,7182720.203,6586606.893,6853948.705,6463210.658,6392095.93,6555160.767,6392251.692,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000042,9548712.935,11863759.4,12155809.28,11736845.21,14343337.68,14505138.44,14315745.59,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000043,7913863.661,10552732.19,10853036.18,10378821.45,12838214.71,13002307.5,12782470.54,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000044,8730352.538,11317128.01,11651141.19,11122439.64,13717193.82,13892642.19,13702787.29,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000045,10237569.64,14237967.91,14813032.88,13936287.91,15179578.77,15513817.67,15144168.59,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000046,8208442.121,7532696.506,7845264.265,7390117.387,7302468.39,7494862.81,7306332.149,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000048,6735372.409,9249857.587,9419561.961,9228169.018,12112536.25,12226716.65,12111554.54,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000049,13344773.83,15151534.63,15537135.92,15000609.11,17553382.64,17777934.15,17522094.31,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000050,8589308.629,11006244.55,11290713,10819335.01,13070342.53,13215023.98,12992270.2,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000051,4825126.426,7618259.512,7735244.363,7592879.793,10487432.08,10557354.23,10490404.38,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000052,9644564.375,12307802.17,12565965.84,12302713.44,15100833.04,15288916.74,15203228.28,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000053,10464720.78,10651165.64,10973883.03,10307963.24,8999642.105,9175235.674,8922286.555,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000054,7662288.219,7041175.924,7316262.736,6914019.433,6842648.974,7012347.668,6826723.368,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000055,6782662.018,6214965.971,6479519.981,6089355.66,6016268.923,6179071.424,6016928.511,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000056,7144935.075,6494512.972,6758305.675,6367715.065,6106529.484,6269824.361,6065334.115,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000057,6643641.44,6133114.179,6373145.346,5964627.094,5367352.363,5504182.661,5311468.147,Barking and Dagenham,Barking and Dagenham,London,LPN
