Sector,Sub-sector,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Domestic,Existing on gas grid,Mt CO2,12.66,12.61,12.52,12.41,12.28,12.13,11.95,11.73,11.45,11.07,10.5,9.89,9.24,8.55,7.82,7.04,6.24,5.43,4.6,3.64,2.73,1.8,0.96,0.79,0.64,0.54,0.49,0.47,0.46,0.44,0.44
Domestic,Existing off gas grid,Mt CO2,5.07,5.02,4.95,4.86,4.74,4.57,4.26,3.95,3.63,3.31,3,2.69,2.38,2.06,1.74,1.43,1.11,0.79,0.47,0.28,0.26,0.24,0.21,0.19,0.17,0.15,0.15,0.14,0.14,0.14,0.14
Domestic,District Heating,Mt CO2,0.28,0.29,0.35,0.35,0.35,0.36,0.36,0.34,0.32,0.3,0.32,0.3,0.29,0.29,0.27,0.26,0.24,0.22,0.22,0.21,0.21,0.2,0.19,0.18,0.16,0.15,0.13,0.11,0.09,0.07,0.05
Domestic,New build,Mt CO2,0.11,0.17,0.22,0.27,0.31,0.39,0.45,0.5,0.55,0.59,0.62,0.65,0.68,0.7,0.72,0.73,0.73,0.73,0.72,0.7,0.68,0.65,0.61,0.57,0.53,0.47,0.42,0.35,0.28,0.21,0.14
Non-domestic,Non-domestic,Mt CO2,8.36,8.07,7.74,7.4,7.05,6.71,6.37,6.04,5.64,5.19,4.76,4.39,4.04,3.73,3.43,3.14,2.85,2.57,2.29,2,1.71,1.43,1.14,0.86,0.77,0.68,0.58,0.48,0.39,0.3,0.2
Domestic,Total,Mt CO2,26.49,26.16,25.78,25.29,24.74,24.16,23.38,22.55,21.59,20.46,19.2,17.92,16.63,15.33,13.98,12.59,11.17,9.73,8.29,6.83,5.58,4.31,3.12,2.59,2.27,1.99,1.77,1.56,1.37,1.15,0.97
