,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uptake of non-domestic low carbon  heating technologies and energy efifiency measures,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Low carbon heating (TWh of space heating demand met),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,,,,,2025,,,,,2030,,,,,2035,,,,,2040,,,,,2045,,,,,2050,,,,,,,,,,,,,,,,,
Consumer Transformation,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,2030 breakdown,,,,,,,,2050 breakdown,,,,,2030,,2050
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LCH % of Heating,new LCH uptake,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,Uptake only,,,,Uptake only,,,,,38%,14%,
,District Heating, 0.42 , 0.45 , 0.58 , 0.70 , 0.83 , 1.00 , 1.18 , 1.31 , 1.40 , 1.53 , 1.64 , 1.74 , 1.83 , 1.95 , 2.07 , 2.18 , 2.27 , 2.40 , 2.54 , 2.65 , 2.76 , 2.90 , 3.04 , 3.17 , 3.26 , 3.40 , 3.42 , 3.47 , 3.48 , 3.54 , 3.55 ,,District Heating, 1.64 ,6%,,District Heating, 1.64 ,45%,,District Heating, 3.55 ,13%,,,,,
,Biomass boiler, 3.21 , 3.17 , 3.12 , 3.07 , 3.02 , 2.96 , 2.91 , 2.88 , 2.84 , 2.81 , 2.78 , 2.76 , 2.74 , 2.72 , 2.71 , 2.71 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 , 2.70 ,,Biomass boiler, 2.78 ,10%,,Biomass boiler, 0.39 ,11%,,Biomass boiler, 2.70 ,10%,,,,,
,ASHP, 0.00 , 0.06 , 0.12 , 0.19 , 0.26 , 0.33 , 0.41 , 0.49 , 0.59 , 0.71 , 0.87 , 1.05 , 1.24 , 1.45 , 1.69 , 1.99 , 2.40 , 3.14 , 3.89 , 4.63 , 5.38 , 6.12 , 6.87 , 7.53 , 8.19 , 8.85 , 9.52 , 10.18 , 10.84 , 11.21 , 11.21 ,,ASHP, 0.87 ,3%,,ASHP, 0.87 ,24%,,ASHP, 11.21 ,41%,,,,,
