,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
District Heating,0.42,0.45,0.58,0.7,0.83,1,1.18,1.31,1.4,1.53,1.64,1.74,1.83,1.95,2.07,2.18,2.27,2.4,2.54,2.65,2.76,2.9,3.04,3.17,3.26,3.4,3.42,3.47,3.48,3.54,3.55
Biomass boiler,3.21,3.17,3.12,3.07,3.02,2.96,2.91,2.88,2.84,2.81,2.78,2.76,2.74,2.72,2.71,2.71,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
ASHP,0,0.06,0.12,0.19,0.26,0.33,0.41,0.49,0.59,0.71,0.87,1.05,1.24,1.45,1.69,1.99,2.4,3.14,3.89,4.63,5.38,6.12,6.87,7.53,8.19,8.85,9.52,10.18,10.84,11.21,11.21
High Temperature ASHP,0,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.05,0.07,0.09,0.12,0.15,0.18,0.2,0.23,0.26,0.28,0.31,0.34,0.37,0.39,0.41,0.41
GSHP,0,0.05,0.09,0.14,0.19,0.25,0.31,0.37,0.44,0.53,0.66,0.8,0.94,1.1,1.28,1.5,1.8,2.34,2.88,3.42,3.97,4.51,5.05,5.53,6,6.48,6.95,7.42,7.9,8.16,8.16
High Temperature GSHP,0,0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.05,0.05,0.06,0.07,0.09,0.13,0.17,0.21,0.24,0.28,0.32,0.36,0.39,0.43,0.47,0.51,0.55,0.57,0.57
Hybrid HP bottled - bioLPG,0,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.1,0.11,0.12,0.13,0.14,0.16,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18
Hybrid HP - H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2 Boiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric Resistive,5.68,5.58,5.44,5.31,5.16,5.01,4.85,4.72,4.59,4.43,4.19,3.99,3.8,3.61,3.42,3.24,3.03,2.76,2.48,2.21,1.94,1.66,1.39,1.22,1.06,0.9,0.74,0.58,0.42,0.33,0.33
Total,9.31,9.32,9.38,9.44,9.5,9.58,9.71,9.82,9.93,10.09,10.24,10.45,10.68,10.99,11.36,11.84,12.48,13.69,14.91,16.11,17.31,18.55,19.79,20.95,22.09,23.26,24.32,25.41,26.45,27.1,27.1
