Existing buildings total heat demand (kWh_th),,,,,,,,,,,,
Notes:,Figures are for total heat demand in kWh_th of all buildings existing in 2020 in each LSOA. New builds and other changes to non-domestic footprint over time are excluded here to isolate the effect the energy efficiency,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,variable,Heat demand_kWh,Heat demand_kWh,Heat demand_kWh,Heat demand_kWh,Heat demand_kWh,Heat demand_kWh,Heat demand_kWh,,,,
,E01000022,6548826.845,6057688.965,6300866.652,5936992.627,5857892.573,5989721.744,5864744.38,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000023,36097359.55,32416247.32,33705335.52,31857975.75,31280622.35,31771036.62,31456002.76,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000024,8255372.73,7642133.698,7969581.264,7488978.111,7348872.197,7651700.603,7349629.372,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000025,11406404.25,10131043.21,11227911.75,11042450.53,9742092.932,11055483.8,11000793.92,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000027,200675123.9,184944242.9,198495891.8,181557217.6,177070508.2,195496138.4,176780731.8,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000028,7724541.467,7026881.64,7288025.529,6939727.043,6873177.159,7031292.903,6880820.961,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000029,14188618.61,13294821.84,13944467.92,12948021.96,12630062.73,13365316.15,12637988.09,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000030,25471979.43,23691236.17,24806145.65,23243496.75,22726532.1,24434310.34,22697281.61,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000031,8657279.431,8063448.208,8417781.803,7846986.256,7723509.564,7911814.988,7719822.039,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000032,10976047.56,10147262.34,10557495.61,9913006.222,9770960.648,9982258.868,9772110.352,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000033,7280494.898,6770921.681,6991779.062,6675052.331,6617305.179,6750351.868,6619123.998,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000034,12016092.54,11229236.4,11670048.75,11011577.36,10780092.91,11210619.78,10784277.66,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000035,9966330.134,9131855.149,9483588.073,8942727.971,8800456.646,9023144.227,8806016.791,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000036,6273357.871,5827449.96,6094677.79,5667779.72,5571337.564,5719495.67,5574611.715,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000037,14023922.91,13065068.62,13848841.76,12730214.56,12389243.1,13386920.37,12389438.3,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000038,12163570.29,11401684.13,11883016.97,11120242.41,10876030.62,11275248.96,10876298.58,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000039,14484454.48,13414994.06,14260614.13,13080436.48,12738658.55,13823091.04,12739392.62,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000040,9285877.17,8462276.75,8771116.059,8337686.551,8258170.207,8426110.44,8261747.054,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000041,7182720.203,6586606.893,6853948.705,6463210.658,6392095.93,6555160.767,6392251.692,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000042,9548712.935,8726587.022,9011243.277,8621677.887,8565489.927,8727544.387,8555793.279,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000043,7913863.661,7262197.229,7547371.239,7131594.496,7049824.124,7220763.995,7048035.388,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000044,8730352.538,8045150.56,8379883.624,7868732.111,7764078.052,7963770.027,7761362.824,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000045,10237569.64,9354846.757,9782627.354,9199039.897,9088544.543,9436542.488,9082828.208,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000046,8208442.121,7532696.506,7845264.265,7390117.387,7302468.39,7494862.81,7306332.149,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000048,6735372.409,6072943.603,6241456.833,6057460.68,6040901.986,6154977.004,6044479.741,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000049,13344773.83,12027792.05,12397454.79,11893804.39,11850800.68,12074698.75,11819649.93,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000050,8589308.629,7907786.629,8191608.896,7787629.299,7701701.987,7909770.577,7699790.612,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000051,4825126.426,4370495.017,4487971.739,4349632.644,4333056.334,4403316.125,4336028.632,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000052,9644564.375,9122382.978,9380511.261,9119270.547,8965605.814,9153552.061,9069321.853,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000053,10464720.78,9591605.066,9940708.042,9448056.584,9336919.24,9569605.973,9338254.455,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000054,7662288.219,7042091.332,7316870.319,6916769.58,6843767.63,7011776.724,6844143.942,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000055,6782662.018,6214965.971,6479519.981,6089355.66,6016268.923,6179071.424,6016928.511,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000056,7144935.075,6522825.611,6787697.25,6420426.939,6350703.209,6541901.455,6353362.954,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000057,6643641.44,6115969.54,6353750.943,6001095.591,5935312.955,6110835.391,5924645.605,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000058,8062187.171,7385152.268,7694314.19,7246473.698,7165041.073,7362331.662,7166156.707,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000059,7500040.708,6889738.895,7170865.318,6763728.677,6680232.218,6873701.102,6680893.075,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000060,12173663.85,11065534.53,11491668.27,10870585.72,10735421.21,10977649.36,10742783.01,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000061,11415407.19,9533023.16,9745884.006,9494041.046,9435511.954,9602997.455,9447879.32,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000062,9671682.758,8919156.844,9272289.03,8744113.505,8639474.482,8837510.082,8641849.577,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000063,7899430.217,7295065.376,7585249.139,7133323.638,7070437.179,7247920.572,7046129.591,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000064,14908903.52,13679131.07,14370105.82,13400742.09,13175137.9,13823384.7,13176685.91,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000065,12290055.68,11224496.26,11672435.56,11059294.53,10912760.09,11280476.94,10915131.72,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000066,10054843.05,9342409.076,9713616.352,9123355.058,9003198.524,9206744.691,8989104.047,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000067,9211206.188,8557091.795,8914650.321,8335955.939,8222833.861,8421259.423,8206484.479,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000068,24435136.28,23146379.64,24063641.84,22620707.64,22021544.09,23084382.35,21996784.48,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000069,7603328.404,7091717.967,7402468.883,6887120.913,6786144.994,6956338.297,6766694.118,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000070,10182845.23,9457403.07,9859914.687,9208868.728,9060618.762,9285447.103,9048508.484,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000071,14501044.72,13522389.94,14084209.94,13221986.81,12989416.32,13375263.54,12996825.27,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000072,12314039.82,11302304.49,11729925.72,11128618.29,10982444.21,11352309.37,10979769.49,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000073,7333506.958,6748128.866,7016925.166,6619521.269,6543666.58,6703534.597,6545015.141,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000074,11264313.51,10438599,10837802.91,10266778.57,10096666.75,10429943.41,10101407.97,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000075,8823412.164,8109877.291,8462183.997,7946665.561,7834575.091,8065345.776,7843217.272,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000076,10302662.15,9481971.897,9837258.279,9313550.775,9213260.6,9461840.112,9192257.148,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000077,9997299.964,9255200.13,9615346.317,9077760.098,8941301.3,9237281.561,8929877.111,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000078,9593923.87,8856961.037,9182662.203,8685777.366,8600807.254,8833648.452,8564689.305,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000079,7697455.984,7099205.35,7377161.904,6974796.903,6894281.448,7078950.881,6896131.989,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000080,17818927.66,16784718,17420089.83,16469686.2,16147744.21,16873449.66,16122185.43,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000081,9115987.058,8484732.138,8796916.331,8277372.564,8220147.893,8434728.593,8159290.969,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000082,10334567.31,9520578.539,9943217.408,9331558.378,9203825.638,9587873.64,9181616.348,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000083,9077915.134,8402526.986,8719994.803,8208853.246,8157607.89,8382302.566,8099870.415,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000084,7425397.608,6852710.492,7093237.376,6724804.503,6706001.441,6866420.435,6662944.263,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000085,8419899.152,7675165.99,7980848.38,7564269.816,7484990.893,7712897.955,7484580.842,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000086,6162350.121,5650404.261,5879483.879,5546150.322,5486977.829,5628807.807,5486511.793,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000087,11332030.9,10318346.52,10978805.6,10134281.6,9951322.652,10675013.56,9951331.64,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000088,22668291.04,21448884.41,22222604.09,21017518.69,20594678.73,21356496.61,20557798.99,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000089,7580539.701,7039765.281,7329000.988,6866224.345,6769934.034,6924343.662,6764816.191,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000090,9505803.77,8820083.648,9182122.403,8624585.643,8466552.84,8712826.428,8469504.5,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000091,11901534.97,10889234.55,11213879.1,10777317.61,10683538.16,10862399.68,10696001.93,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000092,49226301.45,43245329.7,45264244.49,42675214.21,41963506.73,44036801.22,42092293.27,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000093,10722502.23,9748361.518,10076429.72,9641823.093,9557473.365,9774302.43,9561640.879,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000094,15123909.1,13920887.52,14464363.54,13629200.47,13400841.83,13703937.31,13411765.07,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000095,10017325.48,9090298.113,9453603.51,8926788.276,8782078.468,9018271.616,8794708.243,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000096,7889520.822,7066542.793,7290863.42,6991240.372,6941738.723,7093511.277,6934545.889,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000097,8551217.723,7825197.896,8126569.297,7711076.376,7634686.246,7819469.967,7641877.793,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000098,10292734.96,9450207.402,9801433.526,9345466.24,9180098.94,9376838.715,9257299.923,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000099,25485191.54,23623023.49,24618151.8,23114442.63,22871140.85,23746816.17,22727999.85,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000100,7844553.516,7230326.692,7519095.23,7087775.29,6997067.895,7184277.351,6997269.208,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000101,7798825.183,7158239.148,7462476.647,7016163.368,6930625.272,7122247.407,6930352.871,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000102,10409329.18,9651484.366,10015213,9440273.063,9343663.373,9610365.524,9301448.757,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000103,8578002.857,7921351.355,8213939.67,7830172.159,7688041.018,7891899.062,7734533.037,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000104,10049293.27,9133892.161,9483852.057,9012065.564,8922504.811,9149905.552,8930064.998,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000105,18005294.28,16469022.03,16986737.21,16216852.55,16122427.11,16424500.8,16068368,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000106,15530616.84,14105517.02,14608411.79,13950865.34,13813862.6,14120555.35,13838809.52,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000107,7653158.009,7102630.025,7411183.188,6924465.589,6813574.045,6989702.41,6819477.857,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000108,9558163.059,8886208.624,9240060.487,8697401.73,8576968.01,8758682.415,8584589.276,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000109,16260147.83,15211203.47,15894946.72,14889804.75,14672169.97,15242852.16,14661059.64,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000110,6939400.766,6454002.916,6750202.077,6276442.967,6167976.886,6334312.673,6171175.632,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000111,13886467.64,12637266.57,13272381.33,12435195.04,12170755.39,12813916.58,12227888.31,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000112,11074567.24,10264371.05,10643704.59,10029540.61,9879952.529,10034000.15,9886691.205,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000113,4659654.375,4311143.393,4489363.966,4209535.277,4149437.406,4241519.829,4148266.559,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000114,11573470.23,10579221.93,11080402.95,10263811.01,10108943.11,10366413.41,10077057.5,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000115,8700937.853,8125659.835,8514760.635,7885125.69,7729418.65,8013659.719,7715396.892,Barnet,Barnet,London,EPN
,E01000116,11783175.77,10953745.5,11519728.74,10647710.15,10497166.8,10972550.73,10442556.05,Barnet,Barnet,London,EPN
,E01000117,8770191.891,8218009.233,8562476.779,8011187.778,7890911.409,8094572.831,7891384.882,Barnet,Barnet,London,EPN
,E01000118,10148008.15,9474375.882,9909908.239,9203405.084,9042679.159,9293444.319,9045248.995,Barnet,Barnet,London,EPN
,E01000119,8447245.968,7817404.484,8226038.306,7571041.861,7425535.492,7682681.653,7427795.626,Barnet,Barnet,London,EPN
,E01000120,9179912.537,8554638.529,8973597.569,8308022.911,8118199.961,8445717.939,8123289.256,Barnet,Barnet,London,EPN
,E01000121,6143143.847,5621496.052,5855667.8,5516968.523,5460888.527,5615630.62,5456045.333,Barnet,Barnet,London,EPN
,E01000122,13459957.4,12653617.7,13219962.33,12324728.88,12017834.75,12558944.54,12017988.97,Barnet,Barnet,London,EPN
,E01000123,9525167.353,8876613.617,9267092.479,8566457.7,8494268.473,8719805.585,8407966.685,Barnet,Barnet,London,EPN
,E01000124,9856118.842,9064303.969,9463496.259,8922506.339,8774752.999,9097504.493,8807193.269,Barnet,Barnet,London,EPN
,E01000125,16949239.51,15644667.92,16150136.14,15298828.02,15232587.84,15497876.29,15073624.98,Barnet,Barnet,London,EPN
,E01000126,14980185.06,13785892.43,14222014.21,13529021.42,13526072.2,13772846.37,13409012.22,Barnet,Barnet,London,EPN
,E01000127,6489886.841,5924833.621,6152416.898,5838329.464,5785825.973,5932615.613,5787678.257,Barnet,Barnet,London,EPN
,E01000128,8159673.319,7480825.125,7794080.417,7337754.364,7250124.917,7447905.136,7251547.519,Barnet,Barnet,London,EPN
,E01000129,5823380.473,5172061.323,5341853.776,5111057.732,5073204.107,5200466.961,5063755.714,Barnet,Barnet,London,EPN
,E01000130,8667752.453,7970547.883,8267261.919,7829778.316,7740372.728,7889417.651,7746237.851,Barnet,Barnet,London,EPN
,E01000131,9834673.604,9070831.996,9444091.382,8876538.718,8767202.378,8985980.837,8765018.98,Barnet,Barnet,London,EPN
,E01000132,6297168.476,5729779.666,5956828.762,5646295.193,5597634.895,5746866.662,5598101.701,Barnet,Barnet,London,EPN
,E01000133,7478778.295,6802776.504,7069636.3,6703710.013,6644489.419,6813822.301,6646035.774,Barnet,Barnet,London,EPN
,E01000134,8319679.808,7669539.06,7932997.226,7555443.176,7484730.254,7630491.69,7487606.777,Barnet,Barnet,London,EPN
,E01000135,12491242.74,11533172.43,12075978.27,11250270.9,11032279.44,11379778.53,11054903.63,Barnet,Barnet,London,EPN
,E01000136,11756035.23,10756898.45,11275682.08,10465987.55,10267036.13,10603511.64,10273130.98,Barnet,Barnet,London,EPN
,E01000137,13095551.1,11996338.02,12412996.33,11865813.1,11661238.92,11934270.73,11725426.96,Barnet,Barnet,London,EPN
,E01000138,10971445.11,10137473.99,10572928.64,9914669.055,9769423.649,10012150.39,9781300.004,Barnet,Barnet,London,EPN
,E01000139,10149499.96,9408913.822,9807442.811,9217464.443,9038495.319,9293159.784,9071199.356,Barnet,Barnet,London,EPN
,E01000140,8964937.784,8123976.049,8418741.812,7973951.212,7870358.922,8054695.333,7856667.182,Barnet,Barnet,London,EPN
,E01000141,15905618.01,14549996.48,15013333.14,14309658.77,14228676.95,14524332.85,14154540.92,Barnet,Barnet,London,EPN
,E01000142,18058666.62,16604424.7,17216048.88,16325924.44,16140073.31,16443880.53,16157418.97,Barnet,Barnet,London,EPN
,E01000143,11359504.14,10446714.58,10833597.17,10278320.08,10115954.03,10385631.25,10112913.43,Barnet,Barnet,London,EPN
,E01000144,6332399.901,5228478.793,5438321.865,5169948.103,5074067.24,5245299.692,5098550.29,Barnet,Barnet,London,EPN
,E01000145,11040385.6,10273584.13,10706091.7,10019594.1,9868691.599,10209914.71,9830303.95,Barnet,Barnet,London,EPN
,E01000146,10567804.23,9251881.784,9603645.309,9100732.514,9012784.55,9275171.435,8987891.621,Barnet,Barnet,London,EPN
,E01000147,4096878.964,3704719.855,4024560.999,3848837.948,3536285.119,3890358.934,3808008.395,Barnet,Barnet,London,EPN
,E01000148,16884735.48,15430906.32,16022063.69,15187429.24,14997450.13,15320388.82,15017394.45,Barnet,Barnet,London,EPN
,E01000150,16682529.08,15416804.63,16046837.8,15022680.22,14847619.06,15172546.91,14787610.78,Barnet,Barnet,London,EPN
,E01000151,9917670.781,8447584.816,8730678.512,8377128.899,8277293.217,8499788.213,8292938.539,Barnet,Barnet,London,EPN
,E01000152,13317763.5,12155935.09,12595356.82,12033247.8,11840055.5,12249331.58,11873906.57,Barnet,Barnet,London,EPN
,E01000153,13509783.92,12331851.2,12770861.85,12207952.94,12067608.12,12420316.11,12083394.2,Barnet,Barnet,London,EPN
,E01000154,52112089.23,45851259.2,49538690.04,46718630.62,44708298.19,48533366.88,46311064.38,Barnet,Barnet,London,EPN
,E01000155,54893753.15,50839755.28,52253401.3,49984961.99,49802166.88,50303116.58,49538927.57,Barnet,Barnet,London,EPN
,E01000156,5928755.055,5467339.587,5693409.483,5345848.469,5266275.918,5387461.722,5270630.724,Barnet,Barnet,London,EPN
,E01000157,7821723.371,7261590.053,7546121.149,7098464.387,7003866.134,7167760.896,7004517.953,Barnet,Barnet,London,EPN
,E01000158,7941280.562,7362424.444,7665226.053,7190980.612,7087386.001,7248684.955,7088442.081,Barnet,Barnet,London,EPN
,E01000159,8585987.464,7923568.975,8313889.454,7692402.376,7555458.691,7792375.611,7557667.408,Barnet,Barnet,London,EPN
,E01000160,10951129.37,10239764.18,10606977.59,9986159.837,9900447.89,10083418.21,9850463.049,Barnet,Barnet,London,EPN
,E01000161,10915511.23,10059131.08,10477333.23,9861065.428,9728985.119,9988279.295,9738820.793,Barnet,Barnet,London,EPN
,E01000162,7349531.149,6819920.5,7118344.923,6652256.483,6552195.978,6738557.487,6551558.615,Barnet,Barnet,London,EPN
,E01000163,8290738.549,7612242.477,7899938.185,7495369.593,7415168.097,7596290.107,7421917.426,Barnet,Barnet,London,EPN
,E01000164,8666035.343,7924703.595,8239834.905,7785602.909,7706894.467,7927125.872,7698717.884,Barnet,Barnet,London,EPN
,E01000165,7681984.505,7113013.285,7426667.259,6925739.456,6817078.778,7003309.814,6817864.532,Barnet,Barnet,London,EPN
,E01000166,10629440.57,9789584.694,10300654.79,9541121.634,9354962.073,9747621.13,9360885.638,Barnet,Barnet,London,EPN
,E01000167,17391284.98,16350213.45,17094157.88,15987171.11,15568135.4,16625681.49,15569717.57,Barnet,Barnet,London,EPN
,E01000168,7816955.398,7277363.065,7634293.01,7058567.884,6930858.566,7163376.293,6932252.799,Barnet,Barnet,London,EPN
,E01000169,11761434.82,10955897.06,11434136.75,10670812.95,10507451.23,10780214.04,10494175.06,Barnet,Barnet,London,EPN
,E01000170,9781802.945,9049492.783,9448686.342,8820886.041,8683645.376,8908091.747,8684862.238,Barnet,Barnet,London,EPN
,E01000171,17176438.72,15541046.48,16138573.25,15245599.65,15044937.2,15343080.94,15056625.12,Barnet,Barnet,London,EPN
,E01000172,15544074.83,14685855.02,15270403.06,14332858.27,14030054.73,14556471.08,14017264.41,Barnet,Barnet,London,EPN
,E01000173,8023544.494,7494219.769,7820420.383,7289243.726,7167386.192,7339024.299,7169456.619,Barnet,Barnet,London,EPN
,E01000174,11380786.98,10414725.5,10832399.11,10195566.37,10048317.69,10271982.74,10056497,Barnet,Barnet,London,EPN
,E01000175,8155166.285,7536461.473,7973212.139,7413474.404,7154530.039,7494409.216,7289198.558,Barnet,Barnet,London,EPN
,E01000176,8593530.162,7832574.076,8149079.377,7723524.871,7644002.416,7880075.347,7646966.303,Barnet,Barnet,London,EPN
,E01000177,12538782.18,11757767.32,12232800.73,11485130.44,11268323.7,11672538.43,11259797.69,Barnet,Barnet,London,EPN
,E01000178,9227603.425,8513987.549,8894435.634,8303560.937,8176075.437,8407037.872,8177364.628,Barnet,Barnet,London,EPN
,E01000179,10625032.6,9931096.803,10295937.87,9722099.553,9593919.572,9809528.347,9594704.252,Barnet,Barnet,London,EPN
,E01000180,8326363.86,7631945.472,7948787.025,7503374.887,7422786.111,7653205.857,7423803.655,Barnet,Barnet,London,EPN
,E01000181,8184874.169,7687950.553,7939270.39,7508275.516,7460889.752,7608442.293,7399238.314,Barnet,Barnet,London,EPN
,E01000182,12971177.37,11947069.06,12384898.48,11677268.62,11557381.83,11788715.23,11514135.86,Barnet,Barnet,London,EPN
,E01000183,10649691.98,9902035.597,10347091.9,9631976.588,9474020.918,9860357.694,9433671.445,Barnet,Barnet,London,EPN
,E01000184,7354617.986,6699318.078,6965362.293,6715298.878,6552809.189,6734731.691,6665536.939,Barnet,Barnet,London,EPN
,E01000185,6730592.459,6097242.404,6312763.579,6039189.44,6000015.054,6154500.414,6001886.815,Barnet,Barnet,London,EPN
,E01000186,7071693.352,6577908.733,6917024.457,6366550.871,6237674.99,6475515.317,6234337.825,Barnet,Barnet,London,EPN
,E01000187,8944521.055,8135210.416,8798925.389,8589748.423,7831989.324,8651367.04,8537285.03,Barnet,Barnet,London,EPN
,E01000188,8939013.868,8041531.288,8427552.256,7804604.326,7646044.628,7930753.612,7644279.519,Barnet,Barnet,London,EPN
,E01000189,19773013.74,17951697.99,18497821.96,17899239.33,17687037.28,18029148.25,17789516.34,Barnet,Barnet,London,EPN
,E01000190,7814920.951,7262071.319,7615929.101,7060414.543,6919345.338,7148486.03,6934377.127,Barnet,Barnet,London,EPN
,E01000191,7322421.776,6786223.209,7123157.181,6576491.99,6450187.843,6656008.419,6449550.172,Barnet,Barnet,London,EPN
,E01000192,14605345.25,13251922.7,13799049.24,12941010.93,12743494.21,13194422.31,12702328.06,Barnet,Barnet,London,EPN
,E01000193,21174066.58,19787434.91,20430412.93,19265041.94,19186611.77,19757024.07,18959531.49,Barnet,Barnet,London,EPN
