Existing buildings total heat demand (kWh_th),,,,,,,,,,,,
Notes:,Figures are for total heat demand in kWh_th of all buildings existing in 2020 in each LSOA. New builds and other changes to non-domestic footprint over time are excluded here to isolate the effect the energy efficiency,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,variable,Heat demand_kWh,Heat demand_kWh,Heat demand_kWh,Heat demand_kWh,Heat demand_kWh,Heat demand_kWh,Heat demand_kWh,,,,
,scenario,Baseline,Consumer Transformation,System Transformation,Leading the Way,Consumer Transformation,System Transformation,Leading the Way,,,,
,year,2020,2030,2030,2030,2050,2050,2050,,,,
,sector,Combined,Combined,Combined,Combined,Combined,Combined,Combined,,,,
,,,,,,,,,,,,
,LSOA code,Heat demand_kWhBaseline2020Combined,Heat demand_kWhConsumer Transformation2030Combined,Heat demand_kWhSystem Transformation2030Combined,Heat demand_kWhLeading the Way2030Combined,Heat demand_kWhConsumer Transformation2050Combined,Heat demand_kWhSystem Transformation2050Combined,Heat demand_kWhLeading the Way2050Combined,LAD20NM,CTYUA19NM,LEP20NM,Licence area
,E01000001,30066956.28,28053906.96,29231327.27,27400565.8,27212700.74,28246697.78,26956062.47,City of London,City of London,London,LPN
,E01000002,88990628.71,84417352.53,87631899.57,82017218.42,82227955.44,85752682.01,80503626.46,City of London,City of London,London,LPN
,E01000003,15964039.93,14487951.84,15031664.25,14211016.72,13992782.7,14428546.62,13990015.97,City of London,City of London,London,LPN
,E01000005,45861324.74,41356405.65,42600233.71,39944044.35,40668954.15,42190993.09,39278507.46,City of London,City of London,London,LPN
,E01000006,7145304.457,6646354.187,6905643.31,6509802.571,6426858.704,6566142.718,6429973.547,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000007,15585597.46,14111746.96,14587904.79,13960305.91,13851567.22,14116279.99,13857659.05,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000008,6861201.672,5831828.655,6186962.891,5968784.822,5740409.492,6080640.186,5930700.401,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000009,8760284.132,8015517.243,8272275.12,7822726.293,7783046.659,7926245.869,7694415.273,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000010,15663013.01,11857675.75,12472364.49,11814701.14,11577988.27,12204013.1,11696810.53,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000011,3990775.846,3678018.593,3810993.397,3609118.682,3574594.456,3643544.944,3567773.875,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000012,12836717.39,11798557.67,12151441.86,11664334.09,11567019.73,11740530.21,11580295.92,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000013,9342386.359,8587880.785,8882830.674,8422089.892,8379939.407,8562750.284,8334573.385,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000014,7654006.626,7033149.727,7310448.87,6908229.236,6831871.209,6995491.734,6834477.389,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000015,9444500.07,8638600.068,8973661.22,8489909.194,8402131.735,8606435.565,8402661.294,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000016,9406019.445,8624306.217,8977437.472,8455666.039,8355772.419,8582223.388,8346182.881,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000017,7497333.131,6852434.067,7138411.043,6720996.47,6645723.715,6818109.714,6645247.167,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000018,7497826.484,6875021.539,7153504.688,6746851.994,6673936.275,6842363.156,6673473.4,Barking and Dagenham,Barking and Dagenham,London,EPN
,E01000019,6739144.157,6224143.141,6465186.994,6107368.532,6038025.881,6187158.062,6037880.566,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000020,8169372.189,7512867.741,7821817.916,7367565.211,7281059.203,7469206.293,7282311.972,Barking and Dagenham,Barking and Dagenham,London,LPN
,E01000021,10927844.55,9966730.97,10287975.43,9827946.463,9725296.014,9903565.553,9723757.251,Barking and Dagenham,Barking and Dagenham,London,LPN
