Leading the Way,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
Leading the Way,Total,1579224.336,2579412.210,3938957.883,5586963.702,7487032.537,9563102.493,11688617.7,13730650.92,16496109.6,17654473.56,18577287.48,19251645.6,19713978.33,20017248.94,20210456.45,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,
Leading the Way,Behavioural,486138.983,740651.145,1088182.074,1529147.066,2046075.428,2608488.722,3181543.816,3729599.351,4477778.046,4783287.454,5026672.387,5204529.049,5326465.681,5406450.924,5457407.89,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,
Leading the Way,Floor,437278.553,666569.027,980139.4993,1378955.498,1848082.123,2360784.894,2885838.104,3390395.561,4073398.893,4359886.889,4588118.361,4754901.436,4869246.135,4944251.393,4992035.712,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,
Leading the Way,Other,486138.983,740651.145,1088182.074,1529147.066,2046075.428,2608488.722,3181543.816,3729599.351,4477778.046,4783287.454,5026672.387,5204529.049,5326465.681,5406450.924,5457407.89,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,
Leading the Way,Roof,93256.847,279770.541,559541.0826,836615.3105,1128122.705,1452000.241,1789755.696,2119825.508,2553472.29,2752755.159,2911514.42,3027529.786,3107068.684,3159242.818,3192481.894,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,
Leading the Way,Cavity wall,46628.42355,106419.5167,156336.22,219652.1019,293839.3462,374503.2052,456634.3401,535128.8169,642414.7243,686054.4467,720820.1549,746225.6421,763643.3734,775068.6641,782347.4837,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,
Leading the Way,Solid wall,29782.546,45350.836,66576.9326,93446.65881,124837.5066,158836.7085,193301.9282,226102.3274,271267.5973,289202.1574,303489.7755,313930.6357,321088.7781,325784.2151,328775.5821,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,
