Sector,Sub-sector,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Domestic,Existing on gas grid,Mt CO2,12.67,12.67,12.64,12.61,12.58,12.54,12.48,12.44,12.41,12.37,12.33,12.29,12.26,12.22,12.18,12.16,12.12,12.08,12.04,12,11.97,11.93,11.89,11.86,11.82,11.78,11.78,11.76,11.76,11.74,11.74
Domestic,Existing off gas grid,Mt CO2,5.22,5.22,5.21,5.2,5.19,5.18,5.16,5.14,5.13,5.12,5.11,5.09,5.08,5.07,5.06,5.05,5.03,5.02,5.01,4.99,4.98,4.97,4.96,4.95,4.93,4.92,4.92,4.91,4.91,4.91,4.91
Domestic,District Heating,Mt CO2,0.28,0.29,0.35,0.42,0.52,0.56,0.59,0.61,0.64,0.65,0.67,0.68,0.7,0.72,0.73,0.74,0.75,0.75,0.75,0.75,0.76,0.75,0.75,0.75,0.74,0.73,0.72,0.7,0.69,0.67,0.66
Domestic,New build,Mt CO2,0.11,0.17,0.22,0.27,0.31,0.39,0.45,0.5,0.55,0.59,0.62,0.65,0.68,0.7,0.72,0.73,0.73,0.73,0.72,0.7,0.68,0.65,0.61,0.57,0.53,0.47,0.42,0.35,0.28,0.21,0.14
Non-domestic,Non-domestic,Mt CO2,8.52,8.26,8,7.77,7.53,7.28,7.03,6.81,6.6,6.39,6.14,5.95,5.77,5.57,5.39,5.22,5.05,4.89,4.74,4.61,4.47,4.34,4.22,4.13,4.02,3.91,3.79,3.65,3.49,3.29,2.96
Domestic,Total,Mt CO2,26.81,26.61,26.43,26.27,26.13,25.93,25.71,25.5,25.33,25.11,24.87,24.67,24.5,24.29,24.07,23.89,23.68,23.47,23.26,23.05,22.87,22.65,22.43,22.26,22.05,21.83,21.62,21.38,21.13,20.82,20.41
