System Transformation,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
System Transformation,Total,710955.356,1096700.647,1653435.89,2416879.085,3378857.072,4471568.139,5580477.259,6594805.968,7458599.876,8185163.048,8838483.548,9919697.49,10532415.07,11370878.06,12423360.34,13610166.69,14796973.04,15849455.32,16687918.31,17300635.89,17720708.53,17996258.31,18171805.46,18281570.82,18349403.75,18391019.65,18416437.5,18431919.71,18441334.36,18447053.57,18450525.75,
System Transformation,Behavioural,212389.172,333865.863,511241.5837,754429.14,1060753.833,1408482.599,1760910.371,2082421.851,2354720.846,2581363.136,2781768.72,3114465.585,3292213.105,3535448.685,3840770.617,4185059.555,4529348.493,4834670.425,5077906.005,5255653.525,5377515.331,5457451.491,5508377.188,5540219.789,5559897.916,5571970.563,5579344.204,5583835.545,5586566.708,5588225.835,5589233.102,
System Transformation,Floor,154838.306,243386.503,372662.0372,549856.1614,772946.6837,1025958.728,1281920.265,1514543.296,1710010.215,1870209.605,2008300.233,2238653.797,2350223.136,2502898.307,2694544.11,2910648.893,3126753.677,3318399.48,3471074.65,3582643.989,3659134.739,3709309.417,3741274.681,3761261.784,3773613.437,3781191.248,3785819.568,3788638.712,3790353.02,3791394.428,3792026.674,
System Transformation,Other,212389.172,333865.863,511241.5837,754429.14,1060753.833,1408482.599,1760910.371,2082421.851,2354720.846,2581363.136,2781768.72,3114465.585,3292213.105,3535448.685,3840770.617,4185059.555,4529348.493,4834670.425,5077906.005,5255653.525,5377515.331,5457451.491,5508377.188,5540219.789,5559897.916,5571970.563,5579344.204,5583835.545,5586566.708,5588225.835,5589233.102,
System Transformation,Roof,93256.847,138092.331,191484.727,264845.5344,357616.7977,463715.9359,572842.8616,675399.6761,767518.334,852655.4664,940034.3697,1081336.196,1195867.17,1352595.139,1549328.224,1771169.559,1993010.895,2189743.98,2346471.949,2461002.923,2539524.137,2591030.714,2623844.503,2644362.168,2657041.698,2664820.665,2669571.844,2672465.823,2674225.638,2675294.691,2675943.72,
System Transformation,Cavity wall,31808.46977,40997.03418,56867.31564,78653.19837,106157.9297,137516.0916,169572.4893,199333.8592,225445.4757,248636.3869,271225.7549,308079.7609,334491.6624,370634.5812,416003.0499,467161.7131,518320.3763,563688.8449,599831.7637,626243.6652,644351.3834,656229.2762,663796.4393,668528.0027,671452.0196,673245.9212,674341.587,675008.9654,675414.795,675661.3284,675811.0005,
System Transformation,Solid wall,6273.389,6493.053,9938.642702,14665.91101,20627.99443,27412.18558,34320.90086,40685.43564,46184.15995,50935.31815,55385.75025,62696.56569,67406.89259,73852.65959,81943.72106,91067.41205,100191.103,108282.1645,114727.9315,119438.2584,122667.6083,124785.9245,126135.4605,126979.2926,127500.7649,127820.6913,128016.0935,128135.1145,128207.4906,128251.4576,128278.1503,
