Uptake of domestic low carbon  heating technologies and energy efifiency measures (units),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hybrid HP + resistive heating,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,DH,108506.75,115716.43,116600.05,144838.03,178429.35,219370.35,268963.77,332171.80,373970.67,416133.88,458265.24,500107.26,542154.94,583804.05,625715.03,667890.20,709789.91,751606.19,793696.61,835481.99,877182.95,919508.65,961186.10,1003172.26,1045272.16,1087076.57,1129118.55,1130655.74,1142451.99,1143752.01,1155936.46,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,110975.38,156215.46,199198.43,281207.28,382008.71,508223.48,703896.00,981684.79,1273580.56,1610235.38,2019542.89,2448692.65,2898234.84,3368545.73,3860771.20,4375181.37,4890343.69,5406167.95,5922824.15,6425661.79,6801288.95,7161815.56,7487689.62,7549432.01,7591531.91,7633336.32,7675378.30,7676915.49,7688711.74,7690011.76,7702196.21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Energy Efficiency (Number of units deployed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Transformation,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
Consumer Transformation,Total,1432899.795,2241706.810,3295073.932,4531754.406,5912499.479,7336031.809,8742849.461,10143554.81,12496844.89,13683073.79,15020696.31,16358318.82,17544547.73,18489560.34,19180140.43,19653594.78,19964160.69,20162015.89,20285729.95,20362182.9,20409087.24,20482193.21,20482193.21,20482193.21,20482193.21,20482193.21,20482193.21,20482193.21,20482193.21,20482193.21,20482193.21,
Consumer Transformation,Behavioural,443199.606,669332.405,970458.8698,1338117.272,1746384.097,2163339.054,2569205.185,2965156.994,3638389.069,3951348.222,4304249.089,4657149.957,4970109.11,5219428.904,5401622.541,5526532.557,5608468.214,5660667.749,5693306.851,5713477.2,5725851.828,5745139.153,5745139.153,5745139.153,5745139.153,5745139.153,5745139.153,5745139.153,5745139.153,5745139.153,5745139.153,
Consumer Transformation,Floor,395424.492,597302.945,866309.0043,1195135.524,1561048.738,1936125.398,2303398.45,2664601.482,3275842.959,3569461.945,3900554.339,4231646.733,4525265.719,4759178.116,4930112.599,5047303.46,5124175.679,5173149.4,5203771.48,5222695.347,5234305.251,5252400.663,5252400.663,5252400.663,5252400.663,5252400.663,5252400.663,5252400.663,5252400.663,5252400.663,5252400.663,
Consumer Transformation,Other,443199.606,669332.405,970458.8698,1338117.272,1746384.097,2163339.054,2569205.185,2965156.994,3638389.069,3951348.222,4304249.089,4657149.957,4970109.11,5219428.904,5401622.541,5526532.557,5608468.214,5660667.749,5693306.851,5713477.2,5725851.828,5745139.153,5745139.153,5745139.153,5745139.153,5745139.153,5745139.153,5745139.153,5745139.153,5745139.153,5745139.153,
Consumer Transformation,Roof,93256.847,208441.800,348335.0879,471130.3469,612937.4459,767538.0825,933447.4711,1115909.028,1405497.914,1607414.336,1835100.536,2062786.736,2264703.158,2425560.446,2543108.973,2623698.99,2676562.613,2710240.948,2731299.194,2744312.792,2752296.712,2764740.596,2764740.596,2764740.596,2764740.596,2764740.596,2764740.596,2764740.596,2764740.596,2764740.596,2764740.596,
Consumer Transformation,Cavity wall,46628.42355,75594.22216,105034.3521,141426.3468,182728.5535,226507.6127,271642.9298,319043.7119,396263.5897,443160.3641,496042.3845,548924.4049,595821.1793,633181.6272,660483.2537,679200.9578,691478.9755,699301.05,704192.0032,707214.5201,709068.852,711959.0481,711959.0481,711959.0481,711959.0481,711959.0481,711959.0481,711959.0481,711959.0481,711959.0481,711959.0481,
Consumer Transformation,Solid wall,11190.822,21703.031,34477.74833,47827.64425,63016.54812,79182.60824,95950.23962,113686.5942,142462.2873,160340.7041,180500.8711,200661.0382,218539.455,232782.3463,243190.5218,250326.256,255006.9941,257988.9968,259853.5707,261005.8422,261712.7676,262814.5945,262814.5945,262814.5945,262814.5945,262814.5945,262814.5945,262814.5945,262814.5945,262814.5945,262814.5945,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System Transformation,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
System Transformation,Total,710955.356,1096700.647,1653435.89,2416879.085,3378857.072,4471568.139,5580477.259,6594805.968,7458599.876,8185163.048,8838483.548,9919697.49,10532415.07,11370878.06,12423360.34,13610166.69,14796973.04,15849455.32,16687918.31,17300635.89,17720708.53,17996258.31,18171805.46,18281570.82,18349403.75,18391019.65,18416437.5,18431919.71,18441334.36,18447053.57,18450525.75,
System Transformation,Behavioural,212389.172,333865.863,511241.5837,754429.14,1060753.833,1408482.599,1760910.371,2082421.851,2354720.846,2581363.136,2781768.72,3114465.585,3292213.105,3535448.685,3840770.617,4185059.555,4529348.493,4834670.425,5077906.005,5255653.525,5377515.331,5457451.491,5508377.188,5540219.789,5559897.916,5571970.563,5579344.204,5583835.545,5586566.708,5588225.835,5589233.102,
System Transformation,Floor,154838.306,243386.503,372662.0372,549856.1614,772946.6837,1025958.728,1281920.265,1514543.296,1710010.215,1870209.605,2008300.233,2238653.797,2350223.136,2502898.307,2694544.11,2910648.893,3126753.677,3318399.48,3471074.65,3582643.989,3659134.739,3709309.417,3741274.681,3761261.784,3773613.437,3781191.248,3785819.568,3788638.712,3790353.02,3791394.428,3792026.674,
System Transformation,Other,212389.172,333865.863,511241.5837,754429.14,1060753.833,1408482.599,1760910.371,2082421.851,2354720.846,2581363.136,2781768.72,3114465.585,3292213.105,3535448.685,3840770.617,4185059.555,4529348.493,4834670.425,5077906.005,5255653.525,5377515.331,5457451.491,5508377.188,5540219.789,5559897.916,5571970.563,5579344.204,5583835.545,5586566.708,5588225.835,5589233.102,
System Transformation,Roof,93256.847,138092.331,191484.727,264845.5344,357616.7977,463715.9359,572842.8616,675399.6761,767518.334,852655.4664,940034.3697,1081336.196,1195867.17,1352595.139,1549328.224,1771169.559,1993010.895,2189743.98,2346471.949,2461002.923,2539524.137,2591030.714,2623844.503,2644362.168,2657041.698,2664820.665,2669571.844,2672465.823,2674225.638,2675294.691,2675943.72,
System Transformation,Cavity wall,31808.46977,40997.03418,56867.31564,78653.19837,106157.9297,137516.0916,169572.4893,199333.8592,225445.4757,248636.3869,271225.7549,308079.7609,334491.6624,370634.5812,416003.0499,467161.7131,518320.3763,563688.8449,599831.7637,626243.6652,644351.3834,656229.2762,663796.4393,668528.0027,671452.0196,673245.9212,674341.587,675008.9654,675414.795,675661.3284,675811.0005,
System Transformation,Solid wall,6273.389,6493.053,9938.642702,14665.91101,20627.99443,27412.18558,34320.90086,40685.43564,46184.15995,50935.31815,55385.75025,62696.56569,67406.89259,73852.65959,81943.72106,91067.41205,100191.103,108282.1645,114727.9315,119438.2584,122667.6083,124785.9245,126135.4605,126979.2926,127500.7649,127820.6913,128016.0935,128135.1145,128207.4906,128251.4576,128278.1503,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leading the Way,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
Leading the Way,Total,1579224.336,2579412.210,3938957.883,5586963.702,7487032.537,9563102.493,11688617.7,13730650.92,16496109.6,17654473.56,18577287.48,19251645.6,19713978.33,20017248.94,20210456.45,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,20523112.69,
Leading the Way,Behavioural,486138.983,740651.145,1088182.074,1529147.066,2046075.428,2608488.722,3181543.816,3729599.351,4477778.046,4783287.454,5026672.387,5204529.049,5326465.681,5406450.924,5457407.89,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,
Leading the Way,Floor,437278.553,666569.027,980139.4993,1378955.498,1848082.123,2360784.894,2885838.104,3390395.561,4073398.893,4359886.889,4588118.361,4754901.436,4869246.135,4944251.393,4992035.712,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,5069362.235,
Leading the Way,Other,486138.983,740651.145,1088182.074,1529147.066,2046075.428,2608488.722,3181543.816,3729599.351,4477778.046,4783287.454,5026672.387,5204529.049,5326465.681,5406450.924,5457407.89,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,5539868.519,
Leading the Way,Roof,93256.847,279770.541,559541.0826,836615.3105,1128122.705,1452000.241,1789755.696,2119825.508,2553472.29,2752755.159,2911514.42,3027529.786,3107068.684,3159242.818,3192481.894,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,3246270.714,
Leading the Way,Cavity wall,46628.42355,106419.5167,156336.22,219652.1019,293839.3462,374503.2052,456634.3401,535128.8169,642414.7243,686054.4467,720820.1549,746225.6421,763643.3734,775068.6641,782347.4837,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,794126.3647,
Leading the Way,Solid wall,29782.546,45350.836,66576.9326,93446.65881,124837.5066,158836.7085,193301.9282,226102.3274,271267.5973,289202.1574,303489.7755,313930.6357,321088.7781,325784.2151,328775.5821,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,333616.3336,
