Consumer Transformation,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
,Storage heating,115,2477,5167,8317,12167,17267,25646,34778,44948,57195,75671,94432,113192,131953,150714,169474,188235,206995,225756,241962,254816,267670,280524,281410,281410,281410,281410,281410,281410,281410,281410,
,Resistive heating,7,173,364,593,880,1278,1985,2736,3534,4430,5618,6819,8020,9220,10421,11622,12823,14024,15225,16167,16768,17370,17972,18013,18013,18013,18013,18013,18013,18013,18013,
,ASHP,1767,20203,39955,65731,96816,131579,179856,251204,347745,475689,654970,852653,1069451,1306264,1563541,1841527,2120454,2400063,2680182,2977267,3298596,3622858,3949633,4235413,4319601,4319601,4319601,4319601,4319601,4319601,4319601,
,GSHP,443,4819,9464,15443,22480,29949,39077,53538,74145,103287,148622,198201,252298,311260,375259,444389,513880,583633,653583,730052,815837,902749,990627,1062751,1083876,1083876,1083876,1083876,1083876,1083876,1083876,
,Hybrid HP - H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Hybrid HP bottled - bioLPG,588,16891,36290,60333,92116,139377,233077,328898,424719,520539,616360,712181,808002,903823,999644,1095465,1191285,1287106,1382927,1437313,1437313,1437313,1437313,1437313,1437313,1437313,1437313,1437313,1437313,1437313,1437313,
,H2 boiler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Hybrid HP + resistive heating,0,0,0,0,1,1,1,2,2,3,5,6,8,10,12,14,16,19,21,23,26,29,32,34,35,35,35,35,35,35,35,
,DH,108507,115716,116600,135140,156971,175658,207092,247448,274296,291119,318119,345383,372283,389095,416134,443219,460123,487153,513934,541153,568048,584931,611913,638705,655924,682789,709790,711683,722778,724764,736186,
,Total,111426.91,160279.03,207840.77,285557.06,381430.00,495109.12,686733.98,918602.22,1169389.17,1452262.11,1819364.80,2209675.23,2623253.54,3051625.30,3515723.94,4005710.69,4486817.41,4978993.86,5471627.60,5943937.63,6391404.96,6832919.64,7288012.91,7673639.39,7796171.37,7823035.74,7850037.11,7851930.45,7863025.62,7865011.22,7876433.11,
