Total CO2 emissions from heat trajectories (Mt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: Emissions are for the UKPN license areas, under each scenario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scenario,Sector,Sub-sector,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
,Consumer Transformation,Domestic,Existing on gas grid,Mt CO2,12.67,12.62,12.54,12.45,12.35,12.22,12.07,11.89,11.66,11.32,10.79,10.23,9.63,8.97,8.26,7.52,6.76,5.99,5.22,4.39,3.46,2.51,1.55,0.81,0.56,0.52,0.52,0.50,0.50,0.48,0.48,,
,Consumer Transformation,Domestic,Existing off gas grid,Mt CO2,5.22,5.17,5.10,5.01,4.90,4.73,4.41,4.09,3.77,3.44,3.12,2.80,2.48,2.15,1.82,1.50,1.17,0.83,0.50,0.31,0.29,0.26,0.24,0.21,0.19,0.17,0.17,0.17,0.17,0.16,0.16,,
,Consumer Transformation,Domestic,District Heating,Mt CO2,0.28,0.28,0.32,0.36,0.40,0.40,0.39,0.37,0.34,0.32,0.32,0.30,0.28,0.27,0.25,0.22,0.20,0.18,0.15,0.13,0.12,0.11,0.11,0.10,0.09,0.09,0.07,0.06,0.05,0.04,0.03,,
,Consumer Transformation,Domestic,New build,Mt CO2,0.11,0.17,0.22,0.27,0.31,0.39,0.45,0.50,0.55,0.59,0.62,0.65,0.68,0.70,0.72,0.73,0.73,0.73,0.72,0.70,0.68,0.65,0.61,0.57,0.53,0.47,0.42,0.35,0.28,0.21,0.14,,
,Consumer Transformation,Non-domestic,Non-domestic,Mt CO2, 8.48 , 8.22 , 7.94 , 7.67 , 7.39 , 7.10 , 6.81 , 6.55 , 6.29 , 6.02 , 5.69 , 5.45 , 5.21 , 4.99 , 4.77 , 4.56 , 4.32 , 3.99 , 3.66 , 3.33 , 3.01 , 2.69 , 2.37 , 2.07 , 1.77 , 1.46 , 1.15 , 0.83 , 0.51 , 0.29 , 0.19 ,,
,Consumer Transformation,Domestic,Total,Mt CO2,26.77,26.46,26.12,25.75,25.34,24.83,24.13,23.40,22.60,21.69,20.55,19.43,18.28,17.08,15.82,14.53,13.18,11.72,10.26,8.85,7.56,6.23,4.88,3.76,3.14,2.72,2.33,1.92,1.51,1.18,1.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,System Transformation,Domestic,Existing on gas grid,Mt CO2,12.67,12.65,12.59,12.53,12.44,12.35,12.23,12.15,12.06,11.96,11.87,11.76,11.65,11.53,11.38,11.14,10.68,10.20,9.57,8.50,6.90,4.92,3.63,2.83,1.94,1.36,0.84,0.65,0.61,0.59,0.59,,
,System Transformation,Domestic,Existing off gas grid,Mt CO2,5.22,5.18,5.12,5.05,4.96,4.86,4.73,4.57,4.27,3.95,3.63,3.31,2.99,2.67,2.35,2.03,1.71,1.39,1.07,0.75,0.43,0.31,0.29,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.21,,
,System Transformation,Domestic,District Heating,Mt CO2,0.28,0.28,0.35,0.42,0.51,0.54,0.57,0.57,0.58,0.58,0.61,0.61,0.62,0.63,0.64,0.64,0.62,0.61,0.58,0.52,0.46,0.37,0.30,0.26,0.21,0.18,0.14,0.12,0.10,0.09,0.07,,
,System Transformation,Domestic,New build,Mt CO2,0.11,0.17,0.22,0.27,0.31,0.39,0.45,0.50,0.55,0.59,0.62,0.65,0.68,0.70,0.72,0.73,0.73,0.73,0.72,0.70,0.68,0.65,0.61,0.57,0.53,0.47,0.42,0.35,0.28,0.21,0.14,,
,System Transformation,Non-domestic,Non-domestic,Mt CO2, 9.55 , 9.30 , 9.02 , 8.76 , 8.48 , 8.19 , 7.89 , 7.63 , 7.38 , 7.07 , 6.77 , 6.52 , 6.27 , 6.02 , 5.79 , 5.57 , 5.28 , 5.03 , 4.73 , 4.27 , 3.63 , 2.83 , 2.15 , 1.66 , 1.30 , 1.08 , 0.85 , 0.73 , 0.62 , 0.52 , 0.42 ,,
,System Transformation,Domestic,Total,Mt CO2,27.84,27.58,27.30,27.01,26.71,26.32,25.87,25.42,24.84,24.15,23.49,22.85,22.21,21.55,20.87,20.11,19.03,17.96,16.67,14.75,12.10,9.08,6.99,5.59,4.23,3.33,2.47,2.08,1.83,1.62,1.44,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leading the Way,Domestic,Existing on gas grid,Mt CO2,12.66,12.61,12.52,12.41,12.28,12.13,11.95,11.73,11.45,11.07,10.50,9.89,9.24,8.55,7.82,7.04,6.24,5.43,4.60,3.64,2.73,1.80,0.96,0.79,0.64,0.54,0.49,0.47,0.46,0.44,0.44,,
,Leading the Way,Domestic,Existing off gas grid,Mt CO2,5.07,5.02,4.95,4.86,4.74,4.57,4.26,3.95,3.63,3.31,3.00,2.69,2.38,2.06,1.74,1.43,1.11,0.79,0.47,0.28,0.26,0.24,0.21,0.19,0.17,0.15,0.15,0.14,0.14,0.14,0.14,,
,Leading the Way,Domestic,District Heating,Mt CO2,0.28,0.29,0.35,0.35,0.35,0.36,0.36,0.34,0.32,0.30,0.32,0.30,0.29,0.29,0.27,0.26,0.24,0.22,0.22,0.21,0.21,0.20,0.19,0.18,0.16,0.15,0.13,0.11,0.09,0.07,0.05,,
,Leading the Way,Domestic,New build,Mt CO2,0.11,0.17,0.22,0.27,0.31,0.39,0.45,0.50,0.55,0.59,0.62,0.65,0.68,0.70,0.72,0.73,0.73,0.73,0.72,0.70,0.68,0.65,0.61,0.57,0.53,0.47,0.42,0.35,0.28,0.21,0.14,,
,Leading the Way,Non-domestic,Non-domestic,Mt CO2,8.36,8.07,7.74,7.40,7.05,6.71,6.37,6.04,5.64,5.19,4.76,4.39,4.04,3.73,3.43,3.14,2.85,2.57,2.29,2.00,1.71,1.43,1.14,0.86,0.77,0.68,0.58,0.48,0.39,0.30,0.20,,
,Leading the Way,Domestic,Total,Mt CO2,26.49,26.16,25.78,25.29,24.74,24.16,23.38,22.55,21.59,20.46,19.20,17.92,16.63,15.33,13.98,12.59,11.17,9.73,8.29,6.83,5.58,4.31,3.12,2.59,2.27,1.99,1.77,1.56,1.37,1.15,0.97,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Steady Progression,Domestic,Existing on gas grid,Mt CO2,12.67,12.67,12.64,12.61,12.58,12.54,12.48,12.44,12.41,12.37,12.33,12.29,12.26,12.22,12.18,12.16,12.12,12.08,12.04,12.00,11.97,11.93,11.89,11.86,11.82,11.78,11.78,11.76,11.76,11.74,11.74,,
,Steady Progression,Domestic,Existing off gas grid,Mt CO2,5.22,5.22,5.21,5.20,5.19,5.18,5.16,5.14,5.13,5.12,5.11,5.09,5.08,5.07,5.06,5.05,5.03,5.02,5.01,4.99,4.98,4.97,4.96,4.95,4.93,4.92,4.92,4.91,4.91,4.91,4.91,,
,Steady Progression,Domestic,District Heating,Mt CO2,0.28,0.29,0.35,0.42,0.52,0.56,0.59,0.61,0.64,0.65,0.67,0.68,0.70,0.72,0.73,0.74,0.75,0.75,0.75,0.75,0.76,0.75,0.75,0.75,0.74,0.73,0.72,0.70,0.69,0.67,0.66,,
,Steady Progression,Domestic,New build,Mt CO2,0.11,0.17,0.22,0.27,0.31,0.39,0.45,0.50,0.55,0.59,0.62,0.65,0.68,0.70,0.72,0.73,0.73,0.73,0.72,0.70,0.68,0.65,0.61,0.57,0.53,0.47,0.42,0.35,0.28,0.21,0.14,,
