,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
District Heating,0.42,0.44,0.64,0.85,1.08,1.3,1.56,1.74,1.88,2.04,2.19,2.34,2.49,2.66,2.83,3.01,3.19,3.37,3.56,3.74,3.93,4.12,4.31,4.5,4.69,4.88,4.89,4.94,4.95,5.01,5.01
Biomass boiler,3.17,3.12,3.05,2.97,2.89,2.81,2.74,2.69,2.62,2.55,2.49,2.46,2.44,2.43,2.42,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41
ASHP,0,0.1,0.2,0.3,0.42,0.54,0.69,0.9,1.12,1.39,1.76,2.44,3.1,3.76,4.42,5.08,5.75,6.43,7.1,7.77,8.41,9.02,9.62,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22
High Temperature ASHP,0,0,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.08,0.1,0.13,0.15,0.18,0.2,0.23,0.25,0.27,0.3,0.32,0.35,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
GSHP,0,0.07,0.14,0.22,0.3,0.39,0.5,0.66,0.82,1.02,1.28,1.76,2.22,2.69,3.15,3.62,4.09,4.56,5.03,5.51,5.95,6.37,6.79,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
High Temperature GSHP, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Hybrid HP bottled - bioLPG,0,0,0,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
Hybrid HP - H2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
H2 Boiler, -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.02,0.04,0.05,0.07,0.09,0.1,0.12,0.14,0.15,0.17,0.19,0.2,0.22,0.24,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
Electric Resistive,5.6,5.46,5.26,5.06,4.84,4.61,4.37,4.11,3.8,3.48,3.17,2.84,2.54,2.25,1.98,1.72,1.46,1.21,0.96,0.7,0.51,0.35,0.19,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Total,9.19,9.19,9.29,9.41,9.54,9.7,9.92,10.16,10.31,10.59,11.05,12.05,13.06,14.09,15.16,16.25,17.37,18.49,19.63,20.75,21.88,22.98,24.08,25.16,25.35,25.54,25.55,25.6,25.6,25.66,25.66
