Gas grid connection,Heating system type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
On gas,HP,0%,1%,1%,1%,2%,2%,3%,4%,4%,5%,5%,6%,6%,7%,8%,8%,9%,10%,10%,11%,12%,13%,14%,15%,16%,18%,19%,21%,23%,27%,33%
On gas,Direct Electric,0%,1%,1%,1%,2%,2%,3%,4%,4%,5%,5%,6%,6%,7%,8%,8%,9%,10%,10%,11%,12%,13%,14%,15%,16%,18%,19%,21%,23%,27%,33%
On gas,biomass/bio LPG,0%,1%,1%,1%,2%,2%,3%,4%,4%,5%,5%,6%,6%,7%,8%,8%,9%,10%,10%,11%,12%,13%,14%,15%,16%,18%,19%,21%,23%,27%,33%
On gas,H2,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,13%,20%,27%,33%,40%,47%,53%,60%,67%,73%,80%,87%,93%,100%,100%,100%,100%,100%,100%,100%,100%
Off gas,HP,0%,1%,2%,3%,4%,5%,7%,9%,11%,15%,21%,28%,35%,41%,48%,55%,61%,68%,75%,81%,88%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Off gas,Direct Electric,0%,1%,2%,3%,4%,5%,7%,9%,11%,15%,21%,28%,35%,41%,48%,55%,61%,68%,75%,81%,88%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Off gas,biomass/bio LPG,0%,1%,2%,3%,4%,5%,7%,9%,11%,15%,21%,28%,35%,41%,48%,55%,61%,68%,75%,81%,88%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Off gas,H2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
