tenure,EE package,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Owner occupier,building Fabric,0%,0%,0%,0%,0%,1%,1%,2%,3%,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,97%,98%,99%,99%,100%,100%,100%,100%,100%
Owner occupier,hot water,0%,0%,0%,0%,0%,1%,1%,2%,3%,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,97%,98%,99%,99%,100%,100%,100%,100%,100%
Owner occupier,both,0%,0%,0%,0%,0%,1%,1%,2%,3%,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,97%,98%,99%,99%,100%,100%,100%,100%,100%
Private rented,building Fabric,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Private rented,hot water,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Private rented,both,5%,8%,12%,18%,27%,38%,50%,62%,73%,82%,88%,92%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
