Gas grid connection,Heating system type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
On gas,HP,0%,0%,1%,1%,2%,2%,3%,3%,4%,5%,6%,7%,8%,9%,11%,13%,16%,23%,30%,36%,43%,50%,56%,63%,70%,76%,83%,90%,96%,100%,100%
On gas,Direct Electric,0%,0%,1%,1%,2%,2%,3%,3%,4%,5%,6%,7%,8%,9%,11%,13%,16%,23%,30%,36%,43%,50%,56%,63%,70%,76%,83%,90%,96%,100%,100%
On gas,biomass/bio LPG,0%,0%,1%,1%,2%,2%,3%,3%,4%,5%,6%,7%,8%,9%,11%,13%,16%,23%,30%,36%,43%,50%,56%,63%,70%,76%,83%,90%,96%,100%,100%
On gas,H2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Off gas,HP,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Off gas,Direct Electric,0%,1%,1%,2%,3%,4%,6%,7%,10%,13%,20%,26%,33%,40%,46%,53%,60%,66%,73%,80%,86%,93%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Off gas,biomass/bio LPG,0%,1%,1%,2%,3%,4%,6%,7%,10%,13%,20%,26%,33%,40%,46%,53%,60%,66%,73%,80%,86%,93%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Off gas,H2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
