Sector,Sub-sector,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Domestic,Existing on gas grid,Mt CO2,12.67,12.65,12.59,12.53,12.44,12.35,12.23,12.15,12.06,11.96,11.87,11.76,11.65,11.53,11.38,11.14,10.68,10.2,9.57,8.5,6.9,4.92,3.63,2.83,1.94,1.36,0.84,0.65,0.61,0.59,0.59
Domestic,Existing off gas grid,Mt CO2,5.22,5.18,5.12,5.05,4.96,4.86,4.73,4.57,4.27,3.95,3.63,3.31,2.99,2.67,2.35,2.03,1.71,1.39,1.07,0.75,0.43,0.31,0.29,0.27,0.25,0.23,0.23,0.22,0.22,0.21,0.21
Domestic,District Heating,Mt CO2,0.28,0.28,0.35,0.42,0.51,0.54,0.57,0.57,0.58,0.58,0.61,0.61,0.62,0.63,0.64,0.64,0.62,0.61,0.58,0.52,0.46,0.37,0.3,0.26,0.21,0.18,0.14,0.12,0.1,0.09,0.07
Domestic,New build,Mt CO2,0.11,0.17,0.22,0.27,0.31,0.39,0.45,0.5,0.55,0.59,0.62,0.65,0.68,0.7,0.72,0.73,0.73,0.73,0.72,0.7,0.68,0.65,0.61,0.57,0.53,0.47,0.42,0.35,0.28,0.21,0.14
Non-domestic,Non-domestic,Mt CO2,9.55,9.3,9.02,8.76,8.48,8.19,7.89,7.63,7.38,7.07,6.77,6.52,6.27,6.02,5.79,5.57,5.28,5.03,4.73,4.27,3.63,2.83,2.15,1.66,1.3,1.08,0.85,0.73,0.62,0.52,0.42
Domestic,Total,Mt CO2,27.84,27.58,27.3,27.01,26.71,26.32,25.87,25.42,24.84,24.15,23.49,22.85,22.21,21.55,20.87,20.11,19.03,17.96,16.67,14.75,12.1,9.08,6.99,5.59,4.23,3.33,2.47,2.08,1.83,1.62,1.44
