,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
District Heating,0.46,0.49,0.71,0.96,1.23,1.51,1.82,2.05,2.28,2.49,2.7,2.91,3.11,3.29,3.47,3.64,3.81,3.99,4.17,4.37,4.57,4.78,5,5.21,5.43,5.65,5.66,5.72,5.72,5.79,5.79
Biomass boiler,3.03,3,2.95,2.89,2.83,2.76,2.68,2.63,2.58,2.5,2.43,2.37,2.31,2.24,2.19,2.14,2.1,2.08,2.07,2.06,2.06,2.06,2.06,2.06,2.09,2.12,2.16,2.19,2.23,2.25,2.25
ASHP, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
High Temperature ASHP,0,0.02,0.04,0.07,0.09,0.12,0.15,0.18,0.23,0.29,0.39,0.5,0.6,0.71,0.82,0.93,1.07,1.28,1.48,1.69,1.89,2.1,2.31,2.44,2.57,2.7,2.83,2.96,3.09,3.17,3.17
GSHP, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
High Temperature GSHP, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Hybrid HP bottled - bioLPG,0,0.01,0.02,0.03,0.04,0.05,0.07,0.08,0.11,0.14,0.21,0.28,0.34,0.41,0.47,0.52,0.58,0.64,0.7,0.76,0.82,0.88,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
Hybrid HP - H2, -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.05,0.1,0.15,0.19,0.24,0.28,0.32,0.37,0.41,0.45,0.49,0.54,0.58,0.62,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
H2 Boiler, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1.18,2.33,3.44,4.51,5.52,6.5,7.45,8.37,9.29,10.23,11.17,12.14,13.12,14.1,15.1,15.09,15.09,15.09,15.09,15.09,15.09,15.09
Electric Resistive,6.87,6.78,6.65,6.51,6.34,6.17,5.99,5.84,5.7,5.42,5.11,4.8,4.51,4.21,3.92,3.65,3.38,3.13,2.89,2.66,2.43,2.22,2,1.87,1.85,1.84,1.82,1.81,1.8,1.79,1.79
Total,10.36,10.31,10.37,10.45,10.53,10.61,10.71,10.79,10.89,12.08,13.28,14.44,15.57,16.61,17.65,18.66,19.69,20.82,21.98,23.2,24.45,25.73,27.03,28.29,28.65,29.01,29.17,29.38,29.54,29.69,29.69
