,,2030,,,,2050,,
All stock,,,,,,,,
,,Consumer Transformation,System Transformation,Leading The Way,,Consumer Transformation,System Transformation,Leading The Way
,Baseline 2020,£795.93,£795.93,£795.93,,£795.93,£795.93,£795.93
,Fuel price changes,£852.74,£852.74,£852.74,,£857.99,£857.99,£857.99
,Efficiency gains,£789.80,£821.67,£773.92,,£768.27,£786.96,£769.13
,Heating technology uptake,£720.82,£777.52,£695.66,,£600.08,£638.16,£594.06
,,,,,,,,
,,,,,,,,
