,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,variable,Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),,,,,,,,,
,,E01000006,1.270,0.000,0.000,0.000,1.270,0.995,0.000,0.000,0.000,0.995,1.134,0.000,0.000,0.000,1.134,1.036,0.000,0.000,0.000,1.036,0.048,0.000,0.000,0.000,0.048,0.063,0.000,0.000,0.000,0.063,0.047,0.000,0.000,0.000,0.047,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000007,2.856,0.360,0.000,0.000,3.216,1.902,0.189,0.000,0.000,2.090,2.390,0.234,0.000,0.000,2.624,1.990,0.161,0.000,0.000,2.151,0.088,0.005,0.000,0.000,0.093,0.101,0.037,0.000,0.000,0.137,0.082,0.012,0.000,0.000,0.095,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000008,0.840,0.456,0.000,0.000,1.296,0.727,0.274,0.000,0.000,1.001,0.812,0.342,0.000,0.000,1.153,0.626,0.231,0.000,0.000,0.857,0.037,0.009,0.000,0.000,0.046,0.041,0.043,0.000,0.000,0.084,0.030,0.021,0.000,0.000,0.050,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000009,0.930,0.989,0.000,0.000,1.919,0.711,0.698,0.103,0.000,1.512,0.371,0.748,0.223,0.000,1.341,0.337,0.576,0.117,0.000,1.030,0.033,0.026,0.011,0.000,0.071,0.019,0.053,0.032,0.000,0.104,0.014,0.015,0.021,0.000,0.050,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000010,3.192,0.894,0.000,0.000,4.086,1.763,0.517,0.210,0.000,2.490,1.055,0.567,0.453,0.000,2.075,0.785,0.449,0.239,0.000,1.473,0.079,0.029,0.023,0.000,0.131,0.054,0.081,0.065,0.000,0.200,0.030,0.031,0.042,0.000,0.102,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000011,0.629,0.063,0.000,0.000,0.693,0.528,0.046,0.074,0.000,0.648,0.270,0.049,0.160,0.000,0.479,0.250,0.038,0.085,0.000,0.372,0.025,0.002,0.008,0.000,0.035,0.016,0.004,0.023,0.000,0.042,0.011,0.001,0.015,0.000,0.027,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000012,2.405,0.010,0.000,0.000,2.415,1.603,0.006,0.000,0.000,1.609,1.959,0.008,0.000,0.000,1.967,1.686,0.005,0.000,0.000,1.692,0.078,0.000,0.000,0.000,0.079,0.090,0.001,0.000,0.000,0.091,0.076,0.000,0.000,0.000,0.076,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000013,1.280,0.611,0.000,0.000,1.890,1.132,0.368,0.000,0.000,1.501,1.241,0.444,0.000,0.000,1.685,1.174,0.309,0.000,0.000,1.483,0.055,0.011,0.000,0.000,0.066,0.077,0.062,0.000,0.000,0.139,0.054,0.021,0.000,0.000,0.075,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000014,1.233,0.007,0.000,0.000,1.240,1.087,0.006,0.000,0.000,1.093,1.212,0.007,0.000,0.000,1.219,1.127,0.005,0.000,0.000,1.132,0.053,0.000,0.000,0.000,0.053,0.072,0.000,0.000,0.000,0.072,0.052,0.000,0.000,0.000,0.052,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000015,1.460,0.021,0.000,0.000,1.481,1.348,0.017,0.000,0.000,1.365,1.461,0.021,0.000,0.000,1.482,1.396,0.015,0.000,0.000,1.411,0.066,0.001,0.000,0.000,0.067,0.093,0.000,0.000,0.000,0.093,0.065,0.000,0.000,0.000,0.065,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000016,1.388,0.387,0.000,0.000,1.775,1.172,0.237,0.000,0.000,1.409,1.325,0.297,0.000,0.000,1.623,1.213,0.204,0.000,0.000,1.417,0.056,0.007,0.000,0.000,0.063,0.076,0.027,0.000,0.000,0.103,0.054,0.010,0.000,0.000,0.065,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000017,1.181,0.012,0.000,0.000,1.193,1.073,0.006,0.000,0.000,1.078,1.165,0.007,0.000,0.000,1.172,1.111,0.005,0.000,0.000,1.115,0.052,0.000,0.000,0.000,0.052,0.074,0.001,0.000,0.000,0.075,0.051,0.000,0.000,0.000,0.052,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000018,1.170,0.000,0.000,0.000,1.170,1.082,0.000,0.000,0.000,1.082,1.168,0.000,0.000,0.000,1.168,1.119,0.000,0.000,0.000,1.119,0.053,0.000,0.000,0.000,0.053,0.075,0.000,0.000,0.000,0.075,0.052,0.000,0.000,0.000,0.052,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000019,1.034,0.041,0.000,0.000,1.075,0.951,0.031,0.000,0.000,0.982,1.038,0.038,0.000,0.000,1.075,0.986,0.027,0.000,0.000,1.012,0.046,0.001,0.000,0.000,0.047,0.065,0.001,0.000,0.000,0.066,0.046,0.000,0.000,0.000,0.046,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000020,1.289,0.074,0.000,0.000,1.364,1.147,0.037,0.000,0.000,1.184,1.264,0.046,0.000,0.000,1.310,1.188,0.031,0.000,0.000,1.219,0.056,0.001,0.000,0.000,0.057,0.077,0.009,0.000,0.000,0.086,0.055,0.003,0.000,0.000,0.058,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000021,1.511,0.582,0.000,0.000,2.093,1.164,0.440,0.000,0.000,1.604,1.352,0.546,0.000,0.000,1.898,1.216,0.389,0.000,0.000,1.605,0.056,0.016,0.000,0.000,0.072,0.074,0.023,0.000,0.000,0.097,0.054,0.014,0.000,0.000,0.069,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000022,1.152,0.000,0.000,0.000,1.152,0.896,0.000,0.000,0.000,0.896,1.061,0.000,0.000,0.000,1.061,0.927,0.000,0.000,0.000,0.927,0.042,0.000,0.000,0.000,0.042,0.054,0.000,0.000,0.000,0.054,0.040,0.000,0.000,0.000,0.040,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000023,6.667,0.712,0.000,0.000,7.379,4.160,0.534,0.000,0.000,4.694,5.538,0.642,0.000,0.000,6.179,4.280,0.464,0.000,0.000,4.743,0.177,0.018,0.000,0.000,0.195,0.194,0.032,0.000,0.000,0.227,0.164,0.036,0.000,0.000,0.200,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000024,0.873,0.635,0.000,0.000,1.508,0.799,0.523,0.000,0.000,1.322,0.870,0.632,0.000,0.000,1.501,0.826,0.444,0.000,0.000,1.270,0.039,0.016,0.000,0.000,0.055,0.055,0.000,0.000,0.000,0.055,0.038,0.002,0.000,0.000,0.040,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000025,1.852,0.095,0.000,0.000,1.947,1.521,0.074,0.000,0.000,1.595,1.743,0.096,0.000,0.000,1.838,0.571,0.063,0.000,0.000,0.635,0.076,0.002,0.000,0.000,0.078,0.040,0.000,0.000,0.000,0.040,0.025,0.000,0.000,0.000,0.025,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000027,1.474,45.078,0.000,0.000,46.551,1.198,35.525,0.000,0.000,36.723,1.378,45.158,0.000,0.000,46.535,1.243,30.461,0.000,0.000,31.704,0.057,0.883,0.000,0.000,0.940,0.076,0.026,0.000,0.000,0.102,0.055,0.150,0.000,0.000,0.205,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000028,1.238,0.186,0.000,0.000,1.423,1.014,0.094,0.000,0.000,1.107,1.156,0.120,0.000,0.000,1.276,1.051,0.080,0.000,0.000,1.131,0.049,0.002,0.000,0.000,0.052,0.066,0.025,0.000,0.000,0.091,0.048,0.007,0.000,0.000,0.055,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000029,1.629,1.109,0.000,0.000,2.739,1.320,0.887,0.000,0.000,2.208,1.517,1.104,0.000,0.000,2.622,1.358,0.760,0.000,0.000,2.118,0.062,0.023,0.000,0.000,0.086,0.083,0.004,0.000,0.000,0.087,0.061,0.005,0.000,0.000,0.067,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000030,2.064,3.294,0.000,0.000,5.358,1.563,2.593,0.000,0.000,4.156,1.825,3.226,0.000,0.000,5.051,1.593,2.224,0.000,0.000,3.818,0.076,0.071,0.000,0.000,0.147,0.097,0.031,0.000,0.000,0.128,0.071,0.021,0.000,0.000,0.092,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000031,1.407,0.059,0.000,0.000,1.467,1.186,0.045,0.000,0.000,1.231,1.341,0.055,0.000,0.000,1.396,1.223,0.039,0.000,0.000,1.261,0.056,0.002,0.000,0.000,0.058,0.077,0.002,0.000,0.000,0.078,0.055,0.001,0.000,0.000,0.056,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000032,1.734,0.274,0.000,0.000,2.008,1.455,0.165,0.000,0.000,1.620,1.660,0.203,0.000,0.000,1.863,1.500,0.139,0.000,0.000,1.638,0.068,0.005,0.000,0.000,0.073,0.092,0.027,0.000,0.000,0.119,0.066,0.009,0.000,0.000,0.075,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000033,1.146,0.000,0.000,0.000,1.146,0.938,0.000,0.000,0.000,0.938,1.046,0.000,0.000,0.000,1.046,0.980,0.000,0.000,0.000,0.980,0.048,0.000,0.000,0.000,0.048,0.064,0.000,0.000,0.000,0.064,0.048,0.000,0.000,0.000,0.048,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000034,1.097,1.254,0.000,0.000,2.352,0.949,1.022,0.000,0.000,1.971,1.062,1.256,0.000,0.000,2.318,0.983,0.877,0.000,0.000,1.860,0.045,0.027,0.000,0.000,0.072,0.062,0.001,0.000,0.000,0.063,0.044,0.004,0.000,0.000,0.049,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000035,1.206,0.641,0.000,0.000,1.847,1.066,0.437,0.000,0.000,1.504,1.191,0.530,0.000,0.000,1.721,1.098,0.379,0.000,0.000,1.477,0.051,0.020,0.000,0.000,0.071,0.070,0.045,0.000,0.000,0.115,0.050,0.023,0.000,0.000,0.072,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000036,0.999,0.003,0.000,0.000,1.002,0.912,0.003,0.000,0.000,0.915,1.003,0.003,0.000,0.000,1.007,0.936,0.002,0.000,0.000,0.939,0.043,0.000,0.000,0.000,0.044,0.061,0.000,0.000,0.000,0.062,0.043,0.000,0.000,0.000,0.043,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000037,1.056,1.691,0.000,0.000,2.748,1.007,1.348,0.000,0.000,2.355,1.088,1.698,0.000,0.000,2.786,1.032,1.152,0.000,0.000,2.184,0.048,0.035,0.000,0.000,0.084,0.069,0.000,0.000,0.000,0.069,0.048,0.006,0.000,0.000,0.053,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000038,1.241,1.051,0.000,0.000,2.292,1.120,0.850,0.000,0.000,1.970,1.231,1.048,0.000,0.000,2.279,1.147,0.729,0.000,0.000,1.876,0.053,0.020,0.000,0.000,0.074,0.075,0.003,0.000,0.000,0.078,0.052,0.004,0.000,0.000,0.056,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000039,1.157,1.943,0.000,0.000,3.100,1.021,1.422,0.000,0.000,2.443,1.142,1.814,0.000,0.000,2.956,1.049,1.218,0.000,0.000,2.267,0.048,0.035,0.000,0.000,0.084,0.066,0.040,0.000,0.000,0.106,0.047,0.018,0.000,0.000,0.066,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000040,1.538,0.057,0.000,0.000,1.595,1.246,0.037,0.000,0.648,1.932,1.426,0.046,0.000,0.648,2.120,1.297,0.032,0.000,0.648,1.978,0.060,0.001,0.000,0.143,0.204,0.079,0.003,0.000,0.143,0.225,0.058,0.001,0.000,0.143,0.203,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000041,1.122,0.000,0.000,0.000,1.122,1.046,0.000,0.000,0.000,1.046,1.127,0.000,0.000,0.000,1.127,1.082,0.000,0.000,0.000,1.082,0.051,0.000,0.000,0.000,0.051,0.073,0.000,0.000,0.000,0.073,0.050,0.000,0.000,0.000,0.050,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000042,1.606,0.100,0.000,0.000,1.707,1.220,0.082,0.000,0.648,1.950,1.438,0.099,0.000,0.648,2.186,1.276,0.071,0.000,0.648,1.995,0.058,0.003,0.000,0.143,0.204,0.075,0.000,0.000,0.143,0.218,0.056,0.000,0.000,0.143,0.199,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000043,1.217,0.328,0.000,0.000,1.545,1.020,0.185,0.000,0.648,1.854,1.142,0.232,0.000,0.648,2.023,1.057,0.160,0.000,0.648,1.865,0.048,0.007,0.000,0.143,0.198,0.067,0.040,0.000,0.143,0.250,0.047,0.014,0.000,0.143,0.204,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000044,1.361,0.084,0.000,0.000,1.445,1.193,0.071,0.000,0.648,1.912,1.316,0.086,0.000,0.648,2.051,1.233,0.061,0.000,0.648,1.942,0.057,0.002,0.000,0.143,0.203,0.080,0.000,0.000,0.143,0.223,0.056,0.000,0.000,0.143,0.200,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000045,1.275,0.672,0.000,0.000,1.947,1.045,0.524,0.000,0.648,2.217,1.185,0.652,0.000,0.648,2.485,1.083,0.450,0.000,0.648,2.181,0.049,0.017,0.000,0.143,0.210,0.068,0.022,0.000,0.143,0.233,0.048,0.040,0.000,0.143,0.231,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000046,1.316,0.000,0.000,0.000,1.316,1.183,0.000,0.000,0.000,1.183,1.294,0.000,0.000,0.000,1.294,1.224,0.000,0.000,0.000,1.224,0.058,0.000,0.000,0.000,0.058,0.081,0.000,0.000,0.000,0.081,0.056,0.000,0.000,0.000,0.056,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000048,1.113,0.038,0.000,0.000,1.151,0.830,0.024,0.000,0.648,1.502,0.964,0.029,0.000,0.648,1.642,0.874,0.021,0.000,0.648,1.543,0.041,0.001,0.000,0.143,0.186,0.053,0.003,0.000,0.143,0.199,0.040,0.001,0.000,0.143,0.184,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000049,2.159,0.286,0.000,0.000,2.445,1.610,0.145,0.000,0.648,2.403,1.885,0.183,0.000,0.648,2.716,1.692,0.123,0.000,0.648,2.463,0.079,0.004,0.000,0.143,0.226,0.102,0.028,0.000,0.143,0.274,0.078,0.009,0.000,0.143,0.230,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000050,1.268,0.571,0.000,0.000,1.839,1.053,0.282,0.000,0.648,1.984,1.183,0.352,0.000,0.648,2.183,1.099,0.240,0.000,0.648,1.988,0.051,0.006,0.000,0.143,0.201,0.069,0.062,0.000,0.143,0.273,0.051,0.021,0.000,0.143,0.214,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000051,0.831,0.035,0.000,0.000,0.866,0.586,0.019,0.000,0.648,1.254,0.695,0.023,0.000,0.648,1.366,0.616,0.017,0.000,0.648,1.281,0.030,0.000,0.000,0.143,0.173,0.037,0.005,0.000,0.143,0.185,0.028,0.002,0.000,0.143,0.173,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000052,1.515,0.008,0.000,0.000,1.523,1.341,0.005,0.000,0.648,1.994,1.430,0.005,0.000,0.648,2.083,0.885,0.004,0.000,0.648,1.537,0.071,0.000,0.000,0.143,0.214,0.062,0.001,0.000,0.143,0.206,0.045,0.000,0.000,0.143,0.188,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000053,1.545,0.455,0.000,0.000,1.999,1.127,0.350,0.000,0.000,1.477,1.323,0.421,0.000,0.000,1.744,1.180,0.296,0.000,0.000,1.476,0.056,0.010,0.000,0.000,0.066,0.069,0.010,0.000,0.000,0.079,0.055,0.004,0.000,0.000,0.060,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000054,1.194,0.005,0.000,0.000,1.199,1.114,0.004,0.000,0.000,1.118,1.199,0.005,0.000,0.000,1.203,1.153,0.004,0.000,0.000,1.156,0.055,0.000,0.000,0.000,0.055,0.078,0.000,0.000,0.000,0.078,0.054,0.000,0.000,0.000,0.054,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000055,1.054,0.000,0.000,0.000,1.054,0.986,0.000,0.000,0.000,0.986,1.063,0.000,0.000,0.000,1.063,1.019,0.000,0.000,0.000,1.019,0.048,0.000,0.000,0.000,0.048,0.068,0.000,0.000,0.000,0.068,0.047,0.000,0.000,0.000,0.047,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000056,1.103,0.129,0.000,0.000,1.232,0.962,0.077,0.000,0.000,1.039,1.061,0.097,0.000,0.000,1.158,1.001,0.066,0.000,0.000,1.067,0.047,0.003,0.000,0.000,0.049,0.065,0.009,0.000,0.000,0.074,0.047,0.003,0.000,0.000,0.050,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000057,0.935,0.217,0.000,0.000,1.153,0.848,0.163,0.000,0.000,1.011,0.928,0.199,0.000,0.000,1.127,0.878,0.139,0.000,0.000,1.017,0.041,0.005,0.000,0.000,0.047,0.057,0.008,0.000,0.000,0.066,0.041,0.003,0.000,0.000,0.044,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000058,1.257,0.001,0.000,0.000,1.258,1.171,0.001,0.000,0.000,1.172,1.266,0.001,0.000,0.000,1.267,1.212,0.001,0.000,0.000,1.212,0.057,0.000,0.000,0.000,0.057,0.081,0.000,0.000,0.000,0.081,0.056,0.000,0.000,0.000,0.056,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000059,1.087,0.129,0.000,0.000,1.215,1.004,0.106,0.000,0.000,1.110,1.086,0.128,0.000,0.000,1.215,1.040,0.091,0.000,0.000,1.132,0.049,0.004,0.000,0.000,0.053,0.069,0.000,0.000,0.000,0.069,0.048,0.000,0.000,0.000,0.049,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000060,1.994,0.163,0.000,0.000,2.158,1.449,0.118,0.000,0.000,1.568,1.745,0.148,0.000,0.000,1.893,1.494,0.102,0.000,0.000,1.596,0.070,0.004,0.000,0.000,0.074,0.090,0.005,0.000,0.000,0.094,0.066,0.002,0.000,0.000,0.068,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000061,1.455,0.290,0.000,0.000,1.745,0.928,0.207,0.000,0.000,1.134,1.075,0.251,0.000,0.000,1.327,1.000,0.179,0.000,0.000,1.178,0.055,0.009,0.000,0.000,0.064,0.066,0.013,0.000,0.000,0.079,0.056,0.007,0.000,0.000,0.063,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000062,1.563,0.007,0.000,0.000,1.569,1.318,0.005,0.000,0.000,1.324,1.484,0.007,0.000,0.000,1.491,1.365,0.005,0.000,0.000,1.370,0.065,0.000,0.000,0.000,0.065,0.088,0.000,0.000,0.000,0.088,0.063,0.000,0.000,0.000,0.063,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000063,1.208,0.072,0.000,0.000,1.280,1.100,0.058,0.000,0.000,1.158,1.205,0.073,0.000,0.000,1.278,1.138,0.050,0.000,0.000,1.188,0.053,0.001,0.000,0.000,0.055,0.075,0.000,0.000,0.000,0.075,0.052,0.000,0.000,0.000,0.052,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000064,1.969,2.182,0.000,0.000,4.151,1.513,1.047,0.000,0.000,2.560,1.767,1.304,0.000,0.000,3.072,1.568,0.889,0.000,0.000,2.457,0.072,0.018,0.000,0.000,0.090,0.097,0.104,0.000,0.000,0.201,0.071,0.078,0.000,0.000,0.149,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000065,1.634,0.566,0.000,0.000,2.200,1.371,0.452,0.000,0.000,1.823,1.538,0.558,0.000,0.000,2.096,1.409,0.389,0.000,0.000,1.798,0.067,0.015,0.000,0.000,0.083,0.090,0.002,0.000,0.000,0.092,0.065,0.002,0.000,0.000,0.067,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000066,1.580,0.166,0.000,0.000,1.746,1.306,0.136,0.000,0.000,1.442,1.487,0.165,0.000,0.000,1.651,1.351,0.117,0.000,0.000,1.468,0.062,0.005,0.000,0.000,0.067,0.084,0.000,0.000,0.000,0.084,0.060,0.001,0.000,0.000,0.061,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000067,1.364,0.103,0.000,0.000,1.467,1.285,0.084,0.000,0.000,1.369,1.393,0.102,0.000,0.000,1.495,1.324,0.073,0.000,0.000,1.397,0.062,0.003,0.000,0.000,0.065,0.088,0.000,0.000,0.000,0.088,0.060,0.000,0.000,0.000,0.060,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000068,1.099,4.212,0.000,0.000,5.311,1.015,3.370,0.000,0.000,4.385,1.103,4.164,0.000,0.000,5.267,1.043,2.888,0.000,0.000,3.931,0.048,0.080,0.000,0.000,0.129,0.069,0.027,0.000,0.000,0.096,0.047,0.020,0.000,0.000,0.067,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
