,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,variable,Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),Emissions (kt CO2),,,,,,,,,
,,scenario,Baseline,Baseline,Baseline,Baseline,Baseline,Consumer Transormation,Consumer Transormation,Consumer Transormation,Consumer Transormation,Consumer Transormation,System Transformation,System Transformation,System Transformation,System Transformation,System Transformation,Leading the Way,Leading the Way,Leading the Way,Leading the Way,Leading the Way,Consumer Transormation,Consumer Transormation,Consumer Transormation,Consumer Transormation,Consumer Transormation,System Transformation,System Transformation,System Transformation,System Transformation,System Transformation,Leading the Way,Leading the Way,Leading the Way,Leading the Way,Leading the Way,,,,,,,,,
,,year,2020,2020,2020,2020,2020,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,,,,,,,,,
,,Building type,Existing domestic (excl. district heating),Non-domestic,District heating (domestic only),New build (domestic only),Total,Existing domestic (excl. district heating),Non-domestic,District heating (domestic only),New build (domestic only),Total,Existing domestic (excl. district heating),Non-domestic,District heating (domestic only),New build (domestic only),Total,Existing domestic (excl. district heating),Non-domestic,District heating (domestic only),New build (domestic only),Total,Existing domestic (excl. district heating),Non-domestic,District heating (domestic only),New build (domestic only),Total,Existing domestic (excl. district heating),Non-domestic,District heating (domestic only),New build (domestic only),Total,Existing domestic (excl. district heating),Non-domestic,District heating (domestic only),New build (domestic only),Total,,,,,,,,,
,,Totals,17889.03,8477.93,284.36,0.00,26651.31,13915.10,5692.28,320.76,621.13,20549.26,15497.56,6765.13,607.78,621.13,23491.59,13498.14,4761.94,320.74,621.13,19201.95,637.40,194.69,28.66,143.74,1004.49,799.25,420.50,74.99,143.74,1438.48,577.58,201.92,48.60,143.74,971.84,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LSOA,2020-existing domestic,2020-Nondomestic,2020-District heating,2020-New build,2020-Total,CT-2030-existing domestic,CT-2030-NonDomestic,CT-2030-District heating,CT-2030-New build,CT-2030-Total,ST-2030-existing domestic,ST-2030-NonDomestic,ST-2030-District heating,ST-2030-New build,ST-2030-Total,LTW-2030-existing domestic,LTW-2030-NonDomestic,LTW-2030-District heating,LTW-2030-New build,LTW-2030-Total,CT-2050-existing domestic,CT-2050-NonDomestic,CT-2050-District heating,CT-2050-New build,CT-2050-Total,ST-2050-existing domestic,ST-2050-NonDomestic,ST-2050-District heating,ST-2050-New build,ST-2050-Total,LTW-2050-existing domestic,LTW-2050-NonDomestic,LTW-2050-District heating,LTW-2050-New build,LTW-2050-Total,LAD20NM,CTYUA19NM,LEP20NM,Licence area,,,,,
,,E01000001,3.052,3.995,0.026,0.000,7.073,1.746,2.644,0.167,0.001,4.558,1.083,3.594,0.359,0.001,5.037,0.804,2.302,0.190,0.001,3.297,0.069,0.182,0.018,0.002,0.272,0.033,0.542,0.051,0.002,0.628,0.028,0.224,0.033,0.002,0.288,City of London,City of London,London,LPN,,,,,
,,E01000002,3.386,18.206,0.000,0.000,21.593,1.909,11.893,0.182,0.002,13.985,1.188,13.366,0.393,0.002,14.948,0.854,10.171,0.207,0.002,11.234,0.075,0.790,0.020,0.003,0.887,0.034,2.367,0.056,0.003,2.460,0.029,0.989,0.036,0.003,1.058,City of London,City of London,London,LPN,,,,,
,,E01000003,2.530,1.100,0.029,0.000,3.659,1.597,0.750,0.187,0.001,2.535,0.950,0.819,0.402,0.001,2.173,0.754,0.658,0.212,0.001,1.625,0.068,0.039,0.021,0.002,0.130,0.035,0.116,0.057,0.002,0.210,0.029,0.061,0.037,0.002,0.129,City of London,City of London,London,LPN,,,,,
,,E01000005,0.631,12.439,0.401,0.000,13.471,0.405,7.479,0.214,0.001,8.100,0.236,8.345,0.335,0.001,8.917,0.196,6.552,0.177,0.001,6.926,0.018,0.471,0.013,0.002,0.504,0.009,1.503,0.030,0.002,1.543,0.008,0.619,0.019,0.002,0.648,City of London,City of London,London,LPN,,,,,
