,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,variable,units,units,units,units,number of homes connected,total homes with low carbon heating,units,units,units,units,number of homes connected,total homes with low carbon heating,units,units,units,units,number of homes connected,total homes with low carbon heating,units,units,units,units,number of homes connected,total homes with low carbon heating,units,units,units,units,number of homes connected,total homes with low carbon heating,units,units,units,units,number of homes connected,total homes with low carbon heating,,,,,,,,,
,,E01000006,529.00,0.00,60.33,46.91,0.00,0.00,107.24,0.00,16.22,42.12,76.23,0.00,134.56,0.00,89.61,28.04,5.96,0.00,123.60,0.00,419.70,109.30,0.00,0.00,529.00,0.00,132.62,127.26,269.12,0.00,529.00,0.00,442.60,64.41,21.99,0.00,529.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000007,977.00,2.48,94.47,178.58,0.00,0.00,275.53,0.93,55.43,140.86,85.36,0.00,282.58,1.13,135.73,145.92,28.46,0.00,311.25,8.76,560.51,407.73,0.00,0.00,977.00,2.70,262.42,416.79,295.09,0.00,977.00,2.40,560.24,315.46,98.90,0.00,977.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000008,541.00,0.00,126.83,7.34,0.00,0.00,134.17,0.00,23.76,5.20,57.77,0.00,86.73,0.00,49.94,7.14,83.61,0.00,140.69,0.00,526.68,14.32,0.00,0.00,541.00,0.00,234.21,21.94,284.85,0.00,541.00,0.00,253.15,14.53,273.32,0.00,541.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000009,654.00,0.00,45.19,27.70,0.00,102.40,175.29,0.00,5.53,12.39,24.52,167.80,210.24,0.00,25.01,11.04,2.21,167.80,206.07,0.00,296.51,63.77,0.00,293.72,654.00,0.00,40.31,37.36,86.36,489.98,654.00,0.00,130.23,25.56,8.24,489.98,654.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000010,1331.00,145.38,177.23,82.87,0.00,208.41,613.89,54.44,12.23,45.79,21.19,341.50,475.15,66.29,67.83,36.00,2.54,341.50,514.17,256.42,382.43,94.38,0.00,597.78,1331.00,118.92,58.15,101.72,55.01,997.19,1331.00,99.94,172.29,55.30,6.28,997.19,1331.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000011,471.00,0.00,31.13,13.34,0.00,73.75,118.22,0.00,4.23,4.41,20.30,120.85,149.78,0.00,16.84,5.61,1.54,120.85,144.84,0.00,228.80,30.66,0.00,211.54,471.00,0.00,34.80,13.06,70.26,352.87,471.00,0.00,99.38,13.00,5.75,352.87,471.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000012,846.00,2.74,101.04,157.20,0.00,0.00,260.98,1.02,38.56,149.01,73.67,0.00,262.26,1.25,151.58,121.70,10.26,0.00,284.78,8.89,507.17,329.94,0.00,0.00,846.00,2.80,189.14,414.60,239.47,0.00,846.00,2.54,556.51,252.71,34.24,0.00,846.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000013,654.00,0.00,77.22,14.02,0.00,0.00,91.24,0.00,19.38,9.50,117.66,0.00,146.54,0.00,89.00,13.53,13.46,0.00,115.99,0.00,619.23,34.77,0.00,0.00,654.00,0.00,185.19,30.30,438.51,0.00,654.00,0.00,568.09,33.05,52.86,0.00,654.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000014,652.00,0.00,80.45,16.25,0.00,0.00,96.70,0.00,28.28,12.41,101.95,0.00,142.64,0.00,93.05,15.65,13.21,0.00,121.91,0.00,611.24,40.76,0.00,0.00,652.00,0.00,222.31,40.54,389.15,0.00,652.00,0.00,560.96,38.65,52.39,0.00,652.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000015,855.00,0.00,103.57,6.75,0.00,0.00,110.32,0.00,26.11,4.45,145.79,0.00,176.36,0.00,119.03,6.12,19.38,0.00,144.53,0.00,838.37,16.63,0.00,0.00,855.00,0.00,294.52,14.28,546.19,0.00,855.00,0.00,764.85,14.81,75.34,0.00,855.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000016,643.00,2.80,74.42,30.74,0.00,0.00,107.96,1.05,22.07,23.25,105.76,0.00,152.13,1.28,86.12,29.76,13.30,0.00,130.46,10.37,559.10,73.53,0.00,0.00,643.00,3.21,181.95,72.50,385.34,0.00,643.00,2.98,518.40,70.77,50.85,0.00,643.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000017,628.00,0.00,74.24,9.06,0.00,0.00,83.30,0.00,15.43,7.29,115.18,0.00,137.90,0.00,87.00,7.31,11.89,0.00,106.19,0.00,605.35,22.65,0.00,0.00,628.00,0.00,170.94,23.49,433.57,0.00,628.00,0.00,562.63,18.08,47.29,0.00,628.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000018,630.00,0.00,75.50,5.69,0.00,0.00,81.19,0.00,15.93,3.62,118.62,0.00,138.17,0.00,86.97,5.38,13.38,0.00,105.74,0.00,615.88,14.12,0.00,0.00,630.00,0.00,175.61,11.55,442.84,0.00,630.00,0.00,564.33,13.14,52.53,0.00,630.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000019,508.00,0.00,63.39,8.85,0.00,0.00,72.24,0.00,14.64,6.88,94.62,0.00,116.14,0.00,75.68,6.25,10.73,0.00,92.65,0.00,487.09,20.91,0.00,0.00,508.00,0.00,149.50,21.02,337.48,0.00,508.00,0.00,453.44,14.51,40.06,0.00,508.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000020,641.00,0.00,78.09,18.37,0.00,0.00,96.47,0.00,18.43,17.01,109.36,0.00,144.80,0.00,95.56,12.28,13.59,0.00,121.44,0.00,596.84,44.16,0.00,0.00,641.00,0.00,189.37,53.06,398.57,0.00,641.00,0.00,560.59,28.94,51.47,0.00,641.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000021,595.00,14.17,69.64,54.58,0.00,0.00,138.38,5.30,23.74,44.11,83.62,0.00,156.78,6.46,88.15,46.75,9.14,0.00,150.49,45.78,435.32,113.90,0.00,0.00,595.00,15.03,171.34,127.10,281.53,0.00,595.00,13.87,446.68,102.30,32.15,0.00,595.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000022,492.00,3.01,52.32,45.57,0.00,0.00,100.90,1.13,22.48,34.35,61.76,0.00,119.72,1.37,64.73,40.06,4.50,0.00,110.67,11.28,370.57,110.15,0.00,0.00,492.00,3.54,149.00,109.48,229.98,0.00,492.00,3.36,370.69,99.91,18.03,0.00,492.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000023,1478.00,22.02,170.23,452.89,0.00,0.00,645.14,8.24,139.74,357.09,61.29,0.00,566.36,10.04,209.35,410.51,7.05,0.00,636.95,61.74,596.22,820.04,0.00,0.00,1478.00,20.06,397.04,883.69,177.21,0.00,1478.00,19.28,633.21,803.34,22.17,0.00,1478.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000024,434.00,0.00,54.59,5.37,0.00,0.00,59.96,0.00,11.32,4.36,84.94,0.00,100.62,0.00,63.15,4.63,9.18,0.00,76.96,0.00,421.26,12.74,0.00,0.00,434.00,0.00,117.47,13.32,303.21,0.00,434.00,0.00,388.56,10.84,34.60,0.00,434.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000025,612.00,0.00,442.97,6.47,0.00,0.00,449.45,0.00,26.01,5.25,82.28,0.00,113.55,0.00,49.39,6.26,0.00,0.00,55.64,0.00,607.50,4.50,0.00,0.00,612.00,0.00,178.04,22.48,411.48,0.00,612.00,0.00,583.68,28.32,0.00,0.00,612.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000027,652.00,2.69,74.20,45.18,0.00,0.00,122.07,1.01,25.64,34.10,97.68,0.00,158.43,1.23,88.36,40.65,13.44,0.00,143.68,9.81,535.91,106.28,0.00,0.00,652.00,3.05,192.62,104.98,351.35,0.00,652.00,2.82,503.65,95.04,50.50,0.00,652.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000028,649.00,2.72,83.71,35.59,0.00,0.00,122.02,1.02,40.62,26.92,85.47,0.00,154.03,1.24,96.82,30.37,25.03,0.00,153.46,10.07,553.74,85.19,0.00,0.00,649.00,3.18,242.23,85.70,317.88,0.00,649.00,2.76,485.99,68.94,91.31,0.00,649.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000029,666.00,0.00,74.69,58.55,0.00,0.00,133.24,0.00,24.38,48.16,100.63,0.00,173.18,0.00,97.87,44.81,17.42,0.00,160.10,0.00,526.84,139.16,0.00,0.00,666.00,0.00,160.46,146.92,358.62,0.00,666.00,0.00,500.41,101.92,63.67,0.00,666.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000030,911.00,5.18,108.58,102.41,0.00,0.00,216.16,1.94,32.96,77.76,114.94,0.00,227.59,2.36,105.76,97.96,23.45,0.00,229.54,17.73,666.93,226.34,0.00,0.00,911.00,5.95,243.37,242.66,419.02,0.00,911.00,5.36,592.22,226.35,87.08,0.00,911.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000031,623.00,0.00,68.07,38.55,0.00,0.00,106.63,0.00,20.07,29.76,97.53,0.00,147.36,0.00,87.90,29.04,11.69,0.00,128.63,0.00,528.05,94.95,0.00,0.00,623.00,0.00,168.44,94.14,360.43,0.00,623.00,0.00,507.93,69.86,45.21,0.00,623.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000032,731.00,0.00,85.93,42.81,0.00,0.00,128.74,0.00,29.31,31.89,114.69,0.00,175.90,0.00,101.86,37.88,13.33,0.00,153.06,0.00,629.69,101.31,0.00,0.00,731.00,0.00,223.50,97.57,409.93,0.00,731.00,0.00,591.46,89.13,50.41,0.00,731.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000033,565.00,0.00,55.54,63.77,0.00,0.00,119.32,0.00,15.43,50.26,80.24,0.00,145.93,0.00,76.33,53.28,17.70,0.00,147.31,0.00,415.96,149.04,0.00,0.00,565.00,0.00,134.33,150.30,280.37,0.00,565.00,0.00,388.34,115.16,61.50,0.00,565.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000034,527.00,0.00,61.13,19.79,0.00,0.00,80.91,0.00,17.38,15.26,85.53,0.00,118.17,0.00,72.25,17.06,10.38,0.00,99.69,0.00,478.06,48.94,0.00,0.00,527.00,0.00,158.26,48.86,319.89,0.00,527.00,0.00,444.64,41.65,40.72,0.00,527.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000035,599.00,0.00,69.30,22.28,0.00,0.00,91.58,0.00,21.39,16.58,93.82,0.00,131.80,0.00,81.83,19.11,10.24,0.00,111.18,0.00,543.93,55.07,0.00,0.00,599.00,0.00,195.01,53.08,350.91,0.00,599.00,0.00,511.35,47.09,40.56,0.00,599.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000036,487.00,0.00,57.47,8.45,0.00,0.00,65.92,0.00,14.11,6.05,84.17,0.00,104.34,0.00,66.42,7.95,10.27,0.00,84.65,0.00,466.04,20.96,0.00,0.00,487.00,0.00,151.93,19.43,315.63,0.00,487.00,0.00,427.33,19.40,40.28,0.00,487.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000037,558.00,2.80,66.06,2.11,0.00,0.00,70.97,1.05,14.39,1.20,98.91,0.00,115.56,1.28,75.72,1.92,13.01,0.00,91.93,10.80,541.95,5.25,0.00,0.00,558.00,3.38,172.24,3.94,378.45,0.00,558.00,3.09,498.56,4.75,51.60,0.00,558.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000038,608.00,0.00,71.49,14.39,0.00,0.00,85.89,0.00,18.32,10.68,106.93,0.00,135.93,0.00,81.44,13.11,13.10,0.00,107.65,0.00,571.95,36.05,0.00,0.00,608.00,0.00,170.58,34.45,402.97,0.00,608.00,0.00,523.39,32.46,52.15,0.00,608.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000039,626.00,0.00,68.34,20.82,0.00,0.00,89.16,0.00,18.86,16.64,91.74,0.00,127.24,0.00,83.07,15.47,11.47,0.00,110.01,0.00,571.57,54.43,0.00,0.00,626.00,0.00,204.35,56.66,364.99,0.00,626.00,0.00,538.56,39.89,47.55,0.00,626.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000040,711.00,0.00,80.96,47.94,0.00,0.00,128.90,0.00,24.80,40.17,103.60,0.00,168.57,0.00,98.14,41.91,14.73,0.00,154.77,0.00,595.20,115.80,0.00,0.00,711.00,0.00,205.05,126.07,379.89,0.00,711.00,0.00,555.94,99.08,55.98,0.00,711.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000041,608.00,0.00,74.17,2.17,0.00,0.00,76.35,0.00,14.50,1.76,115.90,0.00,132.16,0.00,85.11,1.97,13.39,0.00,100.47,0.00,602.64,5.36,0.00,0.00,608.00,0.00,171.33,5.61,431.05,0.00,608.00,0.00,551.00,4.77,52.23,0.00,608.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000042,713.00,0.00,76.06,66.49,0.00,0.00,142.55,0.00,35.83,48.61,85.69,0.00,170.13,0.00,95.51,56.35,14.87,0.00,166.72,0.00,552.09,160.91,0.00,0.00,713.00,0.00,247.50,152.14,313.36,0.00,713.00,0.00,523.46,133.10,56.44,0.00,713.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000043,483.00,0.00,60.79,22.51,0.00,0.00,83.30,0.00,17.13,17.37,87.75,0.00,122.24,0.00,70.15,21.42,9.30,0.00,100.87,0.00,431.97,51.03,0.00,0.00,483.00,0.00,132.67,50.75,299.58,0.00,483.00,0.00,400.91,48.34,33.75,0.00,483.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000044,632.00,0.00,77.79,20.15,0.00,0.00,97.94,0.00,19.09,14.64,119.69,0.00,153.42,0.00,91.85,17.21,12.15,0.00,121.21,0.00,584.84,47.16,0.00,0.00,632.00,0.00,167.20,44.06,420.74,0.00,632.00,0.00,546.73,39.95,45.32,0.00,632.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000045,616.00,0.00,71.31,29.81,0.00,0.00,101.12,0.00,20.22,22.20,107.77,0.00,150.20,0.00,82.68,28.68,12.03,0.00,123.38,0.00,543.55,72.45,0.00,0.00,616.00,0.00,155.24,69.06,391.70,0.00,616.00,0.00,500.85,68.78,46.37,0.00,616.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000046,697.00,0.00,82.10,12.29,0.00,0.00,94.39,0.00,19.35,10.23,120.62,0.00,150.20,0.00,96.82,9.14,14.80,0.00,120.76,0.00,666.04,30.96,0.00,0.00,697.00,0.00,204.60,33.33,459.07,0.00,697.00,0.00,615.55,22.60,58.85,0.00,697.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000048,556.00,0.00,49.22,57.71,0.00,0.00,106.93,0.00,20.42,44.16,61.40,0.00,125.97,0.00,60.05,52.00,28.22,0.00,140.28,0.00,398.27,157.73,0.00,0.00,556.00,0.00,148.48,155.28,252.25,0.00,556.00,0.00,324.99,123.38,107.63,0.00,556.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000049,919.00,5.08,87.56,119.08,0.00,0.00,211.72,1.90,35.96,92.15,110.19,0.00,240.20,2.32,122.32,96.32,30.40,0.00,251.35,18.69,617.41,282.91,0.00,0.00,919.00,5.78,230.75,284.71,397.76,0.00,919.00,5.05,591.13,214.18,108.63,0.00,919.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000050,604.00,0.00,68.89,38.43,0.00,0.00,107.31,0.00,18.64,32.00,93.06,0.00,143.70,0.00,88.82,28.53,15.21,0.00,132.57,0.00,513.12,90.88,0.00,0.00,604.00,0.00,172.94,98.02,333.03,0.00,604.00,0.00,483.70,64.78,55.52,0.00,604.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000051,384.00,2.79,32.71,50.44,0.00,0.00,85.94,1.05,15.06,37.65,39.71,0.00,93.46,1.27,39.40,47.09,29.28,0.00,117.05,10.78,247.46,125.76,0.00,0.00,384.00,3.35,106.41,122.85,151.39,0.00,384.00,2.57,187.73,96.88,96.82,0.00,384.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000052,786.00,0.00,236.99,25.07,0.00,0.00,262.07,0.00,13.08,20.35,106.61,0.00,140.03,0.00,79.23,25.34,5.97,0.00,110.54,0.00,750.79,35.21,0.00,0.00,786.00,0.00,197.27,82.67,506.06,0.00,786.00,0.00,673.86,81.34,30.81,0.00,786.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000053,670.00,0.00,85.18,79.92,0.00,0.00,165.10,0.00,37.56,73.72,75.24,0.00,186.51,0.00,125.56,52.09,7.23,0.00,184.87,0.00,490.16,179.84,0.00,0.00,670.00,0.00,193.84,217.18,258.98,0.00,670.00,0.00,527.91,116.18,25.91,0.00,670.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000054,651.00,2.70,78.72,2.45,0.00,0.00,83.86,1.01,15.91,1.74,121.58,0.00,140.23,1.23,90.70,1.95,13.33,0.00,107.21,10.24,634.75,6.02,0.00,0.00,651.00,3.18,186.70,5.57,455.55,0.00,651.00,2.96,590.78,4.77,52.50,0.00,651.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000055,565.00,0.00,68.84,2.14,0.00,0.00,70.98,0.00,13.21,1.74,108.94,0.00,123.89,0.00,79.05,1.96,11.87,0.00,92.87,0.00,559.69,5.31,0.00,0.00,565.00,0.00,153.72,5.55,405.74,0.00,565.00,0.00,513.66,4.78,46.57,0.00,565.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000056,581.00,0.00,66.41,19.89,0.00,0.00,86.30,0.00,17.34,15.39,95.21,0.00,127.94,0.00,83.91,11.80,16.22,0.00,111.93,0.00,531.66,49.34,0.00,0.00,581.00,0.00,175.12,49.34,356.54,0.00,581.00,0.00,491.51,27.90,61.59,0.00,581.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000057,506.00,0.00,60.72,6.59,0.00,0.00,67.31,0.00,14.83,5.61,85.70,0.00,106.13,0.00,68.50,6.67,20.88,0.00,96.05,0.00,489.63,16.37,0.00,0.00,506.00,0.00,164.41,18.11,323.48,0.00,506.00,0.00,413.68,15.31,77.01,0.00,506.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000058,693.00,0.00,84.72,2.46,0.00,0.00,87.17,0.00,18.28,1.99,126.06,0.00,146.33,0.00,96.85,2.61,14.97,0.00,114.43,0.00,686.95,6.05,0.00,0.00,693.00,0.00,216.58,6.36,470.06,0.00,693.00,0.00,628.28,6.33,58.39,0.00,693.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000059,600.00,0.00,72.31,4.31,0.00,0.00,76.62,0.00,15.47,3.74,108.39,0.00,127.60,0.00,83.92,3.27,13.41,0.00,100.59,0.00,589.28,10.72,0.00,0.00,600.00,0.00,179.76,12.07,408.17,0.00,600.00,0.00,539.43,7.98,52.59,0.00,600.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000060,765.00,2.74,79.05,117.48,0.00,0.00,199.27,1.03,47.29,79.90,90.02,0.00,218.23,1.25,92.14,111.77,7.30,0.00,212.46,9.40,495.55,260.04,0.00,0.00,765.00,2.92,227.43,230.83,303.82,0.00,765.00,2.80,480.19,255.22,26.79,0.00,765.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000061,667.00,0.00,44.89,185.20,0.00,0.00,230.09,0.00,11.90,151.70,63.77,0.00,227.37,0.00,94.84,150.68,20.24,0.00,265.75,0.00,280.63,386.37,0.00,0.00,667.00,0.00,72.79,398.49,195.72,0.00,667.00,0.00,326.83,279.77,60.40,0.00,667.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000062,760.00,0.00,83.23,48.41,0.00,0.00,131.64,0.00,28.53,34.66,116.56,0.00,179.75,0.00,99.01,46.29,11.75,0.00,157.06,0.00,641.24,118.76,0.00,0.00,760.00,0.00,221.46,109.26,429.28,0.00,760.00,0.00,601.54,112.54,45.92,0.00,760.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000063,615.00,0.00,74.21,8.69,0.00,0.00,82.90,0.00,16.86,6.51,111.13,0.00,134.51,0.00,85.54,8.19,13.50,0.00,107.23,0.00,593.76,21.24,0.00,0.00,615.00,0.00,184.24,20.56,410.20,0.00,615.00,0.00,543.22,19.68,52.10,0.00,615.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000064,828.00,24.54,94.41,81.62,0.00,0.00,200.57,9.19,30.27,68.54,116.51,0.00,224.51,11.19,130.55,58.44,11.68,0.00,211.86,80.24,575.45,172.31,0.00,0.00,828.00,26.68,196.93,202.39,401.99,0.00,828.00,24.65,630.01,131.20,42.13,0.00,828.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000065,832.00,0.00,123.54,36.03,0.00,0.00,159.57,0.00,59.90,31.93,117.77,0.00,209.60,0.00,135.13,28.71,14.70,0.00,178.54,0.00,749.49,82.51,0.00,0.00,832.00,0.00,318.35,96.73,416.92,0.00,832.00,0.00,707.04,68.54,56.41,0.00,832.00,Barking and Dagenham,Barking and Dagenham,London,EPN,,,,,
,,E01000066,695.00,2.65,76.93,45.52,0.00,0.00,125.10,0.99,24.31,34.69,105.17,0.00,165.17,1.21,95.68,38.17,13.22,0.00,148.29,9.77,576.98,108.25,0.00,0.00,695.00,3.03,203.92,107.44,380.62,0.00,695.00,2.80,552.24,89.91,50.05,0.00,695.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
,,E01000067,690.00,0.00,84.08,3.54,0.00,0.00,87.62,0.00,20.32,2.06,121.17,0.00,143.55,0.00,96.14,3.76,14.70,0.00,114.60,0.00,681.28,8.72,0.00,0.00,690.00,0.00,230.30,6.60,453.10,0.00,690.00,0.00,623.47,9.13,57.40,0.00,690.00,Barking and Dagenham,Barking and Dagenham,London,LPN,,,,,
