,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,variable,units,units,units,units,number of homes connected,total homes with low carbon heating,units,units,units,units,number of homes connected,total homes with low carbon heating,units,units,units,units,number of homes connected,total homes with low carbon heating,units,units,units,units,number of homes connected,total homes with low carbon heating,units,units,units,units,number of homes connected,total homes with low carbon heating,units,units,units,units,number of homes connected,total homes with low carbon heating,,,,,,,,,
,,,scenario,Consumer Transormation,Consumer Transormation,Consumer Transormation,Consumer Transormation,Consumer Transormation,Consumer Transormation,System Transformation,System Transformation,System Transformation,System Transformation,System Transformation,System Transformation,Leading the Way,Leading the Way,Leading the Way,Leading the Way,Leading the Way,Leading the Way,Consumer Transormation,Consumer Transormation,Consumer Transormation,Consumer Transormation,Consumer Transormation,Consumer Transormation,System Transformation,System Transformation,System Transformation,System Transformation,System Transformation,System Transformation,Leading the Way,Leading the Way,Leading the Way,Leading the Way,Leading the Way,Leading the Way,,,,,,,,,
,,,year,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,,,,,,,,,
,,,Building type,Direct electric,Heat pumps,Hybrid heat pumps,Hydrogen/HyReady boilers,District heating,Total,Direct electric,Heat pumps,Hybrid heat pumps,Hydrogen/HyReady boilers,District heating,Total,Direct electric,Heat pumps,Hybrid heat pumps,Hydrogen/HyReady boilers,District heating,Total,Direct electric,Heat pumps,Hybrid heat pumps,Hydrogen/HyReady boilers,District heating,Total,Direct electric,Heat pumps,Hybrid heat pumps,Hydrogen/HyReady boilers,District heating,Total,Direct electric,Heat pumps,Hybrid heat pumps,Hydrogen/HyReady boilers,District heating,Total,,,,,,,,,
,,,Totals,79911,802848,615899,0,318089,1816748,30438,277482,447806,893775,458265,2107765,37065,884347,503843,136017,458265,2019538,248275,5496294,1403667,0,736211,7884447,90765,1904707,1387782,3345243,1155950,7884447,83425,4932429,1194410,518233,1155950,7884447,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LSOA,Number of households,CT-2030-Direct electric,CT-2030-Heat pumps,CT-2030-Hybrid HP,CT-2030-Hy,CT-2030-District heat,CT-2030-Total LCH,ST-2030-Direct electric,ST-2030-Heat pumps,ST-2030-Hybrid HP,ST-2030-Hy,ST-2030-District heat,ST-2030-Total LCH,LTW-2030-Direct electric,LTW-2030-Heat pumps,LTW-2030-Hybrid HP,LTW-2030-Hy,LTW-2030-District heat,LTW-2030-Total LCH,CT-2050-Direct electric,CT-2050-Heat pumps,CT-2050-Hybrid HP,CT-2050-Hy,CT-2050-District heat,CT-2050-Total LCH,ST-2050-Direct electric,ST-2050-Heat pumps,ST-2050-Hybrid HP,ST-2050-Hy,ST-2050-District heat,ST-2050-Total LCH,LTW-2050-Direct electric,LTW-2050-Heat pumps,LTW-2050-Hybrid HP,LTW-2050-Hy,LTW-2050-District heat,LTW-2050-Total LCH,LAD20NM,CTYUA19NM,LEP20NM,Licence area,,,,,
,,E01000001,1056.00,1.87,67.85,209.41,0.00,165.35,444.48,0.70,34.21,74.36,1.89,270.94,382.10,0.85,32.81,88.35,0.70,270.94,393.66,5.24,196.91,379.58,0.00,474.27,1056.00,1.62,82.34,175.65,5.23,791.16,1056.00,1.66,85.15,175.78,2.25,791.16,1056.00,City of London,City of London,London,LPN,,,,,
,,E01000002,1155.00,1.20,90.80,225.36,0.00,180.85,498.21,0.45,34.88,77.70,0.57,296.34,409.94,0.55,28.45,96.21,0.00,296.34,421.55,3.23,240.61,392.42,0.00,518.73,1155.00,1.13,87.99,198.84,1.71,865.33,1155.00,1.18,77.72,210.78,0.00,865.33,1155.00,City of London,City of London,London,LPN,,,,,
,,E01000003,1182.00,1.25,68.24,167.33,0.00,185.08,421.90,0.47,27.06,58.19,13.85,303.27,402.83,0.57,42.09,67.23,2.84,303.27,416.00,3.90,310.44,336.81,0.00,530.86,1182.00,1.21,100.48,152.38,42.37,885.56,1182.00,1.14,148.95,137.06,9.30,885.56,1182.00,City of London,City of London,London,LPN,,,,,
,,E01000005,563.00,0.44,31.96,35.40,0.00,212.61,280.41,0.16,10.62,14.14,4.59,252.79,282.30,0.20,18.01,13.92,1.80,252.79,286.71,1.43,144.46,74.35,0.00,342.76,563.00,0.46,45.75,40.33,15.29,461.17,563.00,0.42,65.57,29.69,6.15,461.17,563.00,City of London,City of London,London,LPN,,,,,
