LSOA11CD,2020,2030,2050
E01000001,3.995,2.302,0.224
E01000002,18.206,10.171,0.989
E01000003,1.1,0.658,0.061
E01000005,12.439,6.552,0.619
E01000006,0,0,0
E01000007,0.36,0.161,0.012
E01000008,0.456,0.231,0.021
E01000009,0.989,0.576,0.015
E01000010,0.894,0.449,0.031
E01000011,0.063,0.038,0.001
E01000012,0.01,0.005,0
E01000013,0.611,0.309,0.021
E01000014,0.007,0.005,0
E01000015,0.021,0.015,0
E01000016,0.387,0.204,0.01
E01000017,0.012,0.005,0
E01000018,0,0,0
E01000019,0.041,0.027,0
E01000020,0.074,0.031,0.003
E01000021,0.582,0.389,0.014
E01000022,0,0,0
E01000023,0.712,0.464,0.036
E01000024,0.635,0.444,0.002
E01000025,0.095,0.063,0
E01000027,45.078,30.461,0.15
E01000028,0.186,0.08,0.007
E01000029,1.109,0.76,0.005
E01000030,3.294,2.224,0.021
E01000031,0.059,0.039,0.001
E01000032,0.274,0.139,0.009
E01000033,0,0,0
E01000034,1.254,0.877,0.004
E01000035,0.641,0.379,0.023
E01000036,0.003,0.002,0
E01000037,1.691,1.152,0.006
E01000038,1.051,0.729,0.004
E01000039,1.943,1.218,0.018
E01000040,0.057,0.032,0.001
E01000041,0,0,0
E01000042,0.1,0.071,0
E01000043,0.328,0.16,0.014
E01000044,0.084,0.061,0
E01000045,0.672,0.45,0.04
E01000046,0,0,0
E01000048,0.038,0.021,0.001
E01000049,0.286,0.123,0.009
E01000050,0.571,0.24,0.021
E01000051,0.035,0.017,0.002
E01000052,0.008,0.004,0
E01000053,0.455,0.296,0.004
E01000054,0.005,0.004,0
E01000055,0,0,0
E01000056,0.129,0.066,0.003
E01000057,0.217,0.139,0.003
E01000058,0.001,0.001,0
E01000059,0.129,0.091,0
E01000060,0.163,0.102,0.002
E01000061,0.29,0.179,0.007
E01000062,0.007,0.005,0
E01000063,0.072,0.05,0
E01000064,2.182,0.889,0.078
E01000065,0.566,0.389,0.002
E01000066,0.166,0.117,0.001
E01000067,0.103,0.073,0
E01000068,4.212,2.888,0.02
E01000069,0.131,0.091,0.001
E01000070,0.448,0.262,0.01
E01000071,0.694,0.466,0.005
E01000072,0.627,0.404,0.006
E01000073,0,0,0
E01000074,0.976,0.652,0.007
E01000075,0.104,0.069,0.003
E01000076,0.76,0.362,0.023
E01000077,0.672,0.467,0.003
E01000078,0.492,0.334,0.004
E01000079,0.154,0.073,0.005
E01000080,2.71,1.739,0.132
E01000081,0.415,0.286,0.004
E01000082,0.72,0.448,0.009
E01000083,0.338,0.254,0.001
E01000084,0.297,0.193,0.013
E01000085,0.374,0.197,0.009
E01000086,0,0,0
E01000087,1.275,0.831,0.008
E01000088,3.738,2.452,0.117
E01000089,0.043,0.03,0
E01000090,0.541,0.376,0.002
E01000091,0.324,0.155,0.012
E01000092,4.912,2.885,0.182
E01000093,0.301,0.198,0.005
E01000094,0.741,0.452,0.012
E01000095,0.992,0.495,0.032
E01000096,0.51,0.269,0.016
E01000097,0,0,0
E01000098,0.443,0.272,0.025
E01000099,3.424,2.201,0.128
E01000100,0.109,0.077,0
E01000101,0.12,0.056,0.004
E01000102,0.456,0.303,0.004
E01000103,0.218,0.154,0.001
E01000104,0.151,0.099,0.001
E01000105,0.927,0.511,0.025
E01000106,0.26,0.159,0.005
E01000107,0.01,0.004,0
E01000108,0.016,0.01,0
E01000109,1.254,0.832,0.081
E01000110,0.038,0.021,0.001
E01000111,2.43,1.047,0.094
E01000112,0.107,0.059,0.002
