LSOA11CD,2020,2030,2050
E01000001,18.1,13.82,4.75
E01000002,21.13,15.42,4.59
E01000003,10.68,6.97,3.77
E01000005,7.92,2.84,2.84
E01000006,4.81,2.18,0.34
E01000007,7.68,3.67,3.82
E01000008,0.58,0.25,0.47
E01000009,4.2,1.76,1.36
E01000010,23.01,17.47,8.38
E01000011,3.84,2.29,1.07
E01000012,6.7,3.29,2.15
E01000013,2.3,0.97,0.31
E01000014,1.95,1.15,0.6
E01000015,1.05,0.32,0.12
E01000016,2.8,2.22,1.47
E01000017,1.12,0.55,0.32
E01000018,1.27,0.28,0.16
E01000019,0.59,0.47,0.2
E01000020,1.38,1.11,0.46
E01000021,6.07,3.8,1.98
E01000022,5.26,3.26,1.76
E01000023,12.97,8.68,5.11
E01000024,0.23,0.64,0.46
E01000025,1.01,0.78,0
E01000027,3.54,2.32,1.56
E01000028,2.72,1.59,1.15
E01000029,3.99,2.88,1.46
E01000030,4.72,2.11,1.56
E01000031,3.97,2.1,0.92
E01000032,3.34,3.19,1.42
E01000033,1.84,0.87,0.46
E01000034,2.58,1.51,0.92
E01000035,1.46,1.32,0.49
E01000036,1.85,1.02,0.41
E01000037,0.72,0.36,0.18
E01000038,1.94,1.09,0.49
E01000039,1.89,1.4,0.63
E01000040,2.32,1.43,1.42
E01000041,0.49,0.49,0
E01000042,5.51,3.3,1.92
E01000043,3.01,2.28,0.8
E01000044,2.19,1.77,0.63
E01000045,3.1,1.83,1.4
E01000046,1.58,0.97,0.29
E01000048,3.96,1.53,1.45
E01000049,4.64,1.93,1.95
E01000050,2.22,1.16,0.63
E01000051,6.51,3.23,1.83
E01000052,0.37,0.17,0
E01000053,5.03,2.15,1.44
E01000054,0.62,0.62,0.15
E01000055,0.18,0,0
E01000056,1.98,1.11,0.33
E01000057,0.99,0.94,0.2
E01000058,0.58,0.58,0
E01000059,0.83,0.41,0
E01000060,9.1,2.97,1.81
E01000061,1.85,0.49,0.51
E01000062,3.96,1.31,0.62
E01000063,1.3,0.76,0.33
E01000064,5.12,3.31,1.89
E01000065,2.13,1.28,0.64
E01000066,4.14,3.02,1.34
E01000067,0.87,0.58,0.15
E01000068,1.2,1.19,0.4
E01000069,0.39,0.77,0.39
E01000070,2.72,2.22,1.28
E01000071,4.44,3.61,2.52
E01000072,4.26,3.6,1.54
E01000073,1.24,0.35,0.31
E01000074,1.41,0.83,0.47
E01000075,3.58,2.04,0.62
E01000076,0.41,0.33,0
E01000077,0.49,0.6,0.33
E01000078,1.74,1.03,0.47
E01000079,1.69,1.03,0.31
E01000080,1.3,0.78,0.49
E01000081,0.95,0.76,0.16
