LSOA11CD,2020,2030,2050
E01000001,21.06,23.05,5.79
E01000002,17.9,26.83,6.12
E01000003,17.84,12.58,4.71
E01000005,12.26,8.08,2.71
E01000006,5.33,2.12,0.69
E01000007,12.65,9.87,3.88
E01000008,0.44,0.77,0.24
E01000009,6.91,3.94,1.52
E01000010,7.67,8.54,0.97
E01000011,4.26,3.42,1.07
E01000012,11.26,6.64,2.67
E01000013,1.68,1.34,0.31
E01000014,2.41,1.99,0.75
E01000015,0.35,0.69,0
E01000016,3.39,3.03,0.45
E01000017,1.28,0.92,0.32
E01000018,0.32,0.72,0
E01000019,1.78,0.79,0.39
E01000020,1.23,1.51,0.62
E01000021,7.59,4.66,1.08
E01000022,5.65,4.87,1.8
E01000023,17.3,15.58,6.05
E01000024,1.62,0.64,0.23
E01000025,0.66,2.93,0
E01000027,4.67,4.29,1.59
E01000028,4.58,2.99,1.03
E01000029,5.73,4.41,1.49
E01000030,4.9,4.58,1.88
E01000031,4.12,3.15,1.08
E01000032,4.11,3.82,1.04
E01000033,2.91,1.8,0.62
E01000034,2.39,2.37,0.74
E01000035,3.07,2.02,0.98
E01000036,1.65,1.34,0.41
E01000037,0,0.36,0
E01000038,2.1,1.15,0.33
E01000039,2.2,2.14,0.79
E01000040,5.81,3.78,1.31
E01000041,0,0,0
E01000042,6.79,6.58,2.23
E01000043,4.61,3.74,1.42
E01000044,2.04,1.69,0.63
E01000045,3.88,3.19,0.47
E01000046,0.72,0.92,0.14
E01000048,15.86,5.23,2.03
E01000049,11.6,5.61,1.8
E01000050,3.48,2.39,0.8
E01000051,15.63,5.59,1.86
E01000052,0.37,0.93,0
E01000053,6.11,3.47,0.98
E01000054,0.31,0.24,0
E01000055,0.71,0.79,0.53
E01000056,0.66,1.64,0.17
E01000057,1.39,0.9,0.2
E01000058,0.43,0.36,0
E01000059,0.5,0.55,0
E01000060,8.58,6.52,2.94
E01000061,24.59,1.16,0.41
E01000062,2.6,2.69,1
E01000063,1.47,0.79,0.33
E01000064,4.49,4.43,1.39
E01000065,3.09,1.51,0.34
E01000066,4.14,4.02,1.08
E01000067,0.44,0.2,0
E01000068,0.8,0.67,0.2
E01000069,1.16,0.58,0.19
E01000070,2.88,2.62,1.14
E01000071,4.34,3.9,1.13
E01000072,5.33,4.62,1.69
E01000073,1.09,0.81,0.16
E01000074,2.03,1.09,0.32
E01000075,2.49,3.18,0.79
E01000076,0.54,0.22,0.14
E01000077,0.65,0.33,0
E01000078,1.58,1.53,0.16
E01000079,2.45,0.73,0.15
E01000080,2.11,1.47,0.65
E01000081,0.79,0.86,0.16
E01000082,2.01,1.14,0.31
E01000083,0,0.39,0
E01000084,0.96,0.96,0.38
E01000085,1.3,1.95,0.49
E01000086,0.38,0.57,0
E01000087,2.01,1.04,0.4
E01000088,1.93,3.12,0.6
E01000089,0.94,1.23,0.16
E01000090,1.56,1.39,0.35
E01000091,7.87,6.14,2.77
E01000092,6.59,6.67,1.55
E01000093,6.42,4.84,1.69
E01000094,13.19,8.73,3.59
E01000095,4.6,3.38,1.13
E01000096,5.74,3.21,1.23
E01000097,3.52,2.6,1.38
E01000098,3.02,2.5,0.73
E01000099,4.09,3.97,1.25
E01000100,0.48,1.02,0
E01000101,1.39,1.42,0.47
E01000102,3.11,3.19,1.5
E01000103,3.83,2.45,0.83
E01000104,5.28,4.55,1.75
E01000105,10.73,7.92,3.11
E01000106,11.93,7.48,2.72
E01000107,2.38,1.88,0.32
E01000108,8,4.27,1.61
E01000109,2.89,2.95,0.86
E01000110,1.15,1.63,0.77
E01000111,3.89,2.12,0.64
E01000112,8.24,4.81,1.32
E01000113,3.23,2.25,0.62
E01000114,9.08,2.77,0.58
E01000115,0,0,0
E01000116,0.81,1.16,0.49
E01000117,6.52,3.12,0
E01000118,3.14,1.4,0.36
E01000119,0,0.32,0
E01000120,0,0.2,0
E01000121,0.58,0.78,0
E01000122,0,0,0
E01000123,1.25,0.64,0.28
E01000124,3.75,1.46,0
E01000125,4.56,3.48,1.07
E01000126,10.16,7.54,3.06
E01000127,0.76,0.57,0.38
E01000128,0.47,0.37,0
E01000129,5.65,4.74,1.98
E01000130,7.71,4.96,1.89
E01000131,3.25,2.89,0.92
E01000132,0.19,0,0
E01000133,1.53,1.05,0.34
E01000134,5.35,4.38,1.32
E01000135,7.69,7.06,2.32
